ward,precinct,total,"Jesus """"Chuy"""" Garcia","Jesus """"Chuy"""" Garcia Percent",precinct_id
11,1,137,137,100.0,11001
11,3,152,152,100.0,11003
11,4,117,117,100.0,11004
11,5,150,150,100.0,11005
11,8,114,114,100.0,11008
11,9,90,90,100.0,11009
11,11,104,104,100.0,11011
11,17,186,186,100.0,11017
11,19,195,195,100.0,11019
11,25,172,172,100.0,11025
11,31,1,1,100.0,11031
12,1,121,121,100.0,12001
12,2,71,71,100.0,12002
12,3,167,167,100.0,12003
12,4,130,130,100.0,12004
12,5,108,108,100.0,12005
12,6,116,116,100.0,12006
12,7,75,75,100.0,12007
12,8,109,109,100.0,12008
12,9,85,85,100.0,12009
12,10,100,100,100.0,12010
12,11,67,67,100.0,12011
12,12,77,77,100.0,12012
12,13,84,84,100.0,12013
12,14,77,77,100.0,12014
12,15,72,72,100.0,12015
12,16,41,41,100.0,12016
12,17,80,80,100.0,12017
12,18,47,47,100.0,12018
12,19,85,85,100.0,12019
12,20,84,84,100.0,12020
12,21,106,106,100.0,12021
12,22,73,73,100.0,12022
12,23,133,133,100.0,12023
13,1,87,87,100.0,13001
13,3,38,38,100.0,13003
13,5,60,60,100.0,13005
13,7,44,44,100.0,13007
13,8,53,53,100.0,13008
13,9,61,61,100.0,13009
13,12,61,61,100.0,13012
13,13,74,74,100.0,13013
13,14,76,76,100.0,13014
13,15,86,86,100.0,13015
13,16,41,41,100.0,13016
13,17,72,72,100.0,13017
13,19,60,60,100.0,13019
13,23,59,59,100.0,13023
13,24,71,71,100.0,13024
13,25,53,53,100.0,13025
13,26,86,86,100.0,13026
13,27,70,70,100.0,13027
13,28,54,54,100.0,13028
13,29,45,45,100.0,13029
13,30,38,38,100.0,13030
13,34,70,70,100.0,13034
13,35,56,56,100.0,13035
13,36,31,31,100.0,13036
13,37,135,135,100.0,13037
13,39,73,73,100.0,13039
13,40,43,43,100.0,13040
13,41,85,85,100.0,13041
13,43,85,85,100.0,13043
13,44,57,57,100.0,13044
13,45,71,71,100.0,13045
13,46,63,63,100.0,13046
13,47,82,82,100.0,13047
14,2,78,78,100.0,14002
14,3,47,47,100.0,14003
14,5,61,61,100.0,14005
14,6,23,23,100.0,14006
14,7,82,82,100.0,14007
14,8,71,71,100.0,14008
14,10,45,45,100.0,14010
14,11,26,26,100.0,14011
14,12,75,75,100.0,14012
14,13,62,62,100.0,14013
14,14,72,72,100.0,14014
14,15,49,49,100.0,14015
14,16,60,60,100.0,14016
14,17,37,37,100.0,14017
14,18,32,32,100.0,14018
14,19,67,67,100.0,14019
14,20,51,51,100.0,14020
14,21,41,41,100.0,14021
14,22,79,79,100.0,14022
14,23,61,61,100.0,14023
14,25,31,31,100.0,14025
14,26,60,60,100.0,14026
14,27,63,63,100.0,14027
14,28,44,44,100.0,14028
14,29,51,51,100.0,14029
14,30,41,41,100.0,14030
14,31,40,40,100.0,14031
15,1,75,75,100.0,15001
15,4,50,50,100.0,15004
15,5,43,43,100.0,15005
15,6,54,54,100.0,15006
15,8,58,58,100.0,15008
15,9,76,76,100.0,15009
15,10,114,114,100.0,15010
15,11,76,76,100.0,15011
15,12,63,63,100.0,15012
15,13,71,71,100.0,15013
15,14,46,46,100.0,15014
15,15,54,54,100.0,15015
15,16,57,57,100.0,15016
15,19,82,82,100.0,15019
16,1,77,77,100.0,16001
16,7,10,10,100.0,16007
16,13,23,23,100.0,16013
16,17,59,59,100.0,16017
16,23,44,44,100.0,16023
16,32,55,55,100.0,16032
16,35,60,60,100.0,16035
17,1,63,63,100.0,17001
17,14,21,21,100.0,17014
