ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,Ryan McIntyre,Ryan McIntyre Percent,precinct_id
40,4,88,68,77.27,20,22.73,40004
40,7,206,144,69.9,62,30.1,40007
40,9,107,78,72.9,29,27.1,40009
40,10,79,50,63.29,29,36.71,40010
40,11,194,151,77.84,43,22.16,40011
40,13,293,222,75.77,71,24.23,40013
40,16,275,215,78.18,60,21.82,40016
40,18,98,68,69.39,30,30.61,40018
40,22,238,193,81.09,45,18.91,40022
40,25,252,192,76.19,60,23.81,40025
40,26,225,171,76.0,54,24.0,40026
40,27,202,150,74.26,52,25.74,40027
40,28,185,144,77.84,41,22.16,40028
40,31,256,194,75.78,62,24.22,40031
40,32,212,161,75.94,51,24.06,40032
40,33,235,191,81.28,44,18.72,40033
40,35,67,50,74.63,17,25.37,40035
40,36,155,124,80.0,31,20.0,40036
40,37,156,120,76.92,36,23.08,40037
40,39,34,28,82.35,6,17.65,40039
41,1,113,59,52.21,54,47.79,41001
41,2,122,75,61.48,47,38.52,41002
41,4,125,77,61.6,48,38.4,41004
41,10,164,99,60.37,65,39.63,41010
41,40,144,84,58.33,60,41.67,41040
41,42,106,59,55.66,47,44.34,41042
41,44,120,68,56.67,52,43.33,41044
46,1,132,88,66.67,44,33.33,46001
46,2,196,147,75.0,49,25.0,46002
46,4,213,149,69.95,64,30.05,46004
46,5,207,151,72.95,56,27.05,46005
46,6,174,128,73.56,46,26.44,46006
46,7,238,181,76.05,57,23.95,46007
46,8,142,100,70.42,42,29.58,46008
46,9,215,154,71.63,61,28.37,46009
46,10,46,37,80.43,9,19.57,46010
46,11,165,120,72.73,45,27.27,46011
46,12,183,138,75.41,45,24.59,46012
46,13,203,142,69.95,61,30.05,46013
46,14,136,89,65.44,47,34.56,46014
46,15,177,116,65.54,61,34.46,46015
46,16,122,98,80.33,24,19.67,46016
46,17,65,55,84.62,10,15.38,46017
46,18,194,120,61.86,74,38.14,46018
46,20,170,120,70.59,50,29.41,46020
46,21,90,65,72.22,25,27.78,46021
