ward,precinct,total,Margaret Croke,Margaret Croke Percent,Nancy Shepherdson,Nancy Shepherdson Percent,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,precinct_id
1,5,62,26,41.94,17,27.42,19,30.65,01005
1,8,22,11,50.0,9,40.91,2,9.09,01008
1,11,122,33,27.05,50,40.98,39,31.97,01011
1,21,182,72,39.56,49,26.92,61,33.52,01021
1,28,31,14,45.16,11,35.48,6,19.35,01028
1,42,7,1,14.29,3,42.86,3,42.86,01042
2,1,89,35,39.33,32,35.96,22,24.72,02001
2,2,110,45,40.91,28,25.45,37,33.64,02002
2,6,124,38,30.65,53,42.74,33,26.61,02006
2,7,101,30,29.7,40,39.6,31,30.69,02007
2,8,134,65,48.51,40,29.85,29,21.64,02008
2,10,110,30,27.27,36,32.73,44,40.0,02010
2,11,157,63,40.13,49,31.21,45,28.66,02011
2,12,0,0,0.0,0,0.0,0,0.0,02012
2,13,149,55,36.91,47,31.54,47,31.54,02013
2,15,63,20,31.75,20,31.75,23,36.51,02015
2,18,119,51,42.86,34,28.57,34,28.57,02018
2,19,109,46,42.2,33,30.28,30,27.52,02019
2,20,117,55,47.01,35,29.91,27,23.08,02020
2,22,159,63,39.62,50,31.45,46,28.93,02022
2,23,102,40,39.22,30,29.41,32,31.37,02023
2,24,125,55,44.0,37,29.6,33,26.4,02024
2,25,178,80,44.94,61,34.27,37,20.79,02025
2,26,105,42,40.0,30,28.57,33,31.43,02026
2,27,97,51,52.58,24,24.74,22,22.68,02027
2,28,139,69,49.64,35,25.18,35,25.18,02028
2,29,121,54,44.63,34,28.1,33,27.27,02029
2,30,119,60,50.42,34,28.57,25,21.01,02030
2,31,187,105,56.15,35,18.72,47,25.13,02031
2,32,20,9,45.0,8,40.0,3,15.0,02032
2,33,191,111,58.12,45,23.56,35,18.32,02033
2,34,135,60,44.44,35,25.93,40,29.63,02034
2,36,141,76,53.9,38,26.95,27,19.15,02036
2,37,161,86,53.42,35,21.74,40,24.84,02037
2,38,114,52,45.61,26,22.81,36,31.58,02038
2,39,32,16,50.0,11,34.38,5,15.63,02039
2,42,124,66,53.23,35,28.23,23,18.55,02042
2,43,37,17,45.95,11,29.73,9,24.32,02043
2,44,143,87,60.84,36,25.17,20,13.99,02044
27,12,76,36,47.37,17,22.37,23,30.26,27012
27,35,5,3,60.0,2,40.0,0,0.0,27035
27,37,18,7,38.89,6,33.33,5,27.78,27037
27,38,74,39,52.7,23,31.08,12,16.22,27038
27,42,29,16,55.17,6,20.69,7,24.14,27042
27,46,82,45,54.88,20,24.39,17,20.73,27046
30,15,171,51,29.82,48,28.07,72,42.11,30015
32,1,81,27,33.33,23,28.4,31,38.27,32001
32,2,137,40,29.2,38,27.74,59,43.07,32002
32,4,152,47,30.92,39,25.66,66,43.42,32004
32,5,150,58,38.67,50,33.33,42,28.0,32005
32,6,172,67,38.95,53,30.81,52,30.23,32006
32,7,161,76,47.2,52,32.3,33,20.5,32007
32,8,151,51,33.77,49,32.45,51,33.77,32008
32,9,137,58,42.34,44,32.12,35,25.55,32009
32,10,141,41,29.08,44,31.21,56,39.72,32010
32,13,136,60,44.12,34,25.0,42,30.88,32013
32,15,148,61,41.22,50,33.78,37,25.0,32015
32,16,146,48,32.88,45,30.82,53,36.3,32016
32,18,132,62,46.97,39,29.55,31,23.48,32018
32,19,141,49,34.75,47,33.33,45,31.91,32019
32,21,180,54,30.0,59,32.78,67,37.22,32021
32,23,140,48,34.29,58,41.43,34,24.29,32023
32,24,114,43,37.72,36,31.58,35,30.7,32024
32,25,153,60,39.22,42,27.45,51,33.33,32025
