ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Anna M. Valencia,Anna M. Valencia Percent,precinct_id
1,1,195,47,24.1,136,69.74,01001
1,2,146,49,33.56,91,62.33,01002
1,3,206,70,33.98,117,56.8,01003
1,4,170,48,28.24,106,62.35,01004
1,5,162,37,22.84,111,68.52,01005
1,6,154,50,32.47,83,53.9,01006
1,7,151,57,37.75,82,54.3,01007
1,8,166,51,30.72,93,56.02,01008
1,9,128,51,39.84,69,53.91,01009
1,10,201,64,31.84,131,65.17,01010
1,11,202,63,31.19,119,58.91,01011
1,12,205,58,28.29,134,65.37,01012
1,13,99,26,26.26,68,68.69,01013
1,14,183,75,40.98,98,53.55,01014
1,15,155,55,35.48,90,58.06,01015
1,16,219,68,31.05,134,61.19,01016
1,17,154,48,31.17,93,60.39,01017
1,18,182,54,29.67,120,65.93,01018
1,19,254,58,22.83,172,67.72,01019
1,20,147,25,17.01,102,69.39,01020
1,21,218,76,34.86,124,56.88,01021
1,22,125,35,28.0,83,66.4,01022
1,23,273,86,31.5,159,58.24,01023
1,24,214,54,25.23,139,64.95,01024
1,25,172,54,31.4,102,59.3,01025
1,26,125,33,26.4,86,68.8,01026
1,27,203,63,31.03,118,58.13,01027
1,28,32,8,25.0,17,53.13,01028
1,29,247,83,33.6,148,59.92,01029
1,30,223,55,24.66,151,67.71,01030
1,31,151,60,39.74,81,53.64,01031
1,32,167,67,40.12,93,55.69,01032
1,33,208,92,44.23,107,51.44,01033
1,34,178,47,26.4,125,70.22,01034
1,35,178,68,38.2,98,55.06,01035
1,36,218,72,33.03,124,56.88,01036
1,37,188,51,27.13,122,64.89,01037
1,38,171,39,22.81,116,67.84,01038
1,39,145,60,41.38,72,49.66,01039
1,40,146,59,40.41,77,52.74,01040
1,41,103,39,37.86,55,53.4,01041
1,42,49,20,40.82,29,59.18,01042
1,43,144,36,25.0,103,71.53,01043
1,44,154,44,28.57,96,62.34,01044
2,1,163,54,33.13,92,56.44,02001
2,2,151,93,61.59,47,31.13,02002
2,3,204,60,29.41,130,63.73,02003
2,4,174,51,29.31,107,61.49,02004
2,5,190,71,37.37,105,55.26,02005
2,6,145,49,33.79,88,60.69,02006
2,7,131,38,29.01,81,61.83,02007
2,8,170,66,38.82,98,57.65,02008
2,9,164,76,46.34,74,45.12,02009
2,10,151,85,56.29,57,37.75,02010
2,11,200,130,65.0,62,31.0,02011
2,12,130,66,50.77,50,38.46,02012
2,13,201,122,60.7,61,30.35,02013
2,14,202,70,34.65,121,59.9,02014
2,15,153,62,40.52,74,48.37,02015
2,16,177,67,37.85,104,58.76,02016
2,17,251,80,31.87,158,62.95,02017
2,18,154,87,56.49,58,37.66,02018
2,19,133,78,58.65,46,34.59,02019
2,20,159,74,46.54,78,49.06,02020
2,21,199,49,24.62,137,68.84,02021
2,22,190,96,50.53,84,44.21,02022
2,23,147,91,61.9,47,31.97,02023
2,24,146,68,46.58,58,39.73,02024
2,25,223,74,33.18,129,57.85,02025
2,26,127,59,46.46,60,47.24,02026
2,27,120,73,60.83,35,29.17,02027
2,28,168,86,51.19,68,40.48,02028
2,29,157,78,49.68,68,43.31,02029
2,30,141,72,51.06,53,37.59,02030
2,31,229,138,60.26,76,33.19,02031
2,32,95,52,54.74,36,37.89,02032
2,33,234,140,59.83,73,31.2,02033
2,34,169,102,60.36,51,30.18,02034
2,35,198,96,48.48,78,39.39,02035
2,36,178,84,47.19,80,44.94,02036
2,37,192,119,61.98,64,33.33,02037
2,38,156,96,61.54,49,31.41,02038
