ward,precinct,total,Frank J. Aguilar,Frank J. Aguilar Percent,"Leticia """"Letty"""" Garcia","Leticia """"Letty"""" Garcia Percent",precinct_id
13,42,3,3,100.0,0,0.0,13042
13,48,77,41,53.25,36,46.75,13048
14,1,133,65,48.87,68,51.13,14001
14,4,69,42,60.87,27,39.13,14004
14,9,83,46,55.42,37,44.58,14009
14,24,99,65,65.66,34,34.34,14024
23,1,0,0,0.0,0,0.0,23001
23,3,91,44,48.35,47,51.65,23003
23,12,13,4,30.77,9,69.23,23012
23,14,65,37,56.92,28,43.08,23014
23,16,107,75,70.09,32,29.91,23016
23,21,96,55,57.29,41,42.71,23021
23,22,63,44,69.84,19,30.16,23022
23,27,89,62,69.66,27,30.34,23027
23,29,22,16,72.73,6,27.27,23029
23,36,88,48,54.55,40,45.45,23036
23,37,125,66,52.8,59,47.2,23037
23,38,28,18,64.29,10,35.71,23038
