ward,precinct,total,Margaret Croke,Margaret Croke Percent,precinct_id
2,19,108,108,100.0,02019
2,23,112,112,100.0,02023
2,27,105,105,100.0,02027
2,28,133,133,100.0,02028
2,29,126,126,100.0,02029
2,30,118,118,100.0,02030
2,31,194,194,100.0,02031
2,32,74,74,100.0,02032
2,33,202,202,100.0,02033
2,34,146,146,100.0,02034
2,35,167,167,100.0,02035
2,36,148,148,100.0,02036
2,37,154,154,100.0,02037
2,38,120,120,100.0,02038
2,39,65,65,100.0,02039
2,40,146,146,100.0,02040
2,41,120,120,100.0,02041
2,42,118,118,100.0,02042
2,43,107,107,100.0,02043
2,44,155,155,100.0,02044
2,45,95,95,100.0,02045
2,46,19,19,100.0,02046
27,12,86,86,100.0,27012
27,28,153,153,100.0,27028
27,38,190,190,100.0,27038
27,42,42,42,100.0,27042
27,46,85,85,100.0,27046
42,1,175,175,100.0,42001
42,15,56,56,100.0,42015
42,24,135,135,100.0,42024
42,34,99,99,100.0,42034
42,39,3,3,100.0,42039
43,1,81,81,100.0,43001
43,3,146,146,100.0,43003
43,4,153,153,100.0,43004
43,5,43,43,100.0,43005
43,7,92,92,100.0,43007
43,8,115,115,100.0,43008
43,9,156,156,100.0,43009
43,12,96,96,100.0,43012
43,13,170,170,100.0,43013
43,14,173,173,100.0,43014
43,15,151,151,100.0,43015
43,17,119,119,100.0,43017
43,19,165,165,100.0,43019
43,20,208,208,100.0,43020
43,21,39,39,100.0,43021
43,22,52,52,100.0,43022
43,24,132,132,100.0,43024
43,25,174,174,100.0,43025
43,26,148,148,100.0,43026
43,27,157,157,100.0,43027
43,28,146,146,100.0,43028
43,29,190,190,100.0,43029
43,32,140,140,100.0,43032
43,33,199,199,100.0,43033
43,34,110,110,100.0,43034
43,35,176,176,100.0,43035
43,36,66,66,100.0,43036
43,37,131,131,100.0,43037
43,38,125,125,100.0,43038
43,40,106,106,100.0,43040
43,41,88,88,100.0,43041
43,42,146,146,100.0,43042
43,43,172,172,100.0,43043
43,44,145,145,100.0,43044
43,45,76,76,100.0,43045
44,1,281,281,100.0,44001
44,3,159,159,100.0,44003
44,4,169,169,100.0,44004
44,5,174,174,100.0,44005
44,6,207,207,100.0,44006
44,7,152,152,100.0,44007
44,8,216,216,100.0,44008
44,12,244,244,100.0,44012
44,15,181,181,100.0,44015
44,17,253,253,100.0,44017
44,18,181,181,100.0,44018
44,19,256,256,100.0,44019
44,20,117,117,100.0,44020
44,21,190,190,100.0,44021
44,22,30,30,100.0,44022
44,23,156,156,100.0,44023
44,24,170,170,100.0,44024
44,28,185,185,100.0,44028
44,34,88,88,100.0,44034
44,35,224,224,100.0,44035
44,37,166,166,100.0,44037
44,41,219,219,100.0,44041
