ward,precinct,total,Jenetia Marshall,Jenetia Marshall Percent,precinct_id
3,1,174,71,40.8,03001
3,2,268,102,38.06,03002
3,4,230,71,30.87,03004
3,5,82,45,54.88,03005
3,7,154,73,47.4,03007
3,8,102,49,48.04,03008
3,9,192,93,48.44,03009
3,10,62,19,30.65,03010
3,11,156,67,42.95,03011
3,12,242,88,36.36,03012
3,15,127,53,41.73,03015
3,16,132,86,65.15,03016
3,18,167,80,47.9,03018
3,20,182,79,43.41,03020
3,23,105,54,51.43,03023
3,24,116,35,30.17,03024
3,28,118,55,46.61,03028
3,29,116,53,45.69,03029
3,30,160,69,43.13,03030
3,31,159,70,44.03,03031
3,35,85,46,54.12,03035
3,36,59,27,45.76,03036
3,37,119,62,52.1,03037
3,38,163,68,41.72,03038
3,41,148,63,42.57,03041
4,1,255,135,52.94,04001
4,3,113,43,38.05,04003
4,4,224,109,48.66,04004
4,5,213,89,41.78,04005
4,6,163,88,53.99,04006
4,7,246,93,37.8,04007
4,8,232,92,39.66,04008
4,9,309,133,43.04,04009
4,10,294,127,43.2,04010
4,11,103,39,37.86,04011
4,12,215,78,36.28,04012
4,14,203,81,39.9,04014
4,15,218,99,45.41,04015
4,18,216,90,41.67,04018
4,19,89,38,42.7,04019
4,22,203,89,43.84,04022
4,23,267,129,48.31,04023
4,24,169,83,49.11,04024
4,26,154,66,42.86,04026
4,27,239,129,53.97,04027
4,28,145,80,55.17,04028
4,29,192,78,40.63,04029
4,30,193,85,44.04,04030
4,31,272,135,49.63,04031
4,32,222,89,40.09,04032
4,33,168,71,42.26,04033
4,34,160,70,43.75,04034
4,35,249,117,46.99,04035
4,36,263,102,38.78,04036
4,38,250,110,44.0,04038
5,1,113,40,35.4,05001
5,2,97,47,48.45,05002
5,3,174,93,53.45,05003
5,4,236,134,56.78,05004
5,5,132,64,48.48,05005
5,6,127,60,47.24,05006
5,7,183,75,40.98,05007
5,8,205,84,40.98,05008
5,9,251,123,49.0,05009
5,10,99,47,47.47,05010
5,11,202,99,49.01,05011
5,12,20,11,55.0,05012
5,13,130,69,53.08,05013
5,14,198,99,50.0,05014
5,15,154,65,42.21,05015
5,16,154,89,57.79,05016
5,17,106,51,48.11,05017
5,18,163,73,44.79,05018
5,19,202,92,45.54,05019
5,20,278,133,47.84,05020
5,21,171,91,53.22,05021
5,22,297,130,43.77,05022
5,23,311,141,45.34,05023
5,24,215,119,55.35,05024
5,25,175,49,28.0,05025
5,26,149,74,49.66,05026
5,27,160,77,48.13,05027
5,28,196,95,48.47,05028
5,29,163,78,47.85,05029
5,30,87,41,47.13,05030
5,31,96,45,46.88,05031
5,32,215,110,51.16,05032
5,33,178,92,51.69,05033
5,34,210,90,42.86,05034
5,35,261,111,42.53,05035
5,36,61,34,55.74,05036
5,37,243,86,35.39,05037
5,38,133,57,42.86,05038
5,39,183,83,45.36,05039
5,40,126,49,38.89,05040
5,41,147,46,31.29,05041
6,7,85,40,47.06,06007
6,9,90,49,54.44,06009
6,11,101,45,44.55,06011
6,15,60,24,40.0,06015
6,18,9,5,55.56,06018
6,21,43,20,46.51,06021
6,23,44,21,47.73,06023
6,24,49,30,61.22,06024
6,26,54,33,61.11,06026
6,28,40,19,47.5,06028
6,30,73,35,47.95,06030
6,32,126,54,42.86,06032
6,40,40,23,57.5,06040
6,48,111,45,40.54,06048
7,1,90,45,50.0,07001
7,2,95,55,57.89,07002
7,3,124,66,53.23,07003
7,4,118,58,49.15,07004
7,5,79,33,41.77,07005
7,6,154,80,51.95,07006
7,8,97,46,47.42,07008
7,9,232,109,46.98,07009
7,13,30,18,60.0,07013
8,1,94,47,50.0,08001
8,2,74,40,54.05,08002
8,26,42,24,57.14,08026
8,42,170,94,55.29,08042
11,12,129,29,22.48,11012
11,13,113,20,17.7,11013
11,14,37,8,21.62,11014
11,15,51,19,37.25,11015
11,16,64,21,32.81,11016
11,18,89,39,43.82,11018
11,20,79,28,35.44,11020
11,23,72,17,23.61,11023
11,27,35,16,45.71,11027
11,28,48,9,18.75,11028
11,32,54,20,37.04,11032
11,34,45,8,17.78,11034
11,35,31,8,25.81,11035
15,2,57,31,54.39,15002
15,3,61,31,50.82,15003
15,7,43,19,44.19,15007
15,17,69,30,43.48,15017
15,18,45,23,51.11,15018
15,20,63,28,44.44,15020
15,21,52,27,51.92,15021
15,22,34,16,47.06,15022
15,23,81,38,46.91,15023
15,24,44,19,43.18,15024
16,2,56,27,48.21,16002
16,3,63,34,53.97,16003
16,5,51,29,56.86,16005
16,6,61,30,49.18,16006
16,8,41,22,53.66,16008
16,9,71,40,56.34,16009
16,10,73,34,46.58,16010
16,11,2,0,0.0,16011
16,12,41,17,41.46,16012
16,14,56,22,39.29,16014
16,15,66,24,36.36,16015
16,16,78,31,39.74,16016
16,20,55,30,54.55,16020
16,21,45,18,40.0,16021
16,24,36,10,27.78,16024
16,25,88,44,50.0,16025
16,26,46,21,45.65,16026
16,27,33,16,48.48,16027
16,28,74,37,50.0,16028
16,29,41,21,51.22,16029
16,30,56,28,50.0,16030
16,31,64,28,43.75,16031
16,33,51,21,41.18,16033
16,34,68,24,35.29,16034
16,36,40,19,47.5,16036
17,8,34,20,58.82,17008
17,13,72,37,51.39,17013
17,19,20,10,50.0,17019
17,35,29,14,48.28,17035
17,36,12,6,50.0,17036
20,1,133,58,43.61,20001
20,2,21,12,57.14,20002
20,3,118,62,52.54,20003
20,4,29,9,31.03,20004
20,5,112,68,60.71,20005
20,6,38,17,44.74,20006
20,7,96,49,51.04,20007
20,8,100,52,52.0,20008
20,9,168,89,52.98,20009
20,10,63,38,60.32,20010
20,11,103,37,35.92,20011
20,12,57,33,57.89,20012
20,13,107,44,41.12,20013
20,14,68,34,50.0,20014
20,16,151,84,55.63,20016
20,17,1,1,100.0,20017
20,18,74,37,50.0,20018
20,19,74,25,33.78,20019
20,21,67,37,55.22,20021
20,22,194,101,52.06,20022
20,23,83,41,49.4,20023
20,24,133,71,53.38,20024
20,25,81,38,46.91,20025
20,26,134,71,52.99,20026
20,27,70,32,45.71,20027
20,28,62,38,61.29,20028
20,29,128,54,42.19,20029
20,30,51,18,35.29,20030
20,31,110,52,47.27,20031
20,32,75,30,40.0,20032
20,33,64,24,37.5,20033
20,34,123,63,51.22,20034
20,35,30,13,43.33,20035
20,36,38,18,47.37,20036
20,37,29,16,55.17,20037
20,38,22,12,54.55,20038
20,39,3,1,33.33,20039
