ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
18,9,86,86,100.0,18009
18,26,50,50,100.0,18026
18,34,189,189,100.0,18034
19,2,283,283,100.0,19002
19,3,61,61,100.0,19003
19,5,221,221,100.0,19005
19,9,99,99,100.0,19009
19,10,237,237,100.0,19010
19,12,79,79,100.0,19012
19,13,51,51,100.0,19013
19,16,21,21,100.0,19016
19,18,211,211,100.0,19018
19,19,77,77,100.0,19019
19,24,73,73,100.0,19024
19,30,85,85,100.0,19030
19,33,97,97,100.0,19033
19,55,68,68,100.0,19055
19,57,40,40,100.0,19057
