ward,precinct,total,Mike Simmons,Mike Simmons Percent,precinct_id
40,1,103,103,100.0,40001
40,2,154,154,100.0,40002
40,3,249,249,100.0,40003
40,5,211,211,100.0,40005
40,6,241,241,100.0,40006
40,7,222,222,100.0,40007
40,8,298,298,100.0,40008
40,11,210,210,100.0,40011
40,12,173,173,100.0,40012
40,13,318,318,100.0,40013
40,14,137,137,100.0,40014
40,16,306,306,100.0,40016
40,17,156,156,100.0,40017
40,19,189,189,100.0,40019
40,20,143,143,100.0,40020
40,21,261,261,100.0,40021
40,22,16,16,100.0,40022
40,23,319,319,100.0,40023
40,24,59,59,100.0,40024
40,25,275,275,100.0,40025
40,26,238,238,100.0,40026
40,27,221,221,100.0,40027
40,28,192,192,100.0,40028
40,29,21,21,100.0,40029
40,31,268,268,100.0,40031
40,32,222,222,100.0,40032
40,33,199,199,100.0,40033
40,37,162,162,100.0,40037
40,38,247,247,100.0,40038
44,16,65,65,100.0,44016
44,25,206,206,100.0,44025
44,31,107,107,100.0,44031
44,32,99,99,100.0,44032
46,1,148,148,100.0,46001
46,2,216,216,100.0,46002
46,4,220,220,100.0,46004
46,5,212,212,100.0,46005
46,6,180,180,100.0,46006
46,8,133,133,100.0,46008
46,9,218,218,100.0,46009
46,10,195,195,100.0,46010
46,11,90,90,100.0,46011
46,12,238,238,100.0,46012
46,14,134,134,100.0,46014
46,16,267,267,100.0,46016
46,20,185,185,100.0,46020
46,21,81,81,100.0,46021
46,22,128,128,100.0,46022
46,23,180,180,100.0,46023
46,25,206,206,100.0,46025
46,26,136,136,100.0,46026
46,27,213,213,100.0,46027
46,29,10,10,100.0,46029
46,32,83,83,100.0,46032
46,34,235,235,100.0,46034
46,35,94,94,100.0,46035
46,37,129,129,100.0,46037
46,38,150,150,100.0,46038
46,40,219,219,100.0,46040
47,5,263,263,100.0,47005
47,10,293,293,100.0,47010
47,15,279,279,100.0,47015
47,18,194,194,100.0,47018
47,19,356,356,100.0,47019
47,20,229,229,100.0,47020
47,22,265,265,100.0,47022
47,23,249,249,100.0,47023
47,24,225,225,100.0,47024
47,25,119,119,100.0,47025
47,26,294,294,100.0,47026
47,28,195,195,100.0,47028
47,30,274,274,100.0,47030
47,31,244,244,100.0,47031
47,32,317,317,100.0,47032
47,34,230,230,100.0,47034
47,36,263,263,100.0,47036
47,37,216,216,100.0,47037
47,38,242,242,100.0,47038
47,39,271,271,100.0,47039
47,41,245,245,100.0,47041
47,42,215,215,100.0,47042
47,44,172,172,100.0,47044
47,45,260,260,100.0,47045
48,1,232,232,100.0,48001
48,2,97,97,100.0,48002
48,3,212,212,100.0,48003
48,4,230,230,100.0,48004
48,5,182,182,100.0,48005
48,6,212,212,100.0,48006
48,7,263,263,100.0,48007
48,8,125,125,100.0,48008
48,9,147,147,100.0,48009
48,10,342,342,100.0,48010
48,11,211,211,100.0,48011
48,12,258,258,100.0,48012
48,13,280,280,100.0,48013
48,14,111,111,100.0,48014
48,15,96,96,100.0,48015
48,16,207,207,100.0,48016
48,17,210,210,100.0,48017
48,18,129,129,100.0,48018
48,19,183,183,100.0,48019
48,20,260,260,100.0,48020
48,21,235,235,100.0,48021
48,22,212,212,100.0,48022
48,23,273,273,100.0,48023
48,24,179,179,100.0,48024
48,25,200,200,100.0,48025
48,26,89,89,100.0,48026
48,27,133,133,100.0,48027
48,28,219,219,100.0,48028
48,29,146,146,100.0,48029
48,30,207,207,100.0,48030
48,31,209,209,100.0,48031
48,32,187,187,100.0,48032
48,33,126,126,100.0,48033
48,34,189,189,100.0,48034
48,35,105,105,100.0,48035
48,36,153,153,100.0,48036
48,38,256,256,100.0,48038
48,39,177,177,100.0,48039
48,40,195,195,100.0,48040
48,41,201,201,100.0,48041
48,42,167,167,100.0,48042
48,43,236,236,100.0,48043
48,44,268,268,100.0,48044
48,45,146,146,100.0,48045
48,46,149,149,100.0,48046
49,1,82,82,100.0,49001
49,2,125,125,100.0,49002
49,3,230,230,100.0,49003
49,4,229,229,100.0,49004
49,5,199,199,100.0,49005
49,6,158,158,100.0,49006
49,7,158,158,100.0,49007
49,8,145,145,100.0,49008
49,9,193,193,100.0,49009
49,10,171,171,100.0,49010
49,11,211,211,100.0,49011
49,12,210,210,100.0,49012
49,13,203,203,100.0,49013
49,14,126,126,100.0,49014
49,15,132,132,100.0,49015
49,16,177,177,100.0,49016
49,17,135,135,100.0,49017
49,18,229,229,100.0,49018
49,19,133,133,100.0,49019
49,20,283,283,100.0,49020
49,21,80,80,100.0,49021
49,22,187,187,100.0,49022
49,23,202,202,100.0,49023
49,24,114,114,100.0,49024
49,25,223,223,100.0,49025
49,26,201,201,100.0,49026
49,27,148,148,100.0,49027
49,28,274,274,100.0,49028
49,29,217,217,100.0,49029
49,30,189,189,100.0,49030
49,31,117,117,100.0,49031
49,32,182,182,100.0,49032
49,33,153,153,100.0,49033
50,7,102,102,100.0,50007
50,8,107,107,100.0,50008
