ward,precinct,total,Laura M. Murphy,Laura M. Murphy Percent,precinct_id
41,8,85,85,100.0,41008
41,18,77,77,100.0,41018
41,25,52,52,100.0,41025
41,28,80,80,100.0,41028
41,29,45,45,100.0,41029
41,41,100,100,100.0,41041
