ward,precinct,total,"Daniel """"Pogo"""" Pogorzelski","Daniel """"Pogo"""" Pogorzelski Percent",Elizabeth Joyce,Elizabeth Joyce Percent,Chakena D. Perry,Chakena D. Perry Percent,precinct_id
1,1,166,39,23.49,41,24.7,86,51.81,01001
1,2,126,43,34.13,25,19.84,58,46.03,01002
1,3,181,59,32.6,39,21.55,83,45.86,01003
1,4,140,42,30.0,46,32.86,52,37.14,01004
1,5,129,42,32.56,32,24.81,55,42.64,01005
1,6,137,42,30.66,39,28.47,56,40.88,01006
1,7,132,54,40.91,29,21.97,49,37.12,01007
1,8,143,42,29.37,49,34.27,52,36.36,01008
1,9,120,28,23.33,37,30.83,55,45.83,01009
1,10,169,55,32.54,28,16.57,86,50.89,01010
1,11,168,53,31.55,37,22.02,78,46.43,01011
1,12,177,44,24.86,35,19.77,98,55.37,01012
1,13,81,22,27.16,18,22.22,41,50.62,01013
1,14,153,49,32.03,41,26.8,63,41.18,01014
1,15,138,42,30.43,35,25.36,61,44.2,01015
1,16,204,64,31.37,38,18.63,102,50.0,01016
1,17,137,34,24.82,27,19.71,76,55.47,01017
1,18,163,42,25.77,24,14.72,97,59.51,01018
1,19,227,56,24.67,49,21.59,122,53.74,01019
1,20,127,37,29.13,28,22.05,62,48.82,01020
1,21,186,43,23.12,48,25.81,95,51.08,01021
1,22,116,35,30.17,26,22.41,55,47.41,01022
1,23,246,77,31.3,44,17.89,125,50.81,01023
1,24,185,44,23.78,62,33.51,79,42.7,01024
1,25,162,46,28.4,37,22.84,79,48.77,01025
1,26,111,32,28.83,25,22.52,54,48.65,01026
1,27,176,51,28.98,32,18.18,93,52.84,01027
1,28,29,5,17.24,15,51.72,9,31.03,01028
1,29,216,56,25.93,46,21.3,114,52.78,01029
1,30,192,50,26.04,43,22.4,99,51.56,01030
1,31,126,36,28.57,40,31.75,50,39.68,01031
1,32,151,50,33.11,29,19.21,72,47.68,01032
1,33,171,55,32.16,41,23.98,75,43.86,01033
1,34,164,53,32.32,23,14.02,88,53.66,01034
1,35,157,50,31.85,46,29.3,61,38.85,01035
1,36,186,48,25.81,40,21.51,98,52.69,01036
1,37,164,42,25.61,40,24.39,82,50.0,01037
1,38,142,39,27.46,33,23.24,70,49.3,01038
1,39,123,36,29.27,38,30.89,49,39.84,01039
1,40,125,45,36.0,35,28.0,45,36.0,01040
1,41,89,31,34.83,19,21.35,39,43.82,01041
1,42,45,11,24.44,12,26.67,22,48.89,01042
1,43,127,36,28.35,25,19.69,66,51.97,01043
1,44,140,25,17.86,27,19.29,88,62.86,01044
2,1,135,41,30.37,24,17.78,70,51.85,02001
2,2,117,51,43.59,37,31.62,29,24.79,02002
2,3,171,60,35.09,36,21.05,75,43.86,02003
2,4,154,45,29.22,28,18.18,81,52.6,02004
2,5,168,62,36.9,34,20.24,72,42.86,02005
2,6,131,39,29.77,21,16.03,71,54.2,02006
2,7,110,31,28.18,20,18.18,59,53.64,02007
2,8,142,52,36.62,28,19.72,62,43.66,02008
2,9,133,31,23.31,58,43.61,44,33.08,02009
2,10,124,59,47.58,44,35.48,21,16.94,02010
2,11,170,83,48.82,51,30.0,36,21.18,02011
2,12,108,32,29.63,31,28.7,45,41.67,02012
2,13,157,67,42.68,48,30.57,42,26.75,02013
2,14,168,51,30.36,37,22.02,80,47.62,02014
2,15,129,38,29.46,31,24.03,60,46.51,02015
2,16,157,49,31.21,32,20.38,76,48.41,02016
2,17,225,63,28.0,46,20.44,116,51.56,02017
2,18,126,39,30.95,49,38.89,38,30.16,02018
2,19,110,46,41.82,29,26.36,35,31.82,02019
2,20,127,43,33.86,32,25.2,52,40.94,02020
2,21,167,40,23.95,38,22.75,89,53.29,02021
2,22,158,67,42.41,43,27.22,48,30.38,02022
2,23,102,36,35.29,35,34.31,31,30.39,02023
2,24,119,35,29.41,48,40.34,36,30.25,02024
2,25,178,49,27.53,40,22.47,89,50.0,02025
2,26,104,39,37.5,35,33.65,30,28.85,02026
2,27,91,39,42.86,34,37.36,18,19.78,02027
2,28,126,47,37.3,40,31.75,39,30.95,02028
2,29,122,46,37.7,46,37.7,30,24.59,02029
2,30,110,44,40.0,30,27.27,36,32.73,02030
2,31,178,83,46.63,59,33.15,36,20.22,02031
2,32,80,29,36.25,27,33.75,24,30.0,02032
2,33,183,82,44.81,65,35.52,36,19.67,02033
2,34,130,43,33.08,47,36.15,40,30.77,02034
2,35,160,42,26.25,58,36.25,60,37.5,02035
2,36,132,60,45.45,41,31.06,31,23.48,02036
2,37,159,84,52.83,48,30.19,27,16.98,02037
2,38,119,47,39.5,41,34.45,31,26.05,02038
2,39,67,24,35.82,26,38.81,17,25.37,02039
2,40,147,41,27.89,49,33.33,57,38.78,02040
2,41,116,37,31.9,36,31.03,43,37.07,02041
2,42,117,36,30.77,38,32.48,43,36.75,02042
2,43,138,48,34.78,47,34.06,43,31.16,02043
2,44,136,53,38.97,59,43.38,24,17.65,02044
2,45,85,36,42.35,24,28.24,25,29.41,02045
2,46,79,15,18.99,34,43.04,30,37.97,02046
3,1,188,47,25.0,69,36.7,72,38.3,03001
3,2,263,70,26.62,105,39.92,88,33.46,03002
3,3,105,25,23.81,45,42.86,35,33.33,03003
3,4,219,57,26.03,81,36.99,81,36.99,03004
3,5,81,25,30.86,26,32.1,30,37.04,03005
3,6,223,54,24.22,84,37.67,85,38.12,03006
3,7,156,31,19.87,68,43.59,57,36.54,03007
3,8,100,23,23.0,52,52.0,25,25.0,03008
3,9,179,40,22.35,51,28.49,88,49.16,03009
3,10,71,22,30.99,34,47.89,15,21.13,03010
3,11,152,34,22.37,47,30.92,71,46.71,03011
3,12,249,54,21.69,97,38.96,98,39.36,03012
3,13,189,70,37.04,54,28.57,65,34.39,03013
3,14,168,49,29.17,51,30.36,68,40.48,03014
3,15,120,31,25.83,40,33.33,49,40.83,03015
3,16,139,33,23.74,51,36.69,55,39.57,03016
3,17,171,41,23.98,52,30.41,78,45.61,03017
3,18,207,52,25.12,81,39.13,74,35.75,03018
3,19,199,66,33.17,65,32.66,68,34.17,03019
3,20,180,39,21.67,71,39.44,70,38.89,03020
3,21,219,64,29.22,67,30.59,88,40.18,03021
3,22,197,49,24.87,48,24.37,100,50.76,03022
3,23,116,29,25.0,46,39.66,41,35.34,03023
3,24,122,38,31.15,41,33.61,43,35.25,03024
3,25,285,115,40.35,82,28.77,88,30.88,03025
3,26,208,71,34.13,68,32.69,69,33.17,03026
3,27,211,71,33.65,63,29.86,77,36.49,03027
3,28,127,30,23.62,57,44.88,40,31.5,03028
3,29,126,33,26.19,47,37.3,46,36.51,03029
3,30,166,44,26.51,59,35.54,63,37.95,03030
3,31,154,31,20.13,51,33.12,72,46.75,03031
3,32,211,72,34.12,63,29.86,76,36.02,03032
3,33,176,75,42.61,37,21.02,64,36.36,03033
3,34,228,78,34.21,70,30.7,80,35.09,03034
3,35,85,18,21.18,26,30.59,41,48.24,03035
3,36,60,20,33.33,17,28.33,23,38.33,03036
3,37,120,31,25.83,45,37.5,44,36.67,03037
3,38,177,40,22.6,70,39.55,67,37.85,03038
3,39,270,81,30.0,68,25.19,121,44.81,03039
3,40,140,43,30.71,37,26.43,60,42.86,03040
3,41,175,48,27.43,65,37.14,62,35.43,03041
4,1,245,62,25.31,51,20.82,132,53.88,04001
4,2,225,68,30.22,63,28.0,94,41.78,04002
4,3,111,20,18.02,47,42.34,44,39.64,04003
4,4,228,46,20.18,79,34.65,103,45.18,04004
4,5,201,38,18.91,61,30.35,102,50.75,04005
4,6,302,70,23.18,128,42.38,104,34.44,04006
4,7,243,55,22.63,84,34.57,104,42.8,04007
4,8,235,70,29.79,71,30.21,94,40.0,04008
4,9,312,106,33.97,91,29.17,115,36.86,04009
4,10,293,70,23.89,81,27.65,142,48.46,04010
4,11,96,30,31.25,37,38.54,29,30.21,04011
4,12,204,49,24.02,70,34.31,85,41.67,04012
4,13,118,34,28.81,38,32.2,46,38.98,04013
4,14,215,59,27.44,79,36.74,77,35.81,04014
4,15,222,55,24.77,62,27.93,105,47.3,04015
4,16,273,74,27.11,75,27.47,124,45.42,04016
4,17,215,60,27.91,53,24.65,102,47.44,04017
4,18,211,44,20.85,88,41.71,79,37.44,04018
4,19,96,20,20.83,43,44.79,33,34.38,04019
4,20,177,76,42.94,35,19.77,66,37.29,04020
4,21,160,54,33.75,49,30.63,57,35.63,04021
4,22,201,64,31.84,49,24.38,88,43.78,04022
4,23,252,89,35.32,57,22.62,106,42.06,04023
4,24,157,55,35.03,36,22.93,66,42.04,04024
4,25,241,90,37.34,72,29.88,79,32.78,04025
4,26,163,42,25.77,59,36.2,62,38.04,04026
4,27,229,67,29.26,53,23.14,109,47.6,04027
4,28,148,32,21.62,59,39.86,57,38.51,04028
4,29,180,48,26.67,59,32.78,73,40.56,04029
4,30,185,57,30.81,67,36.22,61,32.97,04030
4,31,279,74,26.52,104,37.28,101,36.2,04031
4,32,217,44,20.28,57,26.27,116,53.46,04032
4,33,161,43,26.71,43,26.71,75,46.58,04033
4,34,162,43,26.54,55,33.95,64,39.51,04034
4,35,249,79,31.73,78,31.33,92,36.95,04035
4,36,261,70,26.82,80,30.65,111,42.53,04036
4,37,302,107,35.43,71,23.51,124,41.06,04037
4,38,250,72,28.8,83,33.2,95,38.0,04038
5,1,108,27,25.0,37,34.26,44,40.74,05001
5,2,100,13,13.0,47,47.0,40,40.0,05002
5,3,166,43,25.9,35,21.08,88,53.01,05003
5,4,230,56,24.35,56,24.35,118,51.3,05004
5,5,133,19,14.29,68,51.13,46,34.59,05005
5,6,132,18,13.64,48,36.36,66,50.0,05006
5,7,188,51,27.13,58,30.85,79,42.02,05007
5,8,200,82,41.0,30,15.0,88,44.0,05008
5,9,246,68,27.64,71,28.86,107,43.5,05009
5,10,101,19,18.81,40,39.6,42,41.58,05010
5,11,190,61,32.11,45,23.68,84,44.21,05011
5,12,81,13,16.05,39,48.15,29,35.8,05012
5,13,129,16,12.4,57,44.19,56,43.41,05013
5,14,202,51,25.25,63,31.19,88,43.56,05014
5,15,161,39,24.22,49,30.43,73,45.34,05015
5,16,154,28,18.18,51,33.12,75,48.7,05016
5,17,108,23,21.3,46,42.59,39,36.11,05017
5,18,167,47,28.14,37,22.16,83,49.7,05018
5,19,205,62,30.24,40,19.51,103,50.24,05019
5,20,268,73,27.24,69,25.75,126,47.01,05020
5,21,175,45,25.71,52,29.71,78,44.57,05021
5,22,293,103,35.15,80,27.3,110,37.54,05022
5,23,300,82,27.33,68,22.67,150,50.0,05023
5,24,211,55,26.07,43,20.38,113,53.55,05024
5,25,177,59,33.33,54,30.51,64,36.16,05025
5,26,156,36,23.08,69,44.23,51,32.69,05026
5,27,147,44,29.93,28,19.05,75,51.02,05027
5,28,175,53,30.29,43,24.57,79,45.14,05028
5,29,170,40,23.53,56,32.94,74,43.53,05029
5,30,87,23,26.44,33,37.93,31,35.63,05030
5,31,98,23,23.47,39,39.8,36,36.73,05031
5,32,214,54,25.23,72,33.64,88,41.12,05032
5,33,184,40,21.74,83,45.11,61,33.15,05033
5,34,210,84,40.0,37,17.62,89,42.38,05034
5,35,246,74,30.08,57,23.17,115,46.75,05035
5,36,57,10,17.54,24,42.11,23,40.35,05036
5,37,239,77,32.22,60,25.1,102,42.68,05037
5,38,134,28,20.9,57,42.54,49,36.57,05038
5,39,187,49,26.2,53,28.34,85,45.45,05039
5,40,124,20,16.13,47,37.9,57,45.97,05040
5,41,158,65,41.14,41,25.95,52,32.91,05041
6,1,163,35,21.47,62,38.04,66,40.49,06001
6,2,193,44,22.8,90,46.63,59,30.57,06002
6,3,142,35,24.65,64,45.07,43,30.28,06003
6,4,71,18,25.35,30,42.25,23,32.39,06004
6,5,79,14,17.72,35,44.3,30,37.97,06005
6,6,154,36,23.38,65,42.21,53,34.42,06006
6,7,86,32,37.21,25,29.07,29,33.72,06007
6,8,178,36,20.22,78,43.82,64,35.96,06008
6,9,90,16,17.78,37,41.11,37,41.11,06009
6,10,62,13,20.97,24,38.71,25,40.32,06010
6,11,99,25,25.25,45,45.45,29,29.29,06011
6,12,61,16,26.23,25,40.98,20,32.79,06012
6,13,127,26,20.47,55,43.31,46,36.22,06013
6,14,135,26,19.26,70,51.85,39,28.89,06014
6,15,76,15,19.74,38,50.0,23,30.26,06015
6,16,161,32,19.88,70,43.48,59,36.65,06016
6,17,71,17,23.94,34,47.89,20,28.17,06017
6,18,88,18,20.45,49,55.68,21,23.86,06018
6,19,88,15,17.05,33,37.5,40,45.45,06019
6,20,74,21,28.38,37,50.0,16,21.62,06020
6,21,47,8,17.02,28,59.57,11,23.4,06021
6,22,58,13,22.41,23,39.66,22,37.93,06022
6,23,45,10,22.22,20,44.44,15,33.33,06023
6,24,54,8,14.81,26,48.15,20,37.04,06024
6,25,59,12,20.34,18,30.51,29,49.15,06025
6,26,66,14,21.21,31,46.97,21,31.82,06026
6,27,61,15,24.59,30,49.18,16,26.23,06027
6,28,42,7,16.67,23,54.76,12,28.57,06028
6,29,188,52,27.66,56,29.79,80,42.55,06029
6,30,86,17,19.77,39,45.35,30,34.88,06030
6,31,176,54,30.68,61,34.66,61,34.66,06031
6,32,132,24,18.18,64,48.48,44,33.33,06032
