ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,precinct_id
19,1,117,117,100.0,19001
19,4,131,131,100.0,19004
19,6,121,121,100.0,19006
19,7,135,135,100.0,19007
19,8,80,80,100.0,19008
19,11,107,107,100.0,19011
19,13,160,160,100.0,19013
19,14,183,183,100.0,19014
19,15,117,117,100.0,19015
19,16,121,121,100.0,19016
19,17,127,127,100.0,19017
19,19,211,211,100.0,19019
19,20,96,96,100.0,19020
19,21,103,103,100.0,19021
19,22,193,193,100.0,19022
19,23,158,158,100.0,19023
19,25,175,175,100.0,19025
19,26,183,183,100.0,19026
19,27,182,182,100.0,19027
19,28,218,218,100.0,19028
19,29,96,96,100.0,19029
19,31,160,160,100.0,19031
19,32,124,124,100.0,19032
19,34,159,159,100.0,19034
19,35,184,184,100.0,19035
19,36,217,217,100.0,19036
19,37,218,218,100.0,19037
19,38,174,174,100.0,19038
19,39,38,38,100.0,19039
19,40,200,200,100.0,19040
19,41,93,93,100.0,19041
19,42,135,135,100.0,19042
19,43,197,197,100.0,19043
19,44,118,118,100.0,19044
19,45,128,128,100.0,19045
19,46,143,143,100.0,19046
19,48,145,145,100.0,19048
19,49,84,84,100.0,19049
19,50,118,118,100.0,19050
19,51,183,183,100.0,19051
19,52,124,124,100.0,19052
19,53,130,130,100.0,19053
19,54,72,72,100.0,19054
19,57,121,121,100.0,19057
21,1,153,153,100.0,21001
21,3,142,142,100.0,21003
21,8,138,138,100.0,21008
21,14,138,138,100.0,21014
21,16,96,96,100.0,21016
21,18,163,163,100.0,21018
21,22,40,40,100.0,21022
21,29,47,47,100.0,21029
21,32,108,108,100.0,21032
21,36,59,59,100.0,21036
21,42,77,77,100.0,21042
21,48,48,48,100.0,21048
21,50,13,13,100.0,21050
34,49,22,22,100.0,34049
