ward,precinct,total,Cristina Pacione-Zayas,Cristina Pacione-Zayas Percent,precinct_id
1,7,131,131,100.0,01007
1,9,106,106,100.0,01009
1,13,81,81,100.0,01013
1,16,200,200,100.0,01016
1,19,232,232,100.0,01019
1,23,241,241,100.0,01023
1,28,28,28,100.0,01028
1,34,149,149,100.0,01034
1,41,82,82,100.0,01041
1,42,43,43,100.0,01042
1,43,131,131,100.0,01043
26,7,84,84,100.0,26007
26,34,119,119,100.0,26034
30,1,150,150,100.0,30001
30,2,14,14,100.0,30002
30,3,131,131,100.0,30003
30,4,103,103,100.0,30004
30,7,136,136,100.0,30007
30,8,173,173,100.0,30008
30,9,83,83,100.0,30009
30,12,24,24,100.0,30012
30,17,39,39,100.0,30017
30,18,167,167,100.0,30018
30,19,15,15,100.0,30019
30,20,134,134,100.0,30020
30,22,196,196,100.0,30022
30,23,123,123,100.0,30023
30,24,205,205,100.0,30024
30,25,194,194,100.0,30025
30,26,72,72,100.0,30026
30,27,82,82,100.0,30027
30,28,81,81,100.0,30028
30,31,59,59,100.0,30031
30,32,120,120,100.0,30032
31,1,46,46,100.0,31001
31,2,42,42,100.0,31002
31,3,30,30,100.0,31003
31,5,84,84,100.0,31005
31,6,51,51,100.0,31006
31,7,152,152,100.0,31007
31,8,48,48,100.0,31008
31,9,59,59,100.0,31009
31,10,81,81,100.0,31010
31,11,59,59,100.0,31011
31,12,66,66,100.0,31012
31,13,72,72,100.0,31013
31,14,63,63,100.0,31014
31,15,53,53,100.0,31015
31,17,56,56,100.0,31017
31,18,73,73,100.0,31018
31,19,55,55,100.0,31019
31,20,56,56,100.0,31020
31,21,39,39,100.0,31021
31,23,76,76,100.0,31023
31,24,78,78,100.0,31024
31,25,50,50,100.0,31025
31,26,82,82,100.0,31026
31,27,66,66,100.0,31027
31,28,32,32,100.0,31028
31,29,57,57,100.0,31029
31,30,52,52,100.0,31030
31,31,48,48,100.0,31031
31,32,27,27,100.0,31032
31,33,54,54,100.0,31033
31,34,87,87,100.0,31034
31,35,64,64,100.0,31035
31,36,69,69,100.0,31036
31,37,49,49,100.0,31037
31,38,34,34,100.0,31038
31,40,73,73,100.0,31040
31,41,57,57,100.0,31041
32,1,177,177,100.0,32001
32,3,191,191,100.0,32003
32,4,66,66,100.0,32004
32,5,153,153,100.0,32005
32,9,141,141,100.0,32009
32,10,20,20,100.0,32010
32,11,168,168,100.0,32011
32,12,135,135,100.0,32012
32,13,151,151,100.0,32013
32,14,196,196,100.0,32014
32,16,150,150,100.0,32016
32,17,179,179,100.0,32017
32,18,92,92,100.0,32018
32,19,130,130,100.0,32019
32,20,177,177,100.0,32020
32,22,258,258,100.0,32022
32,24,118,118,100.0,32024
32,25,7,7,100.0,32025
32,26,220,220,100.0,32026
32,27,121,121,100.0,32027
32,28,184,184,100.0,32028
32,29,148,148,100.0,32029
32,30,122,122,100.0,32030
32,31,127,127,100.0,32031
32,32,64,64,100.0,32032
32,33,2,2,100.0,32033
32,34,159,159,100.0,32034
32,37,160,160,100.0,32037
32,38,147,147,100.0,32038
32,40,0,0,0.0,32040
32,41,14,14,100.0,32041
32,42,68,68,100.0,32042
32,43,220,220,100.0,32043
33,1,187,187,100.0,33001
33,2,208,208,100.0,33002
33,3,257,257,100.0,33003
33,4,225,225,100.0,33004
33,5,139,139,100.0,33005
33,6,131,131,100.0,33006
33,7,200,200,100.0,33007
33,8,135,135,100.0,33008
33,9,198,198,100.0,33009
33,10,137,137,100.0,33010
33,11,200,200,100.0,33011
33,12,163,163,100.0,33012
33,13,165,165,100.0,33013
33,14,95,95,100.0,33014
33,15,208,208,100.0,33015
33,16,235,235,100.0,33016
33,17,192,192,100.0,33017
33,18,230,230,100.0,33018
33,19,171,171,100.0,33019
33,20,254,254,100.0,33020
33,21,200,200,100.0,33021
33,22,166,166,100.0,33022
33,23,214,214,100.0,33023
33,25,218,218,100.0,33025
33,26,125,125,100.0,33026
33,27,174,174,100.0,33027
33,28,165,165,100.0,33028
35,1,173,173,100.0,35001
35,2,16,16,100.0,35002
35,4,157,157,100.0,35004
35,5,136,136,100.0,35005
35,6,141,141,100.0,35006
35,9,101,101,100.0,35009
35,10,189,189,100.0,35010
35,11,192,192,100.0,35011
35,15,189,189,100.0,35015
35,17,190,190,100.0,35017
35,20,128,128,100.0,35020
35,22,168,168,100.0,35022
35,23,168,168,100.0,35023
35,24,126,126,100.0,35024
35,25,151,151,100.0,35025
35,26,114,114,100.0,35026
35,27,138,138,100.0,35027
35,28,174,174,100.0,35028
35,29,106,106,100.0,35029
35,30,103,103,100.0,35030
35,31,137,137,100.0,35031
36,16,36,36,100.0,36016
36,20,66,66,100.0,36020
39,12,138,138,100.0,39012
39,28,19,19,100.0,39028
45,1,8,8,100.0,45001
45,2,101,101,100.0,45002
45,8,8,8,100.0,45008
45,9,116,116,100.0,45009
45,10,38,38,100.0,45010
47,46,26,26,100.0,47046
47,48,22,22,100.0,47048
