ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,"Jacqueline """"Jackie"""" Baez","Jacqueline """"Jackie"""" Baez Percent",Delia C. Ramirez,Delia C. Ramirez Percent,precinct_id
1,1,182,33,18.13,7,3.85,142,78.02,01001
1,2,140,49,35.0,11,7.86,80,57.14,01002
1,7,148,36,24.32,17,11.49,95,64.19,01007
1,9,119,43,36.13,12,10.08,64,53.78,01009
1,13,89,23,25.84,5,5.62,61,68.54,01013
1,15,104,33,31.73,5,4.81,66,63.46,01015
1,16,204,55,26.96,19,9.31,130,63.73,01016
1,17,145,22,15.17,13,8.97,110,75.86,01017
1,18,170,35,20.59,11,6.47,124,72.94,01018
1,19,248,71,28.63,17,6.85,160,64.52,01019
1,20,140,28,20.0,6,4.29,106,75.71,01020
1,22,124,31,25.0,15,12.1,78,62.9,01022
1,23,243,60,24.69,18,7.41,165,67.9,01023
1,24,200,45,22.5,16,8.0,139,69.5,01024
1,25,161,29,18.01,9,5.59,123,76.4,01025
1,26,116,20,17.24,7,6.03,89,76.72,01026
1,27,181,37,20.44,18,9.94,126,69.61,01027
1,29,214,44,20.56,20,9.35,150,70.09,01029
1,30,211,42,19.91,18,8.53,151,71.56,01030
1,31,139,40,28.78,14,10.07,85,61.15,01031
1,34,165,30,18.18,11,6.67,124,75.15,01034
1,38,57,11,19.3,6,10.53,40,70.18,01038
1,41,98,29,29.59,11,11.22,58,59.18,01041
1,42,38,14,36.84,4,10.53,20,52.63,01042
1,43,131,37,28.24,12,9.16,82,62.6,01043
1,44,148,26,17.57,18,12.16,104,70.27,01044
26,1,126,25,19.84,10,7.94,91,72.22,26001
26,2,96,14,14.58,13,13.54,69,71.88,26002
26,3,140,32,22.86,9,6.43,99,70.71,26003
26,4,55,19,34.55,11,20.0,25,45.45,26004
26,5,101,25,24.75,11,10.89,65,64.36,26005
26,6,75,13,17.33,7,9.33,55,73.33,26006
26,7,99,9,9.09,6,6.06,84,84.85,26007
26,8,54,22,40.74,3,5.56,29,53.7,26008
26,9,107,35,32.71,11,10.28,61,57.01,26009
26,10,58,11,18.97,5,8.62,42,72.41,26010
26,11,104,20,19.23,6,5.77,78,75.0,26011
26,12,136,44,32.35,13,9.56,79,58.09,26012
26,13,45,18,40.0,7,15.56,20,44.44,26013
26,14,90,27,30.0,5,5.56,58,64.44,26014
26,15,44,20,45.45,10,22.73,14,31.82,26015
26,16,38,13,34.21,7,18.42,18,47.37,26016
26,18,63,15,23.81,7,11.11,41,65.08,26018
26,19,45,12,26.67,9,20.0,24,53.33,26019
26,20,118,32,27.12,10,8.47,76,64.41,26020
26,22,26,11,42.31,5,19.23,10,38.46,26022
26,23,57,16,28.07,5,8.77,36,63.16,26023
26,24,85,25,29.41,13,15.29,47,55.29,26024
26,25,88,27,30.68,11,12.5,50,56.82,26025
26,26,87,20,22.99,7,8.05,60,68.97,26026
26,27,149,46,30.87,17,11.41,86,57.72,26027
26,29,71,16,22.54,9,12.68,46,64.79,26029
26,30,112,24,21.43,12,10.71,76,67.86,26030
26,31,54,14,25.93,5,9.26,35,64.81,26031
26,33,12,2,16.67,1,8.33,9,75.0,26033
26,34,139,36,25.9,9,6.47,94,67.63,26034
26,35,95,36,37.89,9,9.47,50,52.63,26035
26,36,121,30,24.79,12,9.92,79,65.29,26036
26,37,119,28,23.53,9,7.56,82,68.91,26037
26,38,51,24,47.06,8,15.69,19,37.25,26038
26,39,131,32,24.43,10,7.63,89,67.94,26039
26,40,53,12,22.64,4,7.55,37,69.81,26040
26,41,133,26,19.55,15,11.28,92,69.17,26041
26,42,105,22,20.95,13,12.38,70,66.67,26042
26,43,55,24,43.64,4,7.27,27,49.09,26043
26,44,48,18,37.5,4,8.33,26,54.17,26044
26,45,47,13,27.66,7,14.89,27,57.45,26045
26,47,49,19,38.78,2,4.08,28,57.14,26047
26,48,128,24,18.75,11,8.59,93,72.66,26048
26,49,44,13,29.55,10,22.73,21,47.73,26049
27,5,3,2,66.67,0,0.0,1,33.33,27005
27,24,56,18,32.14,15,26.79,23,41.07,27024
27,29,72,20,27.78,29,40.28,23,31.94,27029
29,1,6,0,0.0,0,0.0,6,100.0,29001
29,23,124,39,31.45,33,26.61,52,41.94,29023
29,29,124,55,44.35,15,12.1,54,43.55,29029
29,30,181,81,44.75,41,22.65,59,32.6,29030
29,31,89,36,40.45,12,13.48,41,46.07,29031
29,32,108,33,30.56,29,26.85,46,42.59,29032
29,38,101,35,34.65,29,28.71,37,36.63,29038
29,39,90,33,36.67,23,25.56,34,37.78,29039
29,43,43,16,37.21,10,23.26,17,39.53,29043
30,1,167,64,38.32,26,15.57,77,46.11,30001
30,2,104,40,38.46,17,16.35,47,45.19,30002
30,3,140,60,42.86,6,4.29,74,52.86,30003
30,4,115,35,30.43,19,16.52,61,53.04,30004
30,5,55,27,49.09,15,27.27,13,23.64,30005
30,6,98,45,45.92,16,16.33,37,37.76,30006
30,7,153,60,39.22,14,9.15,79,51.63,30007
30,8,189,63,33.33,13,6.88,113,59.79,30008
30,9,92,36,39.13,16,17.39,40,43.48,30009
30,10,121,61,50.41,19,15.7,41,33.88,30010
30,11,79,34,43.04,9,11.39,36,45.57,30011
30,12,70,24,34.29,12,17.14,34,48.57,30012
30,13,103,42,40.78,9,8.74,52,50.49,30013
30,14,53,23,43.4,7,13.21,23,43.4,30014
30,16,48,17,35.42,10,20.83,21,43.75,30016
30,17,113,55,48.67,11,9.73,47,41.59,30017
30,18,186,44,23.66,21,11.29,121,65.05,30018
30,19,75,37,49.33,12,16.0,26,34.67,30019
30,20,150,55,36.67,19,12.67,76,50.67,30020
30,21,88,30,34.09,17,19.32,41,46.59,30021
30,22,218,60,27.52,17,7.8,141,64.68,30022
30,23,135,53,39.26,15,11.11,67,49.63,30023
30,24,216,57,26.39,17,7.87,142,65.74,30024
30,25,210,56,26.67,27,12.86,127,60.48,30025
30,26,81,34,41.98,11,13.58,36,44.44,30026
30,27,85,26,30.59,14,16.47,45,52.94,30027
30,28,179,80,44.69,15,8.38,84,46.93,30028
