ward,precinct,total,George A. Cardenas,George A. Cardenas Percent,Tammy Wendt,Tammy Wendt Percent,precinct_id
1,26,109,74,67.89,35,32.11,01026
11,1,134,89,66.42,45,33.58,11001
11,2,5,0,0.0,5,100.0,11002
11,3,152,109,71.71,43,28.29,11003
11,4,108,82,75.93,26,24.07,11004
11,5,156,112,71.79,44,28.21,11005
11,6,186,124,66.67,62,33.33,11006
11,7,53,29,54.72,24,45.28,11007
11,8,114,67,58.77,47,41.23,11008
11,9,95,57,60.0,38,40.0,11009
11,10,93,61,65.59,32,34.41,11010
11,11,114,70,61.4,44,38.6,11011
11,14,41,28,68.29,13,31.71,11014
11,15,51,38,74.51,13,25.49,11015
11,16,76,54,71.05,22,28.95,11016
11,17,184,128,69.57,56,30.43,11017
11,18,97,68,70.1,29,29.9,11018
11,19,193,138,71.5,55,28.5,11019
11,25,168,106,63.1,62,36.9,11025
11,27,40,28,70.0,12,30.0,11027
11,30,71,47,66.2,24,33.8,11030
11,33,140,83,59.29,57,40.71,11033
11,36,46,37,80.43,9,19.57,11036
11,37,35,22,62.86,13,37.14,11037
11,38,70,56,80.0,14,20.0,11038
12,1,130,95,73.08,35,26.92,12001
12,2,72,50,69.44,22,30.56,12002
12,3,177,101,57.06,76,42.94,12003
12,4,135,82,60.74,53,39.26,12004
12,5,119,82,68.91,37,31.09,12005
12,6,126,77,61.11,49,38.89,12006
12,7,73,51,69.86,22,30.14,12007
12,8,128,89,69.53,39,30.47,12008
12,9,86,58,67.44,28,32.56,12009
12,10,101,72,71.29,29,28.71,12010
12,11,67,53,79.1,14,20.9,12011
12,12,83,66,79.52,17,20.48,12012
12,13,94,71,75.53,23,24.47,12013
12,14,77,53,68.83,24,31.17,12014
12,15,75,54,72.0,21,28.0,12015
12,16,43,30,69.77,13,30.23,12016
12,17,78,48,61.54,30,38.46,12017
12,18,51,34,66.67,17,33.33,12018
12,19,92,66,71.74,26,28.26,12019
12,20,87,70,80.46,17,19.54,12020
12,21,107,67,62.62,40,37.38,12021
12,22,75,46,61.33,29,38.67,12022
12,23,135,88,65.19,47,34.81,12023
13,1,92,71,77.17,21,22.83,13001
13,2,87,57,65.52,30,34.48,13002
13,3,41,32,78.05,9,21.95,13003
13,4,85,55,64.71,30,35.29,13004
13,5,60,40,66.67,20,33.33,13005
13,6,101,62,61.39,39,38.61,13006
13,7,45,36,80.0,9,20.0,13007
13,8,61,36,59.02,25,40.98,13008
13,9,65,48,73.85,17,26.15,13009
13,10,81,42,51.85,39,48.15,13010
13,11,102,65,63.73,37,36.27,13011
13,12,68,51,75.0,17,25.0,13012
13,13,79,57,72.15,22,27.85,13013
13,14,80,56,70.0,24,30.0,13014
13,15,84,63,75.0,21,25.0,13015
13,16,42,29,69.05,13,30.95,13016
13,17,80,54,67.5,26,32.5,13017
13,18,74,46,62.16,28,37.84,13018
13,19,63,46,73.02,17,26.98,13019
13,20,50,26,52.0,24,48.0,13020
13,21,111,65,58.56,46,41.44,13021
13,22,97,60,61.86,37,38.14,13022
13,23,63,51,80.95,12,19.05,13023
13,24,66,53,80.3,13,19.7,13024
13,25,56,43,76.79,13,23.21,13025
13,26,86,61,70.93,25,29.07,13026
13,27,77,52,67.53,25,32.47,13027
13,28,59,45,76.27,14,23.73,13028
13,29,47,34,72.34,13,27.66,13029
13,30,38,28,73.68,10,26.32,13030
13,31,107,63,58.88,44,41.12,13031
13,32,76,46,60.53,30,39.47,13032
13,33,102,65,63.73,37,36.27,13033
13,34,70,48,68.57,22,31.43,13034
13,35,64,46,71.88,18,28.13,13035
13,36,30,24,80.0,6,20.0,13036
13,37,137,75,54.74,62,45.26,13037
13,38,59,35,59.32,24,40.68,13038
13,39,71,53,74.65,18,25.35,13039
13,40,46,28,60.87,18,39.13,13040
13,41,85,65,76.47,20,23.53,13041
13,42,106,73,68.87,33,31.13,13042
13,43,85,57,67.06,28,32.94,13043
13,44,58,46,79.31,12,20.69,13044
13,45,77,49,63.64,28,36.36,13045
13,46,64,45,70.31,19,29.69,13046
13,47,84,67,79.76,17,20.24,13047
13,48,78,44,56.41,34,43.59,13048
14,1,132,84,63.64,48,36.36,14001
14,2,80,56,70.0,24,30.0,14002
14,3,49,36,73.47,13,26.53,14003
14,4,70,43,61.43,27,38.57,14004
14,5,64,51,79.69,13,20.31,14005
14,6,24,20,83.33,4,16.67,14006
14,7,81,63,77.78,18,22.22,14007
14,8,70,63,90.0,7,10.0,14008
14,9,84,59,70.24,25,29.76,14009
14,10,48,43,89.58,5,10.42,14010
14,11,26,16,61.54,10,38.46,14011
14,12,77,47,61.04,30,38.96,14012
14,13,68,47,69.12,21,30.88,14013
14,14,70,49,70.0,21,30.0,14014
14,15,47,38,80.85,9,19.15,14015
14,16,60,45,75.0,15,25.0,14016
14,17,36,32,88.89,4,11.11,14017
14,18,36,27,75.0,9,25.0,14018
14,19,65,49,75.38,16,24.62,14019
14,20,50,37,74.0,13,26.0,14020
14,21,40,34,85.0,6,15.0,14021
14,22,90,65,72.22,25,27.78,14022
14,23,63,43,68.25,20,31.75,14023
14,24,104,61,58.65,43,41.35,14024
14,25,31,20,64.52,11,35.48,14025
14,26,60,48,80.0,12,20.0,14026
14,27,63,47,74.6,16,25.4,14027
14,28,46,35,76.09,11,23.91,14028
14,29,47,35,74.47,12,25.53,14029
14,30,41,31,75.61,10,24.39,14030
14,31,41,32,78.05,9,21.95,14031
15,1,76,56,73.68,20,26.32,15001
15,4,47,37,78.72,10,21.28,15004
15,5,49,32,65.31,17,34.69,15005
15,6,55,39,70.91,16,29.09,15006
15,8,62,49,79.03,13,20.97,15008
15,9,77,52,67.53,25,32.47,15009
15,10,121,89,73.55,32,26.45,15010
15,11,72,58,80.56,14,19.44,15011
15,12,61,40,65.57,21,34.43,15012
15,13,66,49,74.24,17,25.76,15013
15,16,62,42,67.74,20,32.26,15016
15,19,79,48,60.76,31,39.24,15019
16,1,80,59,73.75,21,26.25,16001
16,4,62,21,33.87,41,66.13,16004
16,11,52,31,59.62,21,40.38,16011
16,13,25,10,40.0,15,60.0,16013
16,17,59,36,61.02,23,38.98,16017
16,18,63,35,55.56,28,44.44,16018
16,19,71,45,63.38,26,36.62,16019
16,22,51,32,62.75,19,37.25,16022
16,23,48,33,68.75,15,31.25,16023
16,32,60,37,61.67,23,38.33,16032
16,35,52,38,73.08,14,26.92,16035
17,6,66,30,45.45,36,54.55,17006
17,7,65,38,58.46,27,41.54,17007
17,14,61,28,45.9,33,54.1,17014
17,16,77,51,66.23,26,33.77,17016
19,1,114,61,53.51,53,46.49,19001
19,2,285,144,50.53,141,49.47,19002
19,3,64,38,59.38,26,40.63,19003
19,4,125,53,42.4,72,57.6,19004
19,5,221,121,54.75,100,45.25,19005
19,6,119,55,46.22,64,53.78,19006
19,7,129,60,46.51,69,53.49,19007
19,8,82,37,45.12,45,54.88,19008
19,9,97,54,55.67,43,44.33,19009
19,10,241,130,53.94,111,46.06,19010
19,11,98,55,56.12,43,43.88,19011
19,12,80,35,43.75,45,56.25,19012
19,13,216,113,52.31,103,47.69,19013
19,14,182,98,53.85,84,46.15,19014
19,15,115,56,48.7,59,51.3,19015
19,16,136,56,41.18,80,58.82,19016
19,17,127,64,50.39,63,49.61,19017
19,18,205,105,51.22,100,48.78,19018
19,19,280,137,48.93,143,51.07,19019
19,20,171,83,48.54,88,51.46,19020
19,21,97,47,48.45,50,51.55,19021
19,22,197,95,48.22,102,51.78,19022
19,23,159,65,40.88,94,59.12,19023
19,24,74,29,39.19,45,60.81,19024
19,25,180,94,52.22,86,47.78,19025
19,26,165,91,55.15,74,44.85,19026
19,27,176,95,53.98,81,46.02,19027
19,28,208,93,44.71,115,55.29,19028
19,29,92,31,33.7,61,66.3,19029
19,30,88,50,56.82,38,43.18,19030
19,31,146,88,60.27,58,39.73,19031
