ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,Samantha Steele,Samantha Steele Percent,precinct_id
1,1,170,36,21.18,134,78.82,01001
1,2,131,33,25.19,98,74.81,01002
1,3,181,59,32.6,122,67.4,01003
1,4,146,41,28.08,105,71.92,01004
1,5,129,42,32.56,87,67.44,01005
1,6,134,37,27.61,97,72.39,01006
1,7,129,43,33.33,86,66.67,01007
1,8,140,46,32.86,94,67.14,01008
1,9,111,32,28.83,79,71.17,01009
1,10,169,55,32.54,114,67.46,01010
1,11,171,49,28.65,122,71.35,01011
1,12,180,36,20.0,144,80.0,01012
1,13,81,26,32.1,55,67.9,01013
1,14,162,53,32.72,109,67.28,01014
1,15,130,42,32.31,88,67.69,01015
1,16,196,66,33.67,130,66.33,01016
1,17,135,35,25.93,100,74.07,01017
1,18,159,29,18.24,130,81.76,01018
1,19,236,57,24.15,179,75.85,01019
1,20,124,30,24.19,94,75.81,01020
1,21,182,52,28.57,130,71.43,01021
1,22,111,26,23.42,85,76.58,01022
1,23,235,69,29.36,166,70.64,01023
1,24,181,53,29.28,128,70.72,01024
1,25,148,46,31.08,102,68.92,01025
1,27,178,55,30.9,123,69.1,01027
1,28,28,8,28.57,20,71.43,01028
1,29,205,58,28.29,147,71.71,01029
1,30,193,56,29.02,137,70.98,01030
1,31,125,37,29.6,88,70.4,01031
1,32,147,41,27.89,106,72.11,01032
1,33,177,55,31.07,122,68.93,01033
1,34,153,40,26.14,113,73.86,01034
1,35,158,50,31.65,108,68.35,01035
1,36,181,59,32.6,122,67.4,01036
1,37,161,32,19.88,129,80.12,01037
1,38,140,39,27.86,101,72.14,01038
1,39,127,52,40.94,75,59.06,01039
1,40,127,52,40.94,75,59.06,01040
1,41,85,31,36.47,54,63.53,01041
1,42,45,13,28.89,32,71.11,01042
1,43,122,25,20.49,97,79.51,01043
1,44,138,42,30.43,96,69.57,01044
2,1,139,37,26.62,102,73.38,02001
2,2,128,77,60.16,51,39.84,02002
2,3,177,57,32.2,120,67.8,02003
2,4,159,51,32.08,108,67.92,02004
2,5,161,58,36.02,103,63.98,02005
2,6,130,40,30.77,90,69.23,02006
2,7,107,32,29.91,75,70.09,02007
2,8,140,55,39.29,85,60.71,02008
2,9,143,51,35.66,92,64.34,02009
2,10,34,25,73.53,9,26.47,02010
2,11,177,109,61.58,68,38.42,02011
2,12,112,47,41.96,65,58.04,02012
2,13,165,92,55.76,73,44.24,02013
2,14,165,65,39.39,100,60.61,02014
2,15,127,49,38.58,78,61.42,02015
2,16,159,58,36.48,101,63.52,02016
2,17,223,63,28.25,160,71.75,02017
2,18,133,58,43.61,75,56.39,02018
2,19,109,64,58.72,45,41.28,02019
2,20,128,58,45.31,70,54.69,02020
2,21,163,46,28.22,117,71.78,02021
2,22,163,87,53.37,76,46.63,02022
2,23,120,74,61.67,46,38.33,02023
2,24,126,49,38.89,77,61.11,02024
2,25,175,72,41.14,103,58.86,02025
2,26,108,41,37.96,67,62.04,02026
2,27,101,48,47.52,53,52.48,02027
2,28,134,50,37.31,84,62.69,02028
2,29,127,64,50.39,63,49.61,02029
2,30,119,59,49.58,60,50.42,02030
2,31,187,117,62.57,70,37.43,02031
2,32,76,41,53.95,35,46.05,02032
2,33,188,95,50.53,93,49.47,02033
2,34,140,90,64.29,50,35.71,02034
2,35,162,54,33.33,108,66.67,02035
2,36,135,51,37.78,84,62.22,02036
2,37,168,97,57.74,71,42.26,02037
2,38,123,65,52.85,58,47.15,02038
2,39,71,23,32.39,48,67.61,02039
2,40,149,51,34.23,98,65.77,02040
2,41,119,51,42.86,68,57.14,02041
2,42,117,55,47.01,62,52.99,02042
2,43,139,73,52.52,66,47.48,02043
2,44,148,80,54.05,68,45.95,02044
2,45,89,50,56.18,39,43.82,02045
2,46,78,30,38.46,48,61.54,02046
21,42,0,0,0.0,0,0.0,21042
25,16,84,38,45.24,46,54.76,25016
25,31,27,15,55.56,12,44.44,25031
26,1,112,32,28.57,80,71.43,26001
26,3,133,38,28.57,95,71.43,26003
26,7,97,19,19.59,78,80.41,26007
26,17,115,47,40.87,68,59.13,26017
26,20,109,38,34.86,71,65.14,26020
26,25,78,20,25.64,58,74.36,26025
26,26,73,15,20.55,58,79.45,26026
26,28,150,43,28.67,107,71.33,26028
26,30,106,22,20.75,84,79.25,26030
26,32,104,39,37.5,65,62.5,26032
26,34,131,35,26.72,96,73.28,26034
26,35,79,27,34.18,52,65.82,26035
26,37,112,33,29.46,79,70.54,26037
26,39,126,28,22.22,98,77.78,26039
26,48,122,30,24.59,92,75.41,26048
27,1,187,81,43.32,106,56.68,27001
27,6,118,49,41.53,69,58.47,27006
27,7,147,42,28.57,105,71.43,27007
27,9,50,19,38.0,31,62.0,27009
27,11,93,43,46.24,50,53.76,27011
27,12,77,37,48.05,40,51.95,27012
27,13,191,82,42.93,109,57.07,27013
27,16,80,28,35.0,52,65.0,27016
27,20,43,10,23.26,33,76.74,27020
27,21,127,50,39.37,77,60.63,27021
27,27,5,3,60.0,2,40.0,27027
27,28,154,52,33.77,102,66.23,27028
27,33,17,6,35.29,11,64.71,27033
27,35,142,42,29.58,100,70.42,27035
27,36,14,9,64.29,5,35.71,27036
27,37,130,41,31.54,89,68.46,27037
27,38,206,76,36.89,130,63.11,27038
27,40,106,37,34.91,69,65.09,27040
27,42,95,27,28.42,68,71.58,27042
27,43,6,2,33.33,4,66.67,27043
27,45,94,32,34.04,62,65.96,27045
27,46,87,42,48.28,45,51.72,27046
27,47,100,28,28.0,72,72.0,27047
27,48,168,58,34.52,110,65.48,27048
29,29,121,67,55.37,54,44.63,29029
29,31,83,52,62.65,31,37.35,29031
29,32,102,47,46.08,55,53.92,29032
29,39,84,42,50.0,42,50.0,29039
30,1,160,60,37.5,100,62.5,30001
30,2,96,49,51.04,47,48.96,30002
30,3,131,50,38.17,81,61.83,30003
30,4,102,41,40.2,61,59.8,30004
30,7,135,44,32.59,91,67.41,30007
30,8,177,38,21.47,139,78.53,30008
30,9,89,43,48.31,46,51.69,30009
30,15,176,72,40.91,104,59.09,30015
30,17,110,51,46.36,59,53.64,30017
30,20,132,49,37.12,83,62.88,30020
30,21,82,32,39.02,50,60.98,30021
30,23,129,35,27.13,94,72.87,30023
30,26,74,30,40.54,44,59.46,30026
30,27,78,31,39.74,47,60.26,30027
30,28,166,55,33.13,111,66.87,30028
30,31,55,26,47.27,29,52.73,30031
30,32,126,38,30.16,88,69.84,30032
31,6,52,17,32.69,35,67.31,31006
31,8,54,20,37.04,34,62.96,31008
31,9,58,35,60.34,23,39.66,31009
31,11,61,26,42.62,35,57.38,31011
