ward,precinct,total,Lamont J. Robinson,Lamont J. Robinson Percent,precinct_id
3,1,176,176,100.0,03001
3,2,240,240,100.0,03002
3,6,237,237,100.0,03006
3,7,135,135,100.0,03007
3,8,98,98,100.0,03008
3,9,186,186,100.0,03009
3,11,92,92,100.0,03011
3,12,141,141,100.0,03012
3,14,176,176,100.0,03014
3,15,123,123,100.0,03015
3,16,135,135,100.0,03016
3,17,177,177,100.0,03017
3,18,125,125,100.0,03018
3,19,196,196,100.0,03019
3,20,176,176,100.0,03020
3,21,220,220,100.0,03021
3,22,210,210,100.0,03022
3,23,105,105,100.0,03023
3,24,117,117,100.0,03024
3,25,295,295,100.0,03025
3,27,84,84,100.0,03027
3,29,53,53,100.0,03029
3,31,75,75,100.0,03031
3,32,222,222,100.0,03032
3,33,193,193,100.0,03033
3,34,229,229,100.0,03034
3,35,88,88,100.0,03035
3,36,55,55,100.0,03036
3,37,123,123,100.0,03037
3,38,177,177,100.0,03038
3,39,271,271,100.0,03039
3,40,137,137,100.0,03040
3,41,180,180,100.0,03041
4,2,243,243,100.0,04002
4,6,151,151,100.0,04006
4,11,32,32,100.0,04011
4,14,184,184,100.0,04014
4,16,213,213,100.0,04016
4,21,19,19,100.0,04021
4,25,242,242,100.0,04025
4,36,152,152,100.0,04036
4,38,73,73,100.0,04038
5,2,97,97,100.0,05002
5,12,56,56,100.0,05012
5,13,85,85,100.0,05013
5,16,148,148,100.0,05016
5,30,44,44,100.0,05030
8,1,86,86,100.0,08001
8,2,19,19,100.0,08002
20,1,129,129,100.0,20001
20,3,112,112,100.0,20003
20,5,115,115,100.0,20005
20,7,97,97,100.0,20007
20,8,81,81,100.0,20008
20,9,176,176,100.0,20009
20,10,61,61,100.0,20010
20,11,107,107,100.0,20011
20,12,54,54,100.0,20012
20,14,67,67,100.0,20014
20,16,134,134,100.0,20016
20,18,70,70,100.0,20018
20,19,77,77,100.0,20019
20,23,75,75,100.0,20023
20,24,94,94,100.0,20024
20,27,67,67,100.0,20027
20,29,27,27,100.0,20029
20,30,51,51,100.0,20030
20,31,116,116,100.0,20031
20,33,62,62,100.0,20033
20,35,26,26,100.0,20035
20,37,29,29,100.0,20037
20,39,3,3,100.0,20039
42,10,154,154,100.0,42010
42,14,146,146,100.0,42014
42,17,86,86,100.0,42017
42,20,117,117,100.0,42020
42,25,0,0,0.0,42025
42,27,122,122,100.0,42027
42,32,109,109,100.0,42032
42,33,191,191,100.0,42033
42,38,72,72,100.0,42038
42,39,126,126,100.0,42039
42,42,154,154,100.0,42042
