ward,precinct,total,Robert Peters,Robert Peters Percent,precinct_id
2,2,115,115,100.0,02002
2,10,121,121,100.0,02010
2,11,161,161,100.0,02011
2,13,161,161,100.0,02013
2,18,124,124,100.0,02018
2,43,38,38,100.0,02043
3,2,10,10,100.0,03002
3,4,208,208,100.0,03004
3,11,58,58,100.0,03011
3,12,94,94,100.0,03012
3,20,7,7,100.0,03020
3,27,130,130,100.0,03027
3,30,151,151,100.0,03030
3,31,77,77,100.0,03031
4,1,247,247,100.0,04001
4,3,111,111,100.0,04003
4,4,224,224,100.0,04004
4,5,190,190,100.0,04005
4,6,129,129,100.0,04006
4,7,234,234,100.0,04007
4,8,219,219,100.0,04008
4,9,281,281,100.0,04009
4,10,279,279,100.0,04010
4,11,67,67,100.0,04011
4,12,198,198,100.0,04012
4,14,17,17,100.0,04014
4,15,210,210,100.0,04015
4,18,209,209,100.0,04018
4,19,86,86,100.0,04019
4,22,202,202,100.0,04022
4,23,259,259,100.0,04023
4,24,160,160,100.0,04024
4,26,143,143,100.0,04026
4,27,244,244,100.0,04027
4,28,140,140,100.0,04028
4,29,171,171,100.0,04029
4,30,182,182,100.0,04030
4,31,264,264,100.0,04031
4,32,209,209,100.0,04032
4,33,155,155,100.0,04033
4,34,151,151,100.0,04034
4,35,239,239,100.0,04035
4,36,113,113,100.0,04036
4,38,174,174,100.0,04038
5,1,112,112,100.0,05001
5,3,173,173,100.0,05003
5,4,225,225,100.0,05004
5,5,123,123,100.0,05005
5,6,123,123,100.0,05006
5,7,174,174,100.0,05007
5,8,213,213,100.0,05008
5,9,250,250,100.0,05009
5,10,99,99,100.0,05010
5,11,200,200,100.0,05011
5,13,43,43,100.0,05013
5,14,201,201,100.0,05014
5,15,168,168,100.0,05015
5,17,104,104,100.0,05017
5,18,171,171,100.0,05018
5,19,204,204,100.0,05019
5,20,267,267,100.0,05020
5,21,178,178,100.0,05021
5,22,302,302,100.0,05022
5,23,323,323,100.0,05023
5,24,201,201,100.0,05024
5,25,166,166,100.0,05025
5,26,144,144,100.0,05026
5,27,150,150,100.0,05027
5,28,187,187,100.0,05028
5,29,162,162,100.0,05029
5,30,39,39,100.0,05030
5,31,97,97,100.0,05031
5,32,207,207,100.0,05032
5,33,172,172,100.0,05033
5,34,202,202,100.0,05034
5,35,262,262,100.0,05035
5,36,53,53,100.0,05036
5,37,236,236,100.0,05037
5,38,116,116,100.0,05038
5,39,181,181,100.0,05039
5,40,121,121,100.0,05040
5,41,149,149,100.0,05041
7,1,88,88,100.0,07001
7,2,93,93,100.0,07002
7,3,120,120,100.0,07003
7,4,102,102,100.0,07004
7,5,79,79,100.0,07005
7,6,152,152,100.0,07006
7,7,70,70,100.0,07007
7,8,92,92,100.0,07008
7,9,218,218,100.0,07009
7,10,160,160,100.0,07010
7,11,92,92,100.0,07011
7,12,62,62,100.0,07012
7,13,99,99,100.0,07013
7,14,90,90,100.0,07014
7,15,132,132,100.0,07015
7,16,75,75,100.0,07016
7,17,81,81,100.0,07017
7,18,101,101,100.0,07018
7,19,99,99,100.0,07019
7,20,60,60,100.0,07020
7,21,60,60,100.0,07021
7,22,92,92,100.0,07022
7,23,141,141,100.0,07023
7,24,72,72,100.0,07024
7,25,51,51,100.0,07025
7,28,2,2,100.0,07028
7,29,65,65,100.0,07029
7,30,50,50,100.0,07030
7,31,61,61,100.0,07031
7,32,204,204,100.0,07032
7,33,213,213,100.0,07033
7,34,171,171,100.0,07034
7,35,104,104,100.0,07035
7,36,161,161,100.0,07036
7,37,134,134,100.0,07037
7,46,50,50,100.0,07046
8,1,7,7,100.0,08001
8,2,72,72,100.0,08002
8,21,0,0,0.0,08021
8,42,147,147,100.0,08042
10,1,92,92,100.0,10001
10,4,47,47,100.0,10004
10,8,25,25,100.0,10008
10,10,80,80,100.0,10010
10,11,68,68,100.0,10011
10,12,45,45,100.0,10012
10,14,79,79,100.0,10014
10,18,36,36,100.0,10018
10,19,57,57,100.0,10019
10,20,68,68,100.0,10020
10,22,24,24,100.0,10022
10,23,16,16,100.0,10023
10,25,29,29,100.0,10025
10,26,6,6,100.0,10026
10,27,49,49,100.0,10027
10,28,75,75,100.0,10028
10,29,60,60,100.0,10029
10,30,16,16,100.0,10030
10,32,66,66,100.0,10032
10,34,32,32,100.0,10034
10,35,92,92,100.0,10035
10,36,29,29,100.0,10036
20,22,193,193,100.0,20022
20,24,44,44,100.0,20024
20,26,133,133,100.0,20026
20,34,133,133,100.0,20034
42,2,98,98,100.0,42002
42,4,253,253,100.0,42004
42,6,196,196,100.0,42006
42,7,184,184,100.0,42007
42,8,163,163,100.0,42008
42,10,0,0,0.0,42010
42,11,114,114,100.0,42011
42,13,191,191,100.0,42013
42,19,205,205,100.0,42019
42,22,63,63,100.0,42022
42,23,141,141,100.0,42023
42,25,129,129,100.0,42025
42,26,194,194,100.0,42026
42,28,219,219,100.0,42028
42,29,227,227,100.0,42029
42,30,180,180,100.0,42030
42,31,179,179,100.0,42031
42,34,47,47,100.0,42034
42,35,182,182,100.0,42035
42,40,151,151,100.0,42040
42,42,88,88,100.0,42042
