ward,precinct,total,Bill Lowry,Bill Lowry Percent,precinct_id
2,2,116,116,100.0,02002
2,9,138,138,100.0,02009
2,10,122,122,100.0,02010
2,11,161,161,100.0,02011
2,12,98,98,100.0,02012
2,13,151,151,100.0,02013
2,18,122,122,100.0,02018
2,19,106,106,100.0,02019
2,23,110,110,100.0,02023
2,27,72,72,100.0,02027
2,28,120,120,100.0,02028
2,29,115,115,100.0,02029
2,30,109,109,100.0,02030
2,31,177,177,100.0,02031
2,33,183,183,100.0,02033
2,34,133,133,100.0,02034
2,35,162,162,100.0,02035
2,36,138,138,100.0,02036
2,37,155,155,100.0,02037
2,38,112,112,100.0,02038
2,42,33,33,100.0,02042
2,44,141,141,100.0,02044
2,46,85,85,100.0,02046
3,1,142,142,100.0,03001
3,2,230,230,100.0,03002
3,4,208,208,100.0,03004
3,7,134,134,100.0,03007
3,9,172,172,100.0,03009
3,11,146,146,100.0,03011
3,12,223,223,100.0,03012
3,15,122,122,100.0,03015
3,18,89,89,100.0,03018
3,19,189,189,100.0,03019
3,20,167,167,100.0,03020
3,21,72,72,100.0,03021
3,23,97,97,100.0,03023
3,24,98,98,100.0,03024
3,27,121,121,100.0,03027
3,29,47,47,100.0,03029
3,30,151,151,100.0,03030
3,31,150,150,100.0,03031
3,35,78,78,100.0,03035
3,37,83,83,100.0,03037
3,38,168,168,100.0,03038
3,41,142,142,100.0,03041
4,1,232,232,100.0,04001
4,2,235,235,100.0,04002
4,3,110,110,100.0,04003
4,4,218,218,100.0,04004
4,5,198,198,100.0,04005
4,6,275,275,100.0,04006
4,7,228,228,100.0,04007
4,8,217,217,100.0,04008
4,9,301,301,100.0,04009
4,10,299,299,100.0,04010
4,11,97,97,100.0,04011
4,12,204,204,100.0,04012
4,13,68,68,100.0,04013
4,14,195,195,100.0,04014
4,15,204,204,100.0,04015
4,16,268,268,100.0,04016
4,17,213,213,100.0,04017
4,18,200,200,100.0,04018
4,19,84,84,100.0,04019
4,20,177,177,100.0,04020
4,21,162,162,100.0,04021
4,22,190,190,100.0,04022
4,23,242,242,100.0,04023
4,24,161,161,100.0,04024
4,25,235,235,100.0,04025
4,26,151,151,100.0,04026
4,27,236,236,100.0,04027
4,28,146,146,100.0,04028
4,29,175,175,100.0,04029
4,30,180,180,100.0,04030
4,31,263,263,100.0,04031
4,32,205,205,100.0,04032
4,33,157,157,100.0,04033
4,34,148,148,100.0,04034
4,35,244,244,100.0,04035
4,36,253,253,100.0,04036
4,37,300,300,100.0,04037
4,38,239,239,100.0,04038
5,1,110,110,100.0,05001
5,2,89,89,100.0,05002
5,3,156,156,100.0,05003
5,4,222,222,100.0,05004
5,5,123,123,100.0,05005
5,6,121,121,100.0,05006
5,7,174,174,100.0,05007
5,8,189,189,100.0,05008
5,9,244,244,100.0,05009
5,10,96,96,100.0,05010
5,11,200,200,100.0,05011
5,12,73,73,100.0,05012
5,13,126,126,100.0,05013
5,14,195,195,100.0,05014
5,15,165,165,100.0,05015
5,16,151,151,100.0,05016
5,17,98,98,100.0,05017
5,18,159,159,100.0,05018
5,19,180,180,100.0,05019
5,20,278,278,100.0,05020
5,21,167,167,100.0,05021
5,22,290,290,100.0,05022
5,23,297,297,100.0,05023
5,24,193,193,100.0,05024
5,25,165,165,100.0,05025
5,26,149,149,100.0,05026
5,27,128,128,100.0,05027
5,28,190,190,100.0,05028
5,29,155,155,100.0,05029
5,30,83,83,100.0,05030
5,31,100,100,100.0,05031
5,32,205,205,100.0,05032
5,33,180,180,100.0,05033
5,34,192,192,100.0,05034
5,35,244,244,100.0,05035
5,36,59,59,100.0,05036
5,37,231,231,100.0,05037
5,38,119,119,100.0,05038
5,39,172,172,100.0,05039
5,40,122,122,100.0,05040
5,41,142,142,100.0,05041
6,6,136,136,100.0,06006
6,7,73,73,100.0,06007
6,10,21,21,100.0,06010
6,12,8,8,100.0,06012
6,16,21,21,100.0,06016
6,17,60,60,100.0,06017
6,19,60,60,100.0,06019
6,20,64,64,100.0,06020
6,30,76,76,100.0,06030
6,32,117,117,100.0,06032
6,33,134,134,100.0,06033
6,39,103,103,100.0,06039
6,40,100,100,100.0,06040
6,43,58,58,100.0,06043
6,47,100,100,100.0,06047
6,48,95,95,100.0,06048
8,1,89,89,100.0,08001
8,2,91,91,100.0,08002
8,9,31,31,100.0,08009
8,13,123,123,100.0,08013
8,14,49,49,100.0,08014
8,16,24,24,100.0,08016
8,18,57,57,100.0,08018
8,20,170,170,100.0,08020
8,21,148,148,100.0,08021
8,26,84,84,100.0,08026
8,28,101,101,100.0,08028
8,42,150,150,100.0,08042
8,43,43,43,100.0,08043
8,45,58,58,100.0,08045
8,54,59,59,100.0,08054
8,55,136,136,100.0,08055
17,2,76,76,100.0,17002
17,4,120,120,100.0,17004
17,9,79,79,100.0,17009
17,10,102,102,100.0,17010
17,15,96,96,100.0,17015
17,18,140,140,100.0,17018
17,20,153,153,100.0,17020
17,21,155,155,100.0,17021
17,22,92,92,100.0,17022
17,24,120,120,100.0,17024
17,26,98,98,100.0,17026
17,27,103,103,100.0,17027
17,29,95,95,100.0,17029
17,38,94,94,100.0,17038
17,39,94,94,100.0,17039
17,40,129,129,100.0,17040
17,41,128,128,100.0,17041
18,1,79,79,100.0,18001
18,4,152,152,100.0,18004
18,7,94,94,100.0,18007
18,8,158,158,100.0,18008
18,9,161,161,100.0,18009
18,10,223,223,100.0,18010
18,12,120,120,100.0,18012
18,13,106,106,100.0,18013
18,14,157,157,100.0,18014
18,16,124,124,100.0,18016
18,18,152,152,100.0,18018
18,19,122,122,100.0,18019
18,20,84,84,100.0,18020
18,21,174,174,100.0,18021
18,22,159,159,100.0,18022
18,23,106,106,100.0,18023
18,26,195,195,100.0,18026
18,29,6,6,100.0,18029
18,31,114,114,100.0,18031
18,33,33,33,100.0,18033
18,34,189,189,100.0,18034
18,35,154,154,100.0,18035
18,36,22,22,100.0,18036
18,37,173,173,100.0,18037
18,38,110,110,100.0,18038
18,41,177,177,100.0,18041
18,42,76,76,100.0,18042
18,48,7,7,100.0,18048
20,1,123,123,100.0,20001
20,3,112,112,100.0,20003
20,5,108,108,100.0,20005
20,8,90,90,100.0,20008
20,9,164,164,100.0,20009
20,10,58,58,100.0,20010
20,14,67,67,100.0,20014
20,16,142,142,100.0,20016
20,18,68,68,100.0,20018
20,19,77,77,100.0,20019
20,22,179,179,100.0,20022
20,24,127,127,100.0,20024
20,26,131,131,100.0,20026
20,28,1,1,100.0,20028
20,33,58,58,100.0,20033
20,34,117,117,100.0,20034
20,35,3,3,100.0,20035
25,21,119,119,100.0,25021
27,6,108,108,100.0,27006
27,9,47,47,100.0,27009
27,12,81,81,100.0,27012
27,20,37,37,100.0,27020
27,21,110,110,100.0,27021
27,37,97,97,100.0,27037
27,38,181,181,100.0,27038
27,42,82,82,100.0,27042
27,46,81,81,100.0,27046
27,47,79,79,100.0,27047
27,48,147,147,100.0,27048
42,1,163,163,100.0,42001
42,2,92,92,100.0,42002
42,4,249,249,100.0,42004
42,6,196,196,100.0,42006
42,7,176,176,100.0,42007
42,8,162,162,100.0,42008
42,11,119,119,100.0,42011
42,13,181,181,100.0,42013
42,19,62,62,100.0,42019
42,24,124,124,100.0,42024
42,26,188,188,100.0,42026
42,28,204,204,100.0,42028
42,29,212,212,100.0,42029
42,30,169,169,100.0,42030
42,31,170,170,100.0,42031
42,33,95,95,100.0,42033
42,34,132,132,100.0,42034
42,35,172,172,100.0,42035
42,40,150,150,100.0,42040
42,42,69,69,100.0,42042
43,28,136,136,100.0,43028
43,33,177,177,100.0,43033
