ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,precinct_id
18,9,87,87,100.0,18009
18,26,50,50,100.0,18026
18,34,192,192,100.0,18034
19,1,116,116,100.0,19001
19,2,292,292,100.0,19002
19,3,62,62,100.0,19003
19,4,125,125,100.0,19004
19,5,225,225,100.0,19005
19,6,116,116,100.0,19006
19,7,138,138,100.0,19007
19,8,82,82,100.0,19008
19,9,101,101,100.0,19009
19,10,248,248,100.0,19010
19,11,104,104,100.0,19011
19,12,77,77,100.0,19012
19,13,218,218,100.0,19013
19,14,196,196,100.0,19014
19,15,118,118,100.0,19015
19,16,137,137,100.0,19016
19,17,130,130,100.0,19017
19,18,214,214,100.0,19018
19,19,288,288,100.0,19019
19,20,99,99,100.0,19020
19,21,102,102,100.0,19021
19,22,199,199,100.0,19022
19,23,156,156,100.0,19023
19,24,72,72,100.0,19024
19,25,174,174,100.0,19025
19,26,185,185,100.0,19026
19,27,187,187,100.0,19027
19,28,216,216,100.0,19028
19,29,93,93,100.0,19029
19,30,87,87,100.0,19030
19,31,163,163,100.0,19031
19,32,129,129,100.0,19032
19,33,97,97,100.0,19033
19,34,159,159,100.0,19034
19,35,189,189,100.0,19035
19,36,213,213,100.0,19036
19,37,212,212,100.0,19037
19,38,170,170,100.0,19038
19,39,43,43,100.0,19039
19,40,202,202,100.0,19040
19,41,87,87,100.0,19041
19,42,137,137,100.0,19042
19,43,204,204,100.0,19043
19,44,111,111,100.0,19044
19,45,128,128,100.0,19045
19,46,140,140,100.0,19046
19,48,153,153,100.0,19048
19,49,83,83,100.0,19049
19,50,118,118,100.0,19050
19,51,184,184,100.0,19051
19,52,121,121,100.0,19052
19,53,131,131,100.0,19053
19,54,72,72,100.0,19054
19,55,71,71,100.0,19055
19,57,165,165,100.0,19057
21,1,154,154,100.0,21001
21,3,149,149,100.0,21003
21,8,136,136,100.0,21008
21,14,140,140,100.0,21014
21,16,95,95,100.0,21016
21,18,153,153,100.0,21018
21,22,42,42,100.0,21022
21,29,50,50,100.0,21029
21,32,106,106,100.0,21032
21,36,57,57,100.0,21036
21,42,77,77,100.0,21042
21,48,49,49,100.0,21048
21,50,13,13,100.0,21050
34,49,23,23,100.0,34049
