ward,precinct,total,Kam Buckner,Kam Buckner Percent,precinct_id
2,2,118,118,100.0,02002
2,10,120,120,100.0,02010
2,11,159,159,100.0,02011
2,13,159,159,100.0,02013
2,18,125,125,100.0,02018
2,43,39,39,100.0,02043
3,2,10,10,100.0,03002
3,4,210,210,100.0,03004
3,11,58,58,100.0,03011
3,12,94,94,100.0,03012
3,20,7,7,100.0,03020
3,27,135,135,100.0,03027
3,30,156,156,100.0,03030
3,31,77,77,100.0,03031
4,3,103,103,100.0,04003
4,4,223,223,100.0,04004
4,6,128,128,100.0,04006
4,7,220,220,100.0,04007
4,8,222,222,100.0,04008
4,11,65,65,100.0,04011
4,12,203,203,100.0,04012
4,14,18,18,100.0,04014
4,18,197,197,100.0,04018
4,19,86,86,100.0,04019
4,23,53,53,100.0,04023
4,24,6,6,100.0,04024
4,26,131,131,100.0,04026
4,28,138,138,100.0,04028
4,29,177,177,100.0,04029
4,30,184,184,100.0,04030
4,32,215,215,100.0,04032
4,33,157,157,100.0,04033
4,34,60,60,100.0,04034
4,35,240,240,100.0,04035
4,36,116,116,100.0,04036
4,38,171,171,100.0,04038
5,5,120,120,100.0,05005
5,6,120,120,100.0,05006
5,10,98,98,100.0,05010
5,13,41,41,100.0,05013
5,14,43,43,100.0,05014
5,15,18,18,100.0,05015
5,17,65,65,100.0,05017
5,27,1,1,100.0,05027
5,28,193,193,100.0,05028
5,30,41,41,100.0,05030
5,36,53,53,100.0,05036
7,1,86,86,100.0,07001
7,2,96,96,100.0,07002
7,3,114,114,100.0,07003
7,4,108,108,100.0,07004
7,10,163,163,100.0,07010
7,11,43,43,100.0,07011
7,15,128,128,100.0,07015
7,16,18,18,100.0,07016
7,17,0,0,0.0,07017
7,19,101,101,100.0,07019
7,20,62,62,100.0,07020
7,21,11,11,100.0,07021
7,23,139,139,100.0,07023
7,24,73,73,100.0,07024
7,25,36,36,100.0,07025
7,28,2,2,100.0,07028
7,30,9,9,100.0,07030
8,1,7,7,100.0,08001
8,2,73,73,100.0,08002
8,21,0,0,0.0,08021
8,42,153,153,100.0,08042
10,27,45,45,100.0,10027
20,22,188,188,100.0,20022
20,24,44,44,100.0,20024
20,26,133,133,100.0,20026
20,34,126,126,100.0,20034
42,2,101,101,100.0,42002
42,4,254,254,100.0,42004
42,6,189,189,100.0,42006
42,7,181,181,100.0,42007
42,8,163,163,100.0,42008
42,10,0,0,0.0,42010
42,11,113,113,100.0,42011
42,13,193,193,100.0,42013
42,19,202,202,100.0,42019
42,22,65,65,100.0,42022
42,23,144,144,100.0,42023
42,25,130,130,100.0,42025
42,26,194,194,100.0,42026
42,28,220,220,100.0,42028
42,29,227,227,100.0,42029
42,30,176,176,100.0,42030
42,31,181,181,100.0,42031
42,34,46,46,100.0,42034
42,35,182,182,100.0,42035
42,40,152,152,100.0,42040
42,42,87,87,100.0,42042
