ward,precinct,total,Lindsey LaPointe,Lindsey LaPointe Percent,Tina Wallace,Tina Wallace Percent,precinct_id
29,31,6,4,66.67,2,33.33,29031
30,7,2,1,50.0,1,50.0,30007
30,15,191,156,81.68,35,18.32,30015
30,28,99,79,79.8,20,20.2,30028
35,9,15,7,46.67,8,53.33,35009
35,31,36,31,86.11,5,13.89,35031
36,7,27,21,77.78,6,22.22,36007
36,14,84,68,80.95,16,19.05,36014
36,15,114,78,68.42,36,31.58,36015
36,16,58,46,79.31,12,20.69,36016
36,18,20,15,75.0,5,25.0,36018
36,30,10,9,90.0,1,10.0,36030
38,1,139,119,85.61,20,14.39,38001
38,3,52,36,69.23,16,30.77,38003
38,4,111,69,62.16,42,37.84,38004
38,8,46,21,45.65,25,54.35,38008
38,11,119,96,80.67,23,19.33,38011
38,14,152,123,80.92,29,19.08,38014
38,15,123,104,84.55,19,15.45,38015
38,16,103,65,63.11,38,36.89,38016
38,18,135,100,74.07,35,25.93,38018
38,19,167,112,67.07,55,32.93,38019
38,21,128,102,79.69,26,20.31,38021
38,22,144,115,79.86,29,20.14,38022
38,23,138,102,73.91,36,26.09,38023
38,25,116,90,77.59,26,22.41,38025
38,26,137,103,75.18,34,24.82,38026
38,31,185,147,79.46,38,20.54,38031
38,32,127,115,90.55,12,9.45,38032
38,33,99,80,80.81,19,19.19,38033
38,34,135,98,72.59,37,27.41,38034
38,35,131,100,76.34,31,23.66,38035
38,36,135,111,82.22,24,17.78,38036
38,37,132,89,67.42,43,32.58,38037
38,38,114,77,67.54,37,32.46,38038
38,39,161,115,71.43,46,28.57,38039
38,40,162,123,75.93,39,24.07,38040
38,41,203,171,84.24,32,15.76,38041
39,3,194,162,83.51,32,16.49,39003
39,6,8,8,100.0,0,0.0,39006
39,19,1,1,100.0,0,0.0,39019
39,21,82,50,60.98,32,39.02,39021
39,24,130,82,63.08,48,36.92,39024
39,25,80,65,81.25,15,18.75,39025
39,28,223,177,79.37,46,20.63,39028
39,31,96,78,81.25,18,18.75,39031
39,34,149,120,80.54,29,19.46,39034
39,41,63,50,79.37,13,20.63,39041
39,43,12,11,91.67,1,8.33,39043
41,3,70,47,67.14,23,32.86,41003
41,12,21,12,57.14,9,42.86,41012
41,24,114,70,61.4,44,38.6,41024
41,30,19,12,63.16,7,36.84,41030
45,1,166,154,92.77,12,7.23,45001
45,2,94,75,79.79,19,20.21,45002
45,3,195,155,79.49,40,20.51,45003
45,4,232,188,81.03,44,18.97,45004
45,5,200,143,71.5,57,28.5,45005
45,6,294,240,81.63,54,18.37,45006
45,7,290,216,74.48,74,25.52,45007
45,8,152,129,84.87,23,15.13,45008
45,9,6,5,83.33,1,16.67,45009
45,10,133,102,76.69,31,23.31,45010
45,11,90,75,83.33,15,16.67,45011
45,12,143,120,83.92,23,16.08,45012
45,13,157,130,82.8,27,17.2,45013
45,14,224,185,82.59,39,17.41,45014
45,15,246,213,86.59,33,13.41,45015
45,16,166,141,84.94,25,15.06,45016
45,17,175,149,85.14,26,14.86,45017
45,18,171,121,70.76,50,29.24,45018
45,19,69,58,84.06,11,15.94,45019
45,20,95,80,84.21,15,15.79,45020
45,21,152,120,78.95,32,21.05,45021
45,22,113,79,69.91,34,30.09,45022
45,23,121,88,72.73,33,27.27,45023
45,24,95,61,64.21,34,35.79,45024
45,25,110,71,64.55,39,35.45,45025
45,26,82,59,71.95,23,28.05,45026
45,27,133,90,67.67,43,32.33,45027
45,28,122,96,78.69,26,21.31,45028
45,29,108,81,75.0,27,25.0,45029
45,30,137,111,81.02,26,18.98,45030
45,31,127,114,89.76,13,10.24,45031
45,32,132,106,80.3,26,19.7,45032
45,33,123,103,83.74,20,16.26,45033
45,34,153,119,77.78,34,22.22,45034
45,35,180,146,81.11,34,18.89,45035
45,36,199,156,78.39,43,21.61,45036
45,37,165,109,66.06,56,33.94,45037
45,38,133,90,67.67,43,32.33,45038
45,39,141,99,70.21,42,29.79,45039
45,40,143,89,62.24,54,37.76,45040
45,41,123,89,72.36,34,27.64,45041
45,42,173,110,63.58,63,36.42,45042
45,43,134,92,68.66,42,31.34,45043
45,44,175,108,61.71,67,38.29,45044
45,45,78,41,52.56,37,47.44,45045
45,46,93,61,65.59,32,34.41,45046
45,47,104,64,61.54,40,38.46,45047
45,48,105,62,59.05,43,40.95,45048
