ward,precinct,total,Alma E. Anaya,Alma E. Anaya Percent,precinct_id
11,2,4,4,100.0,11002
11,3,132,132,100.0,11003
11,7,37,37,100.0,11007
11,33,138,138,100.0,11033
11,37,34,34,100.0,11037
11,38,65,65,100.0,11038
12,1,117,117,100.0,12001
12,2,63,63,100.0,12002
12,3,153,153,100.0,12003
12,4,123,123,100.0,12004
12,5,110,110,100.0,12005
12,6,108,108,100.0,12006
12,7,69,69,100.0,12007
12,8,111,111,100.0,12008
12,9,79,79,100.0,12009
12,10,98,98,100.0,12010
12,11,63,63,100.0,12011
12,12,70,70,100.0,12012
12,13,78,78,100.0,12013
12,14,67,67,100.0,12014
12,15,69,69,100.0,12015
12,16,35,35,100.0,12016
12,17,74,74,100.0,12017
12,18,48,48,100.0,12018
12,19,17,17,100.0,12019
12,20,80,80,100.0,12020
12,21,98,98,100.0,12021
12,22,62,62,100.0,12022
12,23,25,25,100.0,12023
13,3,40,40,100.0,13003
13,5,7,7,100.0,13005
13,15,78,78,100.0,13015
13,28,57,57,100.0,13028
13,30,27,27,100.0,13030
13,34,65,65,100.0,13034
13,35,17,17,100.0,13035
13,39,9,9,100.0,13039
13,46,20,20,100.0,13046
14,2,74,74,100.0,14002
14,3,45,45,100.0,14003
14,5,53,53,100.0,14005
14,6,21,21,100.0,14006
14,7,76,76,100.0,14007
14,8,68,68,100.0,14008
14,10,43,43,100.0,14010
14,11,24,24,100.0,14011
14,12,74,74,100.0,14012
14,13,63,63,100.0,14013
14,14,68,68,100.0,14014
14,15,48,48,100.0,14015
14,16,53,53,100.0,14016
14,17,37,37,100.0,14017
14,19,65,65,100.0,14019
14,20,47,47,100.0,14020
14,21,36,36,100.0,14021
14,25,30,30,100.0,14025
14,26,54,54,100.0,14026
14,27,64,64,100.0,14027
14,28,44,44,100.0,14028
14,29,49,49,100.0,14029
14,30,38,38,100.0,14030
14,31,41,41,100.0,14031
15,1,70,70,100.0,15001
15,4,48,48,100.0,15004
15,5,41,41,100.0,15005
15,6,50,50,100.0,15006
15,8,57,57,100.0,15008
15,9,71,71,100.0,15009
15,10,106,106,100.0,15010
15,11,68,68,100.0,15011
15,12,60,60,100.0,15012
15,13,63,63,100.0,15013
15,14,42,42,100.0,15014
15,15,51,51,100.0,15015
15,16,38,38,100.0,15016
15,19,76,76,100.0,15019
16,1,76,76,100.0,16001
16,13,8,8,100.0,16013
16,17,18,18,100.0,16017
16,23,21,21,100.0,16023
16,32,56,56,100.0,16032
16,35,51,51,100.0,16035
17,7,5,5,100.0,17007
17,12,64,64,100.0,17012
17,14,61,61,100.0,17014
20,15,62,62,100.0,20015
20,17,32,32,100.0,20017
20,20,49,49,100.0,20020
22,1,45,45,100.0,22001
22,2,91,91,100.0,22002
22,3,98,98,100.0,22003
22,4,44,44,100.0,22004
22,5,69,69,100.0,22005
22,6,63,63,100.0,22006
22,7,64,64,100.0,22007
22,8,100,100,100.0,22008
22,9,52,52,100.0,22009
22,10,111,111,100.0,22010
22,11,41,41,100.0,22011
22,12,57,57,100.0,22012
22,13,58,58,100.0,22013
22,14,70,70,100.0,22014
22,15,48,48,100.0,22015
22,16,50,50,100.0,22016
22,17,87,87,100.0,22017
22,18,50,50,100.0,22018
22,20,63,63,100.0,22020
22,22,41,41,100.0,22022
22,23,128,128,100.0,22023
22,24,97,97,100.0,22024
22,25,60,60,100.0,22025
23,5,53,53,100.0,23005
23,6,58,58,100.0,23006
23,7,45,45,100.0,23007
23,9,36,36,100.0,23009
23,10,34,34,100.0,23010
23,11,64,64,100.0,23011
23,13,53,53,100.0,23013
23,15,48,48,100.0,23015
23,17,34,34,100.0,23017
23,19,46,46,100.0,23019
23,20,35,35,100.0,23020
23,24,55,55,100.0,23024
23,25,55,55,100.0,23025
23,26,73,73,100.0,23026
23,30,70,70,100.0,23030
23,31,38,38,100.0,23031
23,32,60,60,100.0,23032
23,33,61,61,100.0,23033
23,34,61,61,100.0,23034
23,39,83,83,100.0,23039
24,7,47,47,100.0,24007
24,16,367,367,100.0,24016
25,1,89,89,100.0,25001
25,2,143,143,100.0,25002
25,3,0,0,0.0,25003
25,5,112,112,100.0,25005
25,7,106,106,100.0,25007
25,8,123,123,100.0,25008
25,9,93,93,100.0,25009
25,11,128,128,100.0,25011
25,12,128,128,100.0,25012
25,13,155,155,100.0,25013
25,14,9,9,100.0,25014
25,15,99,99,100.0,25015
25,17,138,138,100.0,25017
25,19,119,119,100.0,25019
25,22,113,113,100.0,25022
25,23,164,164,100.0,25023
25,24,95,95,100.0,25024
25,26,104,104,100.0,25026
25,27,56,56,100.0,25027
25,28,109,109,100.0,25028
25,30,91,91,100.0,25030
25,32,82,82,100.0,25032
28,19,2,2,100.0,28019
28,34,12,12,100.0,28034
