ward,precinct,total,Mary Bernadette McMahon,Mary Bernadette McMahon Percent,Suzanne Therese McEneely,Suzanne Therese McEneely Percent,Tracie Porter,Tracie Porter Percent,precinct_id
2,21,175,29,16.57,27,15.43,119,68.0,02021
2,22,154,48,31.17,17,11.04,89,57.79,02022
2,23,117,41,35.04,27,23.08,49,41.88,02023
2,24,127,51,40.16,13,10.24,63,49.61,02024
2,25,184,37,20.11,30,16.3,117,63.59,02025
2,26,110,28,25.45,20,18.18,62,56.36,02026
2,27,90,31,34.44,16,17.78,43,47.78,02027
2,28,140,51,36.43,12,8.57,77,55.0,02028
2,29,132,49,37.12,17,12.88,66,50.0,02029
2,30,115,51,44.35,16,13.91,48,41.74,02030
2,31,180,76,42.22,23,12.78,81,45.0,02031
2,32,79,24,30.38,20,25.32,35,44.3,02032
2,33,189,56,29.63,33,17.46,100,52.91,02033
2,34,140,51,36.43,24,17.14,65,46.43,02034
2,35,171,50,29.24,35,20.47,86,50.29,02035
2,36,144,54,37.5,17,11.81,73,50.69,02036
2,37,167,60,35.93,25,14.97,82,49.1,02037
2,38,120,40,33.33,21,17.5,59,49.17,02038
2,39,70,25,35.71,22,31.43,23,32.86,02039
2,40,153,36,23.53,24,15.69,93,60.78,02040
2,41,130,49,37.69,14,10.77,67,51.54,02041
2,42,120,33,27.5,21,17.5,66,55.0,02042
2,43,149,50,33.56,27,18.12,72,48.32,02043
2,44,151,64,42.38,20,13.25,67,44.37,02044
2,45,94,31,32.98,13,13.83,50,53.19,02045
2,46,86,22,25.58,11,12.79,53,61.63,02046
3,1,195,40,20.51,19,9.74,136,69.74,03001
3,2,256,41,16.02,29,11.33,186,72.66,03002
3,3,110,26,23.64,19,17.27,65,59.09,03003
3,4,224,26,11.61,30,13.39,168,75.0,03004
3,5,82,15,18.29,7,8.54,60,73.17,03005
3,6,224,54,24.11,22,9.82,148,66.07,03006
3,7,148,34,22.97,15,10.14,99,66.89,03007
3,8,106,23,21.7,10,9.43,73,68.87,03008
3,9,188,31,16.49,21,11.17,136,72.34,03009
3,10,64,12,18.75,9,14.06,43,67.19,03010
3,11,159,20,12.58,13,8.18,126,79.25,03011
3,12,243,48,19.75,29,11.93,166,68.31,03012
3,13,198,48,24.24,25,12.63,125,63.13,03013
3,14,180,47,26.11,21,11.67,112,62.22,03014
3,15,124,22,17.74,10,8.06,92,74.19,03015
3,16,141,25,17.73,9,6.38,107,75.89,03016
3,17,180,34,18.89,32,17.78,114,63.33,03017
3,18,214,39,18.22,26,12.15,149,69.63,03018
3,19,206,54,26.21,26,12.62,126,61.17,03019
3,20,184,37,20.11,21,11.41,126,68.48,03020
3,21,218,57,26.15,22,10.09,139,63.76,03021
3,22,214,54,25.23,44,20.56,116,54.21,03022
3,23,99,15,15.15,13,13.13,71,71.72,03023
3,24,124,20,16.13,15,12.1,89,71.77,03024
3,25,300,90,30.0,43,14.33,167,55.67,03025
3,26,227,56,24.67,24,10.57,147,64.76,03026
3,27,201,50,24.88,32,15.92,119,59.2,03027
3,28,128,27,21.09,20,15.63,81,63.28,03028
3,29,118,25,21.19,14,11.86,79,66.95,03029
3,30,167,25,14.97,14,8.38,128,76.65,03030
3,31,156,21,13.46,10,6.41,125,80.13,03031
3,32,214,52,24.3,32,14.95,130,60.75,03032
3,33,192,50,26.04,27,14.06,115,59.9,03033
3,34,237,63,26.58,38,16.03,136,57.38,03034
