ward,precinct,total,"Jawaharial """"Omar"""" Williams","Jawaharial """"Omar"""" Williams Percent",precinct_id
1,6,133,133,100.0,01006
1,8,15,15,100.0,01008
1,10,0,0,0.0,01010
1,11,20,20,100.0,01011
1,21,18,18,100.0,01021
1,33,25,25,100.0,01033
1,35,160,160,100.0,01035
1,37,166,166,100.0,01037
1,40,124,124,100.0,01040
2,1,146,146,100.0,02001
2,5,161,161,100.0,02005
2,6,117,117,100.0,02006
2,7,114,114,100.0,02007
2,8,145,145,100.0,02008
2,15,65,65,100.0,02015
2,20,84,84,100.0,02020
2,22,161,161,100.0,02022
2,25,192,192,100.0,02025
2,26,57,57,100.0,02026
24,4,48,48,100.0,24004
24,17,19,19,100.0,24017
24,18,77,77,100.0,24018
24,19,85,85,100.0,24019
24,20,61,61,100.0,24020
24,32,47,47,100.0,24032
25,10,117,117,100.0,25010
25,16,61,61,100.0,25016
25,31,175,175,100.0,25031
26,28,5,5,100.0,26028
27,1,195,195,100.0,27001
27,2,139,139,100.0,27002
27,3,46,46,100.0,27003
27,4,62,62,100.0,27004
27,5,14,14,100.0,27005
27,7,162,162,100.0,27007
27,8,69,69,100.0,27008
27,10,112,112,100.0,27010
27,11,57,57,100.0,27011
27,13,189,189,100.0,27013
27,14,24,24,100.0,27014
27,15,11,11,100.0,27015
27,16,62,62,100.0,27016
27,17,100,100,100.0,27017
27,22,55,55,100.0,27022
27,23,73,73,100.0,27023
27,25,36,36,100.0,27025
27,26,73,73,100.0,27026
27,27,135,135,100.0,27027
27,30,40,40,100.0,27030
27,31,53,53,100.0,27031
27,32,96,96,100.0,27032
27,33,120,120,100.0,27033
27,34,59,59,100.0,27034
27,35,155,155,100.0,27035
27,36,74,74,100.0,27036
27,39,89,89,100.0,27039
27,40,111,111,100.0,27040
27,41,5,5,100.0,27041
27,43,67,67,100.0,27043
27,44,61,61,100.0,27044
27,45,12,12,100.0,27045
27,49,78,78,100.0,27049
27,50,90,90,100.0,27050
28,2,71,71,100.0,28002
28,3,44,44,100.0,28003
28,6,52,52,100.0,28006
28,7,50,50,100.0,28007
28,8,129,129,100.0,28008
28,9,57,57,100.0,28009
28,13,121,121,100.0,28013
28,15,30,30,100.0,28015
28,16,48,48,100.0,28016
28,17,69,69,100.0,28017
28,20,51,51,100.0,28020
28,21,73,73,100.0,28021
28,22,76,76,100.0,28022
28,23,78,78,100.0,28023
28,24,49,49,100.0,28024
28,25,137,137,100.0,28025
28,26,77,77,100.0,28026
28,30,23,23,100.0,28030
28,32,71,71,100.0,28032
28,33,88,88,100.0,28033
28,36,37,37,100.0,28036
28,37,75,75,100.0,28037
28,38,27,27,100.0,28038
28,40,66,66,100.0,28040
28,44,42,42,100.0,28044
28,45,118,118,100.0,28045
32,2,14,14,100.0,32002
32,4,93,93,100.0,32004
32,6,52,52,100.0,32006
32,13,1,1,100.0,32013
32,31,11,11,100.0,32031
32,32,127,127,100.0,32032
32,33,159,159,100.0,32033
32,35,142,142,100.0,32035
32,36,145,145,100.0,32036
37,3,47,47,100.0,37003
37,13,57,57,100.0,37013
37,21,0,0,0.0,37021
41,23,0,0,0.0,41023
43,5,67,67,100.0,43005
43,7,32,32,100.0,43007
43,10,183,183,100.0,43010
43,11,97,97,100.0,43011
43,23,94,94,100.0,43023
43,30,141,141,100.0,43030
43,39,50,50,100.0,43039
43,41,69,69,100.0,43041
