ward,precinct,total,Steve Demitro,Steve Demitro Percent,Viviana Martinez,Viviana Martinez Percent,Jorge V. Cazares,Jorge V. Cazares Percent,precinct_id
3,28,2,0,0.0,2,100.0,0,0.0,03028
11,1,133,52,39.1,74,55.64,7,5.26,11001
11,2,5,3,60.0,1,20.0,1,20.0,11002
11,3,155,41,26.45,98,63.23,16,10.32,11003
11,4,116,40,34.48,58,50.0,18,15.52,11004
11,5,154,47,30.52,89,57.79,18,11.69,11005
11,7,70,31,44.29,29,41.43,10,14.29,11007
11,8,120,47,39.17,56,46.67,17,14.17,11008
11,9,85,38,44.71,42,49.41,5,5.88,11009
11,10,90,43,47.78,32,35.56,15,16.67,11010
11,11,114,43,37.72,56,49.12,15,13.16,11011
11,17,185,66,35.68,99,53.51,20,10.81,11017
11,19,191,53,27.75,115,60.21,23,12.04,11019
11,21,209,130,62.2,54,25.84,25,11.96,11021
11,22,143,65,45.45,61,42.66,17,11.89,11022
11,24,234,129,55.13,71,30.34,34,14.53,11024
11,25,162,64,39.51,76,46.91,22,13.58,11025
11,26,160,76,47.5,66,41.25,18,11.25,11026
11,29,160,90,56.25,43,26.88,27,16.88,11029
11,31,113,20,17.7,47,41.59,46,40.71,11031
11,33,139,51,36.69,78,56.12,10,7.19,11033
11,37,0,0,0.0,0,0.0,0,0.0,11037
11,38,67,25,37.31,38,56.72,4,5.97,11038
12,1,118,40,33.9,68,57.63,10,8.47,12001
12,2,67,22,32.84,28,41.79,17,25.37,12002
12,3,174,60,34.48,83,47.7,31,17.82,12003
12,4,127,45,35.43,70,55.12,12,9.45,12004
12,5,120,53,44.17,49,40.83,18,15.0,12005
12,6,117,25,21.37,67,57.26,25,21.37,12006
12,7,71,14,19.72,45,63.38,12,16.9,12007
12,8,111,41,36.94,53,47.75,17,15.32,12008
12,9,83,27,32.53,48,57.83,8,9.64,12009
12,10,97,12,12.37,75,77.32,10,10.31,12010
12,11,58,8,13.79,39,67.24,11,18.97,12011
12,12,74,16,21.62,39,52.7,19,25.68,12012
12,13,86,18,20.93,61,70.93,7,8.14,12013
12,14,65,3,4.62,46,70.77,16,24.62,12014
12,15,67,7,10.45,45,67.16,15,22.39,12015
12,16,40,3,7.5,32,80.0,5,12.5,12016
12,17,77,21,27.27,41,53.25,15,19.48,12017
12,18,49,9,18.37,35,71.43,5,10.2,12018
12,19,89,26,29.21,46,51.69,17,19.1,12019
12,20,81,16,19.75,46,56.79,19,23.46,12020
12,21,97,23,23.71,55,56.7,19,19.59,12021
12,22,65,8,12.31,51,78.46,6,9.23,12022
12,23,126,45,35.71,65,51.59,16,12.7,12023
14,5,62,9,14.52,38,61.29,15,24.19,14005
14,6,24,2,8.33,12,50.0,10,41.67,14006
14,10,43,13,30.23,26,60.47,4,9.3,14010
14,11,24,5,20.83,13,54.17,6,25.0,14011
14,14,68,11,16.18,48,70.59,9,13.24,14014
14,15,49,8,16.33,36,73.47,5,10.2,14015
14,16,55,8,14.55,37,67.27,10,18.18,14016
14,17,39,6,15.38,26,66.67,7,17.95,14017
14,19,66,10,15.15,47,71.21,9,13.64,14019
14,20,48,10,20.83,29,60.42,9,18.75,14020
14,21,40,5,12.5,29,72.5,6,15.0,14021
14,25,28,4,14.29,18,64.29,6,21.43,14025
14,26,57,8,14.04,38,66.67,11,19.3,14026
14,29,49,10,20.41,31,63.27,8,16.33,14029
14,30,40,6,15.0,28,70.0,6,15.0,14030
14,31,39,3,7.69,33,84.62,3,7.69,14031
15,1,73,11,15.07,48,65.75,14,19.18,15001
15,4,49,7,14.29,32,65.31,10,20.41,15004
15,5,42,8,19.05,31,73.81,3,7.14,15005
15,6,52,12,23.08,30,57.69,10,19.23,15006
15,8,55,9,16.36,31,56.36,15,27.27,15008
15,9,76,14,18.42,46,60.53,16,21.05,15009
15,10,115,25,21.74,76,66.09,14,12.17,15010
15,11,69,22,31.88,35,50.72,12,17.39,15011
15,12,63,10,15.87,44,69.84,9,14.29,15012
15,13,64,8,12.5,47,73.44,9,14.06,15013
15,14,43,8,18.6,34,79.07,1,2.33,15014
15,15,49,5,10.2,35,71.43,9,18.37,15015
15,16,57,9,15.79,38,66.67,10,17.54,15016
15,19,73,18,24.66,46,63.01,9,12.33,15019
16,1,77,20,25.97,46,59.74,11,14.29,16001
16,2,20,4,20.0,14,70.0,2,10.0,16002
16,4,60,16,26.67,37,61.67,7,11.67,16004
16,6,5,2,40.0,3,60.0,0,0.0,16006
16,7,74,20,27.03,45,60.81,9,12.16,16007
16,11,56,14,25.0,34,60.71,8,14.29,16011
16,13,23,9,39.13,13,56.52,1,4.35,16013
16,17,54,10,18.52,37,68.52,7,12.96,16017
16,18,58,14,24.14,37,63.79,7,12.07,16018
16,19,64,16,25.0,43,67.19,5,7.81,16019
16,22,46,11,23.91,29,63.04,6,13.04,16022
16,23,44,3,6.82,36,81.82,5,11.36,16023
16,32,58,17,29.31,31,53.45,10,17.24,16032
16,35,52,7,13.46,37,71.15,8,15.38,16035
17,6,65,16,24.62,44,67.69,5,7.69,17006
17,7,60,18,30.0,39,65.0,3,5.0,17007
17,12,49,10,20.41,32,65.31,7,14.29,17012
17,14,32,6,18.75,22,68.75,4,12.5,17014
17,16,78,23,29.49,44,56.41,11,14.1,17016
17,25,52,19,36.54,27,51.92,6,11.54,17025
20,4,7,1,14.29,5,71.43,1,14.29,20004
20,15,58,6,10.34,47,81.03,5,8.62,20015
20,17,45,12,26.67,30,66.67,3,6.67,20017
20,20,52,7,13.46,35,67.31,10,19.23,20020
22,3,101,9,8.91,79,78.22,13,12.87,22003
22,4,49,3,6.12,36,73.47,10,20.41,22004
22,5,70,2,2.86,64,91.43,4,5.71,22005
22,6,66,3,4.55,49,74.24,14,21.21,22006
22,7,70,5,7.14,51,72.86,14,20.0,22007
22,9,61,6,9.84,41,67.21,14,22.95,22009
22,10,111,5,4.5,92,82.88,14,12.61,22010
22,11,36,1,2.78,33,91.67,2,5.56,22011
22,12,64,11,17.19,45,70.31,8,12.5,22012
22,13,62,9,14.52,45,72.58,8,12.9,22013
22,14,72,15,20.83,44,61.11,13,18.06,22014
22,15,50,2,4.0,38,76.0,10,20.0,22015
22,16,56,4,7.14,48,85.71,4,7.14,22016
22,17,98,5,5.1,80,81.63,13,13.27,22017
22,18,57,7,12.28,33,57.89,17,29.82,22018
22,19,38,15,39.47,20,52.63,3,7.89,22019
22,20,63,9,14.29,43,68.25,11,17.46,22020
22,22,47,3,6.38,36,76.6,8,17.02,22022
22,24,103,11,10.68,78,75.73,14,13.59,22024
22,25,58,1,1.72,50,86.21,7,12.07,22025
24,7,48,13,27.08,28,58.33,7,14.58,24007
24,10,4,0,0.0,3,75.0,1,25.0,24010
24,16,440,97,22.05,266,60.45,77,17.5,24016
24,39,92,22,23.91,57,61.96,13,14.13,24039
25,1,100,7,7.0,80,80.0,13,13.0,25001
25,2,146,27,18.49,98,67.12,21,14.38,25002
25,4,32,17,53.13,13,40.63,2,6.25,25004
25,5,117,27,23.08,77,65.81,13,11.11,25005
25,7,116,19,16.38,82,70.69,15,12.93,25007
25,8,137,18,13.14,73,53.28,46,33.58,25008
25,9,93,11,11.83,74,79.57,8,8.6,25009
25,11,130,21,16.15,93,71.54,16,12.31,25011
25,12,130,32,24.62,81,62.31,17,13.08,25012
25,13,170,27,15.88,99,58.24,44,25.88,25013
25,14,9,2,22.22,7,77.78,0,0.0,25014
25,15,105,12,11.43,70,66.67,23,21.9,25015
25,17,138,19,13.77,109,78.99,10,7.25,25017
25,19,122,22,18.03,80,65.57,20,16.39,25019
25,22,117,14,11.97,88,75.21,15,12.82,25022
25,23,168,31,18.45,113,67.26,24,14.29,25023
25,24,95,12,12.63,67,70.53,16,16.84,25024
25,25,107,46,42.99,47,43.93,14,13.08,25025
25,26,111,14,12.61,77,69.37,20,18.02,25026
25,27,18,1,5.56,17,94.44,0,0.0,25027
25,28,117,20,17.09,86,73.5,11,9.4,25028
25,30,106,14,13.21,65,61.32,27,25.47,25030
25,32,90,33,36.67,48,53.33,9,10.0,25032
28,19,2,0,0.0,2,100.0,0,0.0,28019
