ward,precinct,total,Michael J. Kelly,Michael J. Kelly Percent,Michael Patrick Rabbitt,Michael Patrick Rabbitt Percent,precinct_id
33,2,17,9,52.94,8,47.06,33002
39,1,153,78,50.98,75,49.02,39001
39,2,137,93,67.88,44,32.12,39002
39,4,170,102,60.0,68,40.0,39004
39,5,181,79,43.65,102,56.35,39005
39,6,146,71,48.63,75,51.37,39006
39,7,161,75,46.58,86,53.42,39007
39,8,224,121,54.02,103,45.98,39008
39,9,125,81,64.8,44,35.2,39009
39,10,99,32,32.32,67,67.68,39010
39,11,169,90,53.25,79,46.75,39011
39,12,54,24,44.44,30,55.56,39012
39,13,121,45,37.19,76,62.81,39013
39,14,171,106,61.99,65,38.01,39014
39,15,177,136,76.84,41,23.16,39015
39,16,88,45,51.14,43,48.86,39016
39,17,236,154,65.25,82,34.75,39017
39,18,188,81,43.09,107,56.91,39018
39,19,191,109,57.07,82,42.93,39019
39,20,192,108,56.25,84,43.75,39020
39,21,66,47,71.21,19,28.79,39021
39,22,102,46,45.1,56,54.9,39022
39,23,155,81,52.26,74,47.74,39023
39,24,79,54,68.35,25,31.65,39024
39,25,20,14,70.0,6,30.0,39025
39,26,134,76,56.72,58,43.28,39026
39,27,39,19,48.72,20,51.28,39027
39,29,73,29,39.73,44,60.27,39029
39,30,187,58,31.02,129,68.98,39030
39,31,8,3,37.5,5,62.5,39031
39,32,157,92,58.6,65,41.4,39032
39,33,185,74,40.0,111,60.0,39033
39,35,184,58,31.52,126,68.48,39035
39,36,54,41,75.93,13,24.07,39036
39,37,198,112,56.57,86,43.43,39037
39,38,143,85,59.44,58,40.56,39038
39,39,104,62,59.62,42,40.38,39039
39,40,148,97,65.54,51,34.46,39040
39,41,126,51,40.48,75,59.52,39041
39,42,213,140,65.73,73,34.27,39042
39,43,148,82,55.41,66,44.59,39043
39,44,129,57,44.19,72,55.81,39044
39,45,181,95,52.49,86,47.51,39045
40,1,18,10,55.56,8,44.44,40001
40,2,4,2,50.0,2,50.0,40002
40,10,54,22,40.74,32,59.26,40010
40,17,29,16,55.17,13,44.83,40017
40,24,60,21,35.0,39,65.0,40024
40,29,184,54,29.35,130,70.65,40029
40,30,178,66,37.08,112,62.92,40030
40,34,150,43,28.67,107,71.33,40034
41,6,252,98,38.89,154,61.11,41006
41,9,91,52,57.14,39,42.86,41009
41,14,239,76,31.8,163,68.2,41014
41,19,199,60,30.15,139,69.85,41019
41,32,130,73,56.15,57,43.85,41032
41,39,199,98,49.25,101,50.75,41039
41,47,200,92,46.0,108,54.0,41047
50,17,56,38,67.86,18,32.14,50017
50,23,88,65,73.86,23,26.14,50023
50,24,190,171,90.0,19,10.0,50024
50,25,192,147,76.56,45,23.44,50025
50,26,36,20,55.56,16,44.44,50026
50,39,18,14,77.78,4,22.22,50039
