ward,precinct,total,Robert Martwick,Robert Martwick Percent,Erin Elizabeth Jones,Erin Elizabeth Jones Percent,precinct_id
45,13,156,117,75.0,39,25.0,45013
45,14,227,169,74.45,58,25.55,45014
45,15,246,210,85.37,36,14.63,45015
45,16,166,130,78.31,36,21.69,45016
45,17,172,130,75.58,42,24.42,45017
45,18,167,115,68.86,52,31.14,45018
45,19,69,51,73.91,18,26.09,45019
45,20,97,77,79.38,20,20.62,45020
45,21,149,112,75.17,37,24.83,45021
45,22,116,84,72.41,32,27.59,45022
45,23,123,83,67.48,40,32.52,45023
45,24,98,59,60.2,39,39.8,45024
45,25,111,59,53.15,52,46.85,45025
45,26,77,50,64.94,27,35.06,45026
45,27,133,84,63.16,49,36.84,45027
45,28,126,94,74.6,32,25.4,45028
45,29,110,78,70.91,32,29.09,45029
45,30,136,107,78.68,29,21.32,45030
45,31,128,97,75.78,31,24.22,45031
45,32,131,97,74.05,34,25.95,45032
45,33,125,92,73.6,33,26.4,45033
45,34,151,114,75.5,37,24.5,45034
45,35,183,146,79.78,37,20.22,45035
45,36,200,135,67.5,65,32.5,45036
45,37,164,109,66.46,55,33.54,45037
45,38,137,97,70.8,40,29.2,45038
45,39,145,99,68.28,46,31.72,45039
45,40,146,71,48.63,75,51.37,45040
45,41,126,77,61.11,49,38.89,45041
45,42,177,87,49.15,90,50.85,45042
45,43,133,89,66.92,44,33.08,45043
45,44,185,112,60.54,73,39.46,45044
45,45,81,45,55.56,36,44.44,45045
45,46,89,56,62.92,33,37.08,45046
45,47,106,62,58.49,44,41.51,45047
45,48,108,63,58.33,45,41.67,45048
