ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent,Jasimone Ward,Jasimone Ward Percent,precinct_id
9,5,64,35,54.69,29,45.31,09005
9,10,88,70,79.55,18,20.45,09010
9,17,39,30,76.92,9,23.08,09017
9,20,118,95,80.51,23,19.49,09020
9,21,104,85,81.73,19,18.27,09021
9,27,119,99,83.19,20,16.81,09027
9,29,20,16,80.0,4,20.0,09029
9,30,84,72,85.71,12,14.29,09030
19,20,81,62,76.54,19,23.46,19020
19,47,299,227,75.92,72,24.08,19047
19,49,160,130,81.25,30,18.75,19049
21,5,168,137,81.55,31,18.45,21005
21,6,98,83,84.69,15,15.31,21006
21,10,131,111,84.73,20,15.27,21010
21,12,103,80,77.67,23,22.33,21012
21,17,59,41,69.49,18,30.51,21017
21,19,156,132,84.62,24,15.38,21019
21,21,128,103,80.47,25,19.53,21021
21,22,89,74,83.15,15,16.85,21022
21,23,138,116,84.06,22,15.94,21023
21,24,161,139,86.34,22,13.66,21024
21,25,146,126,86.3,20,13.7,21025
21,27,143,116,81.12,27,18.88,21027
21,33,21,16,76.19,5,23.81,21033
21,34,53,42,79.25,11,20.75,21034
21,35,164,146,89.02,18,10.98,21035
21,36,60,43,71.67,17,28.33,21036
21,37,115,95,82.61,20,17.39,21037
21,38,102,78,76.47,24,23.53,21038
21,39,81,64,79.01,17,20.99,21039
21,40,128,102,79.69,26,20.31,21040
21,41,161,135,83.85,26,16.15,21041
21,42,68,46,67.65,22,32.35,21042
21,44,72,60,83.33,12,16.67,21044
21,45,122,100,81.97,22,18.03,21045
21,46,141,109,77.3,32,22.7,21046
21,48,67,56,83.58,11,16.42,21048
21,49,166,135,81.33,31,18.67,21049
21,50,93,71,76.34,22,23.66,21050
34,1,178,145,81.46,33,18.54,34001
34,2,137,107,78.1,30,21.9,34002
34,4,88,66,75.0,22,25.0,34004
34,5,105,75,71.43,30,28.57,34005
34,7,175,146,83.43,29,16.57,34007
34,8,91,68,74.73,23,25.27,34008
34,10,157,120,76.43,37,23.57,34010
34,12,182,142,78.02,40,21.98,34012
34,13,121,98,80.99,23,19.01,34013
34,15,90,68,75.56,22,24.44,34015
34,17,180,145,80.56,35,19.44,34017
34,18,70,55,78.57,15,21.43,34018
34,19,132,108,81.82,24,18.18,34019
34,20,196,156,79.59,40,20.41,34020
34,21,221,172,77.83,49,22.17,34021
34,22,146,114,78.08,32,21.92,34022
34,23,61,48,78.69,13,21.31,34023
34,24,98,81,82.65,17,17.35,34024
34,25,222,191,86.04,31,13.96,34025
34,27,79,59,74.68,20,25.32,34027
34,28,51,36,70.59,15,29.41,34028
34,29,105,76,72.38,29,27.62,34029
34,30,188,149,79.26,39,20.74,34030
34,32,119,87,73.11,32,26.89,34032
34,34,159,132,83.02,27,16.98,34034
34,35,172,143,83.14,29,16.86,34035
34,36,132,98,74.24,34,25.76,34036
34,39,64,42,65.63,22,34.38,34039
34,41,54,40,74.07,14,25.93,34041
34,42,97,65,67.01,32,32.99,34042
34,43,156,133,85.26,23,14.74,34043
34,44,146,127,86.99,19,13.01,34044
34,45,144,127,88.19,17,11.81,34045
34,46,116,86,74.14,30,25.86,34046
34,47,102,86,84.31,16,15.69,34047
34,48,175,142,81.14,33,18.86,34048
34,49,136,116,85.29,20,14.71,34049
34,52,125,105,84.0,20,16.0,34052
