ward,precinct,total,Omar Aquino,Omar Aquino Percent,Wilmer A. Maldonado,Wilmer A. Maldonado Percent,Wilson Vazquez,Wilson Vazquez Percent,precinct_id
1,1,183,159,86.89,10,5.46,14,7.65,01001
1,2,142,111,78.17,17,11.97,14,9.86,01002
1,3,193,161,83.42,19,9.84,13,6.74,01003
1,4,159,127,79.87,15,9.43,17,10.69,01004
1,5,152,137,90.13,7,4.61,8,5.26,01005
1,8,145,107,73.79,27,18.62,11,7.59,01008
1,10,190,168,88.42,10,5.26,12,6.32,01010
1,11,167,132,79.04,17,10.18,18,10.78,01011
1,12,196,161,82.14,18,9.18,17,8.67,01012
1,14,174,150,86.21,13,7.47,11,6.32,01014
1,15,149,127,85.23,12,8.05,10,6.71,01015
1,17,147,126,85.71,12,8.16,9,6.12,01017
1,18,172,142,82.56,15,8.72,15,8.72,01018
1,20,144,119,82.64,16,11.11,9,6.25,01020
1,21,178,155,87.08,13,7.3,10,5.62,01021
1,22,123,97,78.86,15,12.2,11,8.94,01022
1,24,198,142,71.72,23,11.62,33,16.67,01024
1,25,156,133,85.26,14,8.97,9,5.77,01025
1,26,117,96,82.05,12,10.26,9,7.69,01026
1,27,185,158,85.41,16,8.65,11,5.95,01027
1,29,228,193,84.65,14,6.14,21,9.21,01029
1,30,208,174,83.65,15,7.21,19,9.13,01030
1,31,133,111,83.46,11,8.27,11,8.27,01031
1,32,156,128,82.05,15,9.62,13,8.33,01032
1,33,166,137,82.53,15,9.04,14,8.43,01033
1,36,197,168,85.28,15,7.61,14,7.11,01036
1,38,156,125,80.13,20,12.82,11,7.05,01038
1,39,136,110,80.88,10,7.35,16,11.76,01039
1,44,147,132,89.8,7,4.76,8,5.44,01044
2,3,189,147,77.78,14,7.41,28,14.81,02003
2,4,169,146,86.39,9,5.33,14,8.28,02004
2,14,189,158,83.6,14,7.41,17,8.99,02014
2,15,71,61,85.92,5,7.04,5,7.04,02015
2,16,164,140,85.37,14,8.54,10,6.1,02016
2,17,235,201,85.53,22,9.36,12,5.11,02017
2,21,189,164,86.77,13,6.88,12,6.35,02021
26,1,128,105,82.03,10,7.81,13,10.16,26001
26,2,92,73,79.35,12,13.04,7,7.61,26002
26,3,139,110,79.14,13,9.35,16,11.51,26003
26,4,56,35,62.5,11,19.64,10,17.86,26004
26,5,101,75,74.26,11,10.89,15,14.85,26005
26,6,73,55,75.34,10,13.7,8,10.96,26006
26,7,4,4,100.0,0,0.0,0,0.0,26007
26,8,50,37,74.0,5,10.0,8,16.0,26008
26,9,111,76,68.47,23,20.72,12,10.81,26009
26,10,96,68,70.83,13,13.54,15,15.63,26010
26,11,107,83,77.57,11,10.28,13,12.15,26011
26,12,129,95,73.64,15,11.63,19,14.73,26012
26,13,48,28,58.33,10,20.83,10,20.83,26013
26,14,87,66,75.86,12,13.79,9,10.34,26014
26,15,45,26,57.78,9,20.0,10,22.22,26015
26,16,37,20,54.05,9,24.32,8,21.62,26016
26,17,127,106,83.46,6,4.72,15,11.81,26017
26,18,63,46,73.02,10,15.87,7,11.11,26018
26,19,47,25,53.19,17,36.17,5,10.64,26019
26,20,120,95,79.17,11,9.17,14,11.67,26020
26,21,126,99,78.57,19,15.08,8,6.35,26021
26,22,22,13,59.09,5,22.73,4,18.18,26022
26,23,52,39,75.0,9,17.31,4,7.69,26023
26,24,85,62,72.94,13,15.29,10,11.76,26024
26,25,87,59,67.82,19,21.84,9,10.34,26025
26,26,85,71,83.53,10,11.76,4,4.71,26026
26,27,149,102,68.46,23,15.44,24,16.11,26027
26,28,150,118,78.67,21,14.0,11,7.33,26028
26,29,73,55,75.34,10,13.7,8,10.96,26029
26,30,106,82,77.36,9,8.49,15,14.15,26030
26,31,52,40,76.92,6,11.54,6,11.54,26031
26,32,114,93,81.58,12,10.53,9,7.89,26032
26,33,130,104,80.0,14,10.77,12,9.23,26033
