ward,precinct,total,Pat Casey,Pat Casey Percent,John Fritchey,John Fritchey Percent,precinct_id
2,2,119,30,25.21,29,24.37,02002
2,9,123,38,30.89,26,21.14,02009
2,10,125,26,20.8,48,38.4,02010
2,11,162,69,42.59,38,23.46,02011
2,12,107,39,36.45,22,20.56,02012
2,13,158,52,32.91,30,18.99,02013
2,18,129,46,35.66,18,13.95,02018
2,19,109,21,19.27,17,15.6,02019
2,20,136,30,22.06,37,27.21,02020
2,22,153,34,22.22,46,30.07,02022
2,23,116,27,23.28,42,36.21,02023
2,24,124,38,30.65,26,20.97,02024
2,26,103,29,28.16,32,31.07,02026
2,27,87,34,39.08,27,31.03,02027
2,28,135,25,18.52,32,23.7,02028
2,29,127,42,33.07,24,18.9,02029
2,30,103,32,31.07,32,31.07,02030
2,31,182,46,25.27,60,32.97,02031
2,32,80,28,35.0,13,16.25,02032
2,33,180,57,31.67,47,26.11,02033
2,34,127,33,25.98,43,33.86,02034
2,35,160,46,28.75,33,20.63,02035
2,36,129,33,25.58,32,24.81,02036
2,37,158,54,34.18,36,22.78,02037
2,38,106,33,31.13,29,27.36,02038
2,39,67,19,28.36,14,20.9,02039
2,40,143,50,34.97,22,15.38,02040
2,41,121,34,28.1,21,17.36,02041
2,42,116,34,29.31,16,13.79,02042
2,43,146,41,28.08,30,20.55,02043
2,44,140,44,31.43,34,24.29,02044
2,45,85,27,31.76,18,21.18,02045
2,46,80,26,32.5,13,16.25,02046
3,3,100,47,47.0,11,11.0,03003
3,6,207,59,28.5,32,15.46,03006
3,13,179,57,31.84,33,18.44,03013
3,14,157,65,41.4,19,12.1,03014
3,17,171,69,40.35,29,16.96,03017
3,18,32,14,43.75,2,6.25,03018
3,19,186,53,28.49,40,21.51,03019
3,21,203,90,44.33,40,19.7,03021
3,22,203,57,28.08,26,12.81,03022
3,25,282,82,29.08,56,19.86,03025
3,26,215,67,31.16,46,21.4,03026
3,27,187,76,40.64,27,14.44,03027
3,32,193,83,43.01,39,20.21,03032
3,33,173,61,35.26,30,17.34,03033
3,34,215,88,40.93,37,17.21,03034
3,39,262,76,29.01,34,12.98,03039
3,40,132,63,47.73,21,15.91,03040
4,2,227,65,28.63,35,15.42,04002
4,6,116,69,59.48,15,12.93,04006
4,13,109,35,32.11,21,19.27,04013
4,16,273,67,24.54,47,17.22,04016
4,17,210,59,28.1,29,13.81,04017
4,20,177,49,27.68,32,18.08,04020
4,21,156,36,23.08,17,10.9,04021
4,25,221,72,32.58,27,12.22,04025
4,37,296,64,21.62,58,19.59,04037
11,10,0,0,0.0,0,0.0,11010
11,30,66,20,30.3,22,33.33,11030
11,36,42,12,28.57,10,23.81,11036
11,37,31,7,22.58,6,19.35,11037
25,6,30,11,36.67,5,16.67,25006
25,14,70,28,40.0,14,20.0,25014
25,18,50,19,38.0,5,10.0,25018
25,21,264,83,31.44,50,18.94,25021
25,27,56,17,30.36,15,26.79,25027
27,6,106,35,33.02,32,30.19,27006
27,9,46,12,26.09,7,15.22,27009
27,11,30,8,26.67,3,10.0,27011
27,12,74,18,24.32,13,17.57,27012
27,20,37,24,64.86,5,13.51,27020
27,21,110,38,34.55,20,18.18,27021
27,28,146,61,41.78,25,17.12,27028
27,35,116,22,18.97,27,23.28,27035
27,37,109,57,52.29,26,23.85,27037
27,38,178,85,47.75,47,26.4,27038
27,42,82,32,39.02,20,24.39,27042
27,46,90,21,23.33,29,32.22,27046
27,47,81,42,51.85,14,17.28,27047
27,48,152,62,40.79,29,19.08,27048
32,7,165,34,20.61,27,16.36,32007
32,8,157,38,24.2,26,16.56,32008
32,10,154,36,23.38,35,22.73,32010
32,13,54,10,18.52,22,40.74,32013
32,18,133,30,22.56,38,28.57,32018
32,23,148,31,20.95,32,21.62,32023
32,27,17,3,17.65,4,23.53,32027
32,39,146,36,24.66,41,28.08,32039
40,13,140,19,13.57,21,15.0,40013
40,21,90,22,24.44,14,15.56,40021
40,22,267,33,12.36,19,7.12,40022
40,23,298,57,19.13,52,17.45,40023
40,26,224,28,12.5,31,13.84,40026
40,28,52,9,17.31,2,3.85,40028
40,31,271,46,16.97,29,10.7,40031
40,32,219,44,20.09,25,11.42,40032
