ward,precinct,total,Maria M. Barlow,Maria M. Barlow Percent,John W. Wilson,John W. Wilson Percent,precinct_id
5,12,57,28,49.12,29,50.88,05012
6,1,155,103,66.45,52,33.55,06001
6,2,188,107,56.91,81,43.09,06002
6,3,132,86,65.15,46,34.85,06003
6,4,78,45,57.69,33,42.31,06004
6,5,68,37,54.41,31,45.59,06005
6,6,146,86,58.9,60,41.1,06006
6,8,175,90,51.43,85,48.57,06008
6,10,61,32,52.46,29,47.54,06010
6,12,56,30,53.57,26,46.43,06012
6,13,125,70,56.0,55,44.0,06013
6,14,132,71,53.79,61,46.21,06014
6,15,10,9,90.0,1,10.0,06015
6,16,153,90,58.82,63,41.18,06016
6,17,66,36,54.55,30,45.45,06017
6,18,72,37,51.39,35,48.61,06018
6,19,79,43,54.43,36,45.57,06019
6,20,70,44,62.86,26,37.14,06020
6,21,2,2,100.0,0,0.0,06021
6,22,55,23,41.82,32,58.18,06022
6,25,54,23,42.59,31,57.41,06025
6,26,2,2,100.0,0,0.0,06026
6,27,55,36,65.45,19,34.55,06027
6,29,176,102,57.95,74,42.05,06029
6,30,10,3,30.0,7,70.0,06030
6,31,170,104,61.18,66,38.82,06031
6,33,143,76,53.15,67,46.85,06033
6,34,129,75,58.14,54,41.86,06034
6,35,160,99,61.88,61,38.13,06035
6,36,183,97,53.01,86,46.99,06036
6,37,203,106,52.22,97,47.78,06037
6,38,165,95,57.58,70,42.42,06038
6,39,104,54,51.92,50,48.08,06039
6,40,65,38,58.46,27,41.54,06040
6,41,157,90,57.32,67,42.68,06041
6,42,120,65,54.17,55,45.83,06042
6,43,118,82,69.49,36,30.51,06043
6,44,120,81,67.5,39,32.5,06044
6,45,148,87,58.78,61,41.22,06045
6,46,104,60,57.69,44,42.31,06046
6,47,105,67,63.81,38,36.19,06047
7,7,86,50,58.14,36,41.86,07007
7,10,166,84,50.6,82,49.4,07010
7,11,93,54,58.06,39,41.94,07011
7,12,73,42,57.53,31,42.47,07012
7,13,69,39,56.52,30,43.48,07013
7,14,96,59,61.46,37,38.54,07014
7,15,132,73,55.3,59,44.7,07015
7,16,76,44,57.89,32,42.11,07016
7,17,90,51,56.67,39,43.33,07017
7,18,99,49,49.49,50,50.51,07018
7,19,99,54,54.55,45,45.45,07019
7,20,60,33,55.0,27,45.0,07020
7,21,60,43,71.67,17,28.33,07021
7,22,92,46,50.0,46,50.0,07022
7,23,140,77,55.0,63,45.0,07023
7,24,79,45,56.96,34,43.04,07024
7,25,45,30,66.67,15,33.33,07025
7,26,112,67,59.82,45,40.18,07026
7,27,98,51,52.04,47,47.96,07027
7,28,70,29,41.43,41,58.57,07028
7,29,107,67,62.62,40,37.38,07029
7,30,71,42,59.15,29,40.85,07030
7,31,57,39,68.42,18,31.58,07031
7,32,218,121,55.5,97,44.5,07032
7,33,215,123,57.21,92,42.79,07033
7,34,170,118,69.41,52,30.59,07034
7,35,103,66,64.08,37,35.92,07035
7,36,165,104,63.03,61,36.97,07036
7,37,134,75,55.97,59,44.03,07037
7,38,102,55,53.92,47,46.08,07038
7,39,110,72,65.45,38,34.55,07039
7,40,103,64,62.14,39,37.86,07040
7,41,91,47,51.65,44,48.35,07041
7,42,111,65,58.56,46,41.44,07042
7,43,110,67,60.91,43,39.09,07043
7,44,96,52,54.17,44,45.83,07044
7,45,66,37,56.06,29,43.94,07045
7,46,50,34,68.0,16,32.0,07046
8,2,19,12,63.16,7,36.84,08002
8,3,202,94,46.53,108,53.47,08003
8,4,182,120,65.93,62,34.07,08004
8,5,192,113,58.85,79,41.15,08005
8,6,165,84,50.91,81,49.09,08006
8,7,179,87,48.6,92,51.4,08007
8,8,194,106,54.64,88,45.36,08008
8,9,85,48,56.47,37,43.53,08009
8,10,250,121,48.4,129,51.6,08010
8,11,93,43,46.24,50,53.76,08011
8,12,114,68,59.65,46,40.35,08012
8,13,132,69,52.27,63,47.73,08013
8,14,51,33,64.71,18,35.29,08014
8,15,112,63,56.25,49,43.75,08015
8,16,30,18,60.0,12,40.0,08016
8,17,136,71,52.21,65,47.79,08017
8,18,63,38,60.32,25,39.68,08018
8,19,203,147,72.41,56,27.59,08019
8,20,180,108,60.0,72,40.0,08020
8,21,163,83,50.92,80,49.08,08021
8,22,135,70,51.85,65,48.15,08022
8,23,77,40,51.95,37,48.05,08023
8,24,96,47,48.96,49,51.04,08024
8,25,120,56,46.67,64,53.33,08025
8,26,46,27,58.7,19,41.3,08026
8,27,218,110,50.46,108,49.54,08027
8,28,141,85,60.28,56,39.72,08028
8,29,174,83,47.7,91,52.3,08029
8,30,150,78,52.0,72,48.0,08030
8,31,98,66,67.35,32,32.65,08031
8,32,104,52,50.0,52,50.0,08032
8,33,102,64,62.75,38,37.25,08033
8,34,139,76,54.68,63,45.32,08034
8,35,172,89,51.74,83,48.26,08035
8,36,139,81,58.27,58,41.73,08036
8,37,130,65,50.0,65,50.0,08037
8,38,98,48,48.98,50,51.02,08038
8,39,131,68,51.91,63,48.09,08039
8,40,95,56,58.95,39,41.05,08040
8,41,128,72,56.25,56,43.75,08041
8,43,48,23,47.92,25,52.08,08043
8,44,89,50,56.18,39,43.82,08044
8,45,56,31,55.36,25,44.64,08045
8,46,103,58,56.31,45,43.69,08046
8,47,119,73,61.34,46,38.66,08047
8,48,131,69,52.67,62,47.33,08048
8,49,141,70,49.65,71,50.35,08049
8,50,151,66,43.71,85,56.29,08050
8,51,165,94,56.97,71,43.03,08051
8,52,228,118,51.75,110,48.25,08052
8,53,70,38,54.29,32,45.71,08053
8,54,65,36,55.38,29,44.62,08054
8,55,132,72,54.55,60,45.45,08055
8,56,171,91,53.22,80,46.78,08056
9,12,172,118,68.6,54,31.4,09012
9,13,129,72,55.81,57,44.19,09013
9,14,137,92,67.15,45,32.85,09014
9,23,156,105,67.31,51,32.69,09023
9,24,161,77,47.83,84,52.17,09024
9,25,112,74,66.07,38,33.93,09025
9,35,91,51,56.04,40,43.96,09035
9,36,83,43,51.81,40,48.19,09036
9,42,175,74,42.29,101,57.71,09042
9,47,163,75,46.01,88,53.99,09047
9,48,160,99,61.88,61,38.13,09048
9,49,160,75,46.88,85,53.13,09049
9,50,207,90,43.48,117,56.52,09050
9,51,155,74,47.74,81,52.26,09051
10,1,96,62,64.58,34,35.42,10001
10,2,66,54,81.82,12,18.18,10002
10,3,77,56,72.73,21,27.27,10003
10,4,49,29,59.18,20,40.82,10004
10,5,53,47,88.68,6,11.32,10005
10,6,71,53,74.65,18,25.35,10006
10,7,39,30,76.92,9,23.08,10007
10,8,28,17,60.71,11,39.29,10008
10,9,57,42,73.68,15,26.32,10009
10,10,74,58,78.38,16,21.62,10010
10,11,74,58,78.38,16,21.62,10011
10,12,47,40,85.11,7,14.89,10012
10,13,74,60,81.08,14,18.92,10013
10,14,77,61,79.22,16,20.78,10014
10,15,201,123,61.19,78,38.81,10015
10,16,51,34,66.67,17,33.33,10016
10,17,105,75,71.43,30,28.57,10017
10,18,36,23,63.89,13,36.11,10018
10,19,56,45,80.36,11,19.64,10019
10,20,75,62,82.67,13,17.33,10020
10,21,63,49,77.78,14,22.22,10021
10,22,23,18,78.26,5,21.74,10022
10,23,65,48,73.85,17,26.15,10023
10,24,60,40,66.67,20,33.33,10024
10,25,32,18,56.25,14,43.75,10025
10,26,55,39,70.91,16,29.09,10026
10,27,53,32,60.38,21,39.62,10027
10,28,79,58,73.42,21,26.58,10028
10,29,65,52,80.0,13,20.0,10029
10,30,52,39,75.0,13,25.0,10030
10,31,49,33,67.35,16,32.65,10031
10,32,65,45,69.23,20,30.77,10032
10,33,53,36,67.92,17,32.08,10033
10,34,34,28,82.35,6,17.65,10034
10,35,91,64,70.33,27,29.67,10035
10,36,32,14,43.75,18,56.25,10036
17,2,84,38,45.24,46,54.76,17002
17,4,129,70,54.26,59,45.74,17004
17,5,76,38,50.0,38,50.0,17005
17,9,79,37,46.84,42,53.16,17009
17,10,113,64,56.64,49,43.36,17010
17,15,101,65,64.36,36,35.64,17015
17,18,142,88,61.97,54,38.03,17018
17,20,163,108,66.26,55,33.74,17020
17,21,170,106,62.35,64,37.65,17021
17,22,97,49,50.52,48,49.48,17022
17,23,68,33,48.53,35,51.47,17023
17,24,117,66,56.41,51,43.59,17024
17,26,101,58,57.43,43,42.57,17026
17,27,107,58,54.21,49,45.79,17027
17,28,75,40,53.33,35,46.67,17028
17,29,99,49,49.49,50,50.51,17029
17,35,18,8,44.44,10,55.56,17035
