ward,precinct,total,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",Ubi O. O'Neal,Ubi O. O'Neal Percent,Lisa Michelle Taylor,Lisa Michelle Taylor Percent,precinct_id
1,1,173,26,15.03,12,6.94,135,78.03,01001
1,2,134,27,20.15,11,8.21,96,71.64,01002
1,3,191,49,25.65,17,8.9,125,65.45,01003
1,4,156,35,22.44,15,9.62,106,67.95,01004
1,5,144,38,26.39,11,7.64,95,65.97,01005
1,6,141,34,24.11,12,8.51,95,67.38,01006
1,7,134,37,27.61,11,8.21,86,64.18,01007
1,8,159,48,30.19,19,11.95,92,57.86,01008
1,9,118,28,23.73,9,7.63,81,68.64,01009
1,10,183,41,22.4,10,5.46,132,72.13,01010
1,11,192,43,22.4,12,6.25,137,71.35,01011
1,12,195,41,21.03,16,8.21,138,70.77,01012
1,13,84,12,14.29,5,5.95,67,79.76,01013
1,14,168,43,25.6,9,5.36,116,69.05,01014
1,15,135,32,23.7,18,13.33,85,62.96,01015
1,16,205,47,22.93,14,6.83,144,70.24,01016
1,17,139,28,20.14,11,7.91,100,71.94,01017
1,18,161,32,19.88,11,6.83,118,73.29,01018
1,19,232,59,25.43,19,8.19,154,66.38,01019
1,20,127,23,18.11,8,6.3,96,75.59,01020
1,21,199,50,25.13,5,2.51,144,72.36,01021
1,22,114,19,16.67,9,7.89,86,75.44,01022
1,23,251,52,20.72,16,6.37,183,72.91,01023
1,24,187,43,22.99,23,12.3,121,64.71,01024
1,25,162,45,27.78,10,6.17,107,66.05,01025
1,26,111,26,23.42,16,14.41,69,62.16,01026
1,27,183,41,22.4,7,3.83,135,73.77,01027
1,28,30,5,16.67,4,13.33,21,70.0,01028
1,29,218,61,27.98,15,6.88,142,65.14,01029
1,30,190,40,21.05,17,8.95,133,70.0,01030
1,31,137,32,23.36,12,8.76,93,67.88,01031
1,32,158,32,20.25,17,10.76,109,68.99,01032
1,33,181,44,24.31,9,4.97,128,70.72,01033
1,34,159,38,23.9,7,4.4,114,71.7,01034
1,35,160,42,26.25,10,6.25,108,67.5,01035
1,36,199,46,23.12,11,5.53,142,71.36,01036
1,37,165,23,13.94,18,10.91,124,75.15,01037
1,38,153,43,28.1,15,9.8,95,62.09,01038
1,39,129,28,21.71,13,10.08,88,68.22,01039
1,40,135,52,38.52,10,7.41,73,54.07,01040
1,41,91,18,19.78,6,6.59,67,73.63,01041
1,42,50,9,18.0,3,6.0,38,76.0,01042
1,43,129,25,19.38,7,5.43,97,75.19,01043
1,44,144,31,21.53,8,5.56,105,72.92,01044
2,1,154,44,28.57,14,9.09,96,62.34,02001
2,2,126,47,37.3,7,5.56,72,57.14,02002
2,3,185,42,22.7,7,3.78,136,73.51,02003
2,4,161,33,20.5,8,4.97,120,74.53,02004
2,5,176,45,25.57,19,10.8,112,63.64,02005
2,6,135,35,25.93,9,6.67,91,67.41,02006
2,7,117,27,23.08,4,3.42,86,73.5,02007
2,8,154,60,38.96,9,5.84,85,55.19,02008
2,9,142,46,32.39,12,8.45,84,59.15,02009
2,10,134,78,58.21,3,2.24,53,39.55,02010
2,11,175,80,45.71,13,7.43,82,46.86,02011
2,12,114,45,39.47,13,11.4,56,49.12,02012
2,13,170,90,52.94,6,3.53,74,43.53,02013
2,14,178,41,23.03,14,7.87,123,69.1,02014
2,15,151,46,30.46,7,4.64,98,64.9,02015
2,16,164,44,26.83,8,4.88,112,68.29,02016
2,17,223,42,18.83,14,6.28,167,74.89,02017
2,18,133,44,33.08,9,6.77,80,60.15,02018
2,19,114,38,33.33,5,4.39,71,62.28,02019
2,20,133,44,33.08,7,5.26,82,61.65,02020
2,21,181,32,17.68,12,6.63,137,75.69,02021
2,22,164,63,38.41,7,4.27,94,57.32,02022
2,23,111,44,39.64,5,4.5,62,55.86,02023
2,24,133,42,31.58,11,8.27,80,60.15,02024
2,25,193,54,27.98,16,8.29,123,63.73,02025
2,26,111,38,34.23,9,8.11,64,57.66,02026
2,27,98,41,41.84,12,12.24,45,45.92,02027
2,28,143,45,31.47,8,5.59,90,62.94,02028
2,29,134,49,36.57,9,6.72,76,56.72,02029
2,30,114,51,44.74,4,3.51,59,51.75,02030
2,31,193,79,40.93,5,2.59,109,56.48,02031
2,32,80,27,33.75,3,3.75,50,62.5,02032
2,33,192,80,41.67,9,4.69,103,53.65,02033
2,34,145,65,44.83,9,6.21,71,48.97,02034
2,35,174,50,28.74,24,13.79,100,57.47,02035
2,36,148,55,37.16,12,8.11,81,54.73,02036
2,37,169,75,44.38,10,5.92,84,49.7,02037
2,38,122,49,40.16,10,8.2,63,51.64,02038
2,39,72,24,33.33,4,5.56,44,61.11,02039
2,40,155,55,35.48,7,4.52,93,60.0,02040
2,41,130,35,26.92,13,10.0,82,63.08,02041
2,42,123,41,33.33,9,7.32,73,59.35,02042
2,43,145,51,35.17,8,5.52,86,59.31,02043
2,44,151,65,43.05,9,5.96,77,50.99,02044
2,45,93,35,37.63,5,5.38,53,56.99,02045
2,46,85,24,28.24,7,8.24,54,63.53,02046
3,1,196,121,61.73,21,10.71,54,27.55,03001
3,2,276,176,63.77,19,6.88,81,29.35,03002
3,3,116,65,56.03,8,6.9,43,37.07,03003
3,4,224,137,61.16,18,8.04,69,30.8,03004
3,5,83,47,56.63,12,14.46,24,28.92,03005
3,6,229,82,35.81,17,7.42,130,56.77,03006
3,7,158,93,58.86,21,13.29,44,27.85,03007
3,8,108,64,59.26,9,8.33,35,32.41,03008
3,9,193,96,49.74,12,6.22,85,44.04,03009
3,10,68,44,64.71,7,10.29,17,25.0,03010
3,11,173,103,59.54,7,4.05,63,36.42,03011
3,12,258,173,67.05,13,5.04,72,27.91,03012
3,13,202,87,43.07,8,3.96,107,52.97,03013
3,14,181,65,35.91,20,11.05,96,53.04,03014
3,15,130,82,63.08,12,9.23,36,27.69,03015
3,16,144,83,57.64,15,10.42,46,31.94,03016
3,17,190,82,43.16,11,5.79,97,51.05,03017
3,18,218,117,53.67,31,14.22,70,32.11,03018
3,19,204,77,37.75,9,4.41,118,57.84,03019
3,20,193,114,59.07,22,11.4,57,29.53,03020
3,21,225,114,50.67,11,4.89,100,44.44,03021
3,22,213,68,31.92,16,7.51,129,60.56,03022
3,23,111,58,52.25,14,12.61,39,35.14,03023
3,24,130,71,54.62,11,8.46,48,36.92,03024
3,25,316,131,41.46,14,4.43,171,54.11,03025
3,26,238,112,47.06,13,5.46,113,47.48,03026
3,27,203,73,35.96,22,10.84,108,53.2,03027
3,28,133,72,54.14,21,15.79,40,30.08,03028
3,29,129,71,55.04,15,11.63,43,33.33,03029
3,30,175,102,58.29,16,9.14,57,32.57,03030
3,31,164,101,61.59,16,9.76,47,28.66,03031
3,32,218,102,46.79,19,8.72,97,44.5,03032
3,33,192,73,38.02,18,9.38,101,52.6,03033
3,34,240,93,38.75,25,10.42,122,50.83,03034
3,35,92,54,58.7,6,6.52,32,34.78,03035
3,36,64,46,71.88,4,6.25,14,21.88,03036
3,37,122,79,64.75,8,6.56,35,28.69,03037
3,38,175,119,68.0,14,8.0,42,24.0,03038
3,39,293,91,31.06,24,8.19,178,60.75,03039
3,40,145,63,43.45,19,13.1,63,43.45,03040
3,41,154,97,62.99,8,5.19,49,31.82,03041
4,1,258,103,39.92,14,5.43,141,54.65,04001
4,2,249,91,36.55,9,3.61,149,59.84,04002
4,3,121,63,52.07,18,14.88,40,33.06,04003
4,4,226,114,50.44,31,13.72,81,35.84,04004
4,5,224,137,61.16,19,8.48,68,30.36,04005
4,6,311,201,64.63,21,6.75,89,28.62,04006
4,7,250,157,62.8,14,5.6,79,31.6,04007
4,8,252,151,59.92,19,7.54,82,32.54,04008
4,9,338,225,66.57,27,7.99,86,25.44,04009
4,10,306,180,58.82,25,8.17,101,33.01,04010
4,11,104,60,57.69,6,5.77,38,36.54,04011
4,12,215,129,60.0,18,8.37,68,31.63,04012
4,13,125,36,28.8,7,5.6,82,65.6,04013
4,14,215,134,62.33,17,7.91,64,29.77,04014
4,15,221,141,63.8,8,3.62,72,32.58,04015
4,16,284,90,31.69,20,7.04,174,61.27,04016
4,17,226,57,25.22,16,7.08,153,67.7,04017
4,18,223,126,56.5,21,9.42,76,34.08,04018
4,19,98,57,58.16,11,11.22,30,30.61,04019
4,20,190,80,42.11,9,4.74,101,53.16,04020
4,21,169,60,35.5,18,10.65,91,53.85,04021
4,22,208,112,53.85,14,6.73,82,39.42,04022
4,23,269,115,42.75,19,7.06,135,50.19,04023
4,24,172,96,55.81,12,6.98,64,37.21,04024
4,25,246,93,37.8,12,4.88,141,57.32,04025
4,26,163,106,65.03,10,6.13,47,28.83,04026
4,27,259,119,45.95,14,5.41,126,48.65,04027
4,28,149,84,56.38,17,11.41,48,32.21,04028
4,29,191,110,57.59,20,10.47,61,31.94,04029
4,30,200,113,56.5,17,8.5,70,35.0,04030
4,31,312,215,68.91,16,5.13,81,25.96,04031
4,32,224,125,55.8,22,9.82,77,34.38,04032
4,33,169,76,44.97,13,7.69,80,47.34,04033
4,34,170,110,64.71,10,5.88,50,29.41,04034
4,35,263,178,67.68,16,6.08,69,26.24,04035
4,36,276,160,57.97,30,10.87,86,31.16,04036
4,37,320,118,36.88,19,5.94,183,57.19,04037
4,38,258,179,69.38,11,4.26,68,26.36,04038
5,1,119,74,62.18,12,10.08,33,27.73,05001
5,2,101,59,58.42,11,10.89,31,30.69,05002
5,3,180,59,32.78,12,6.67,109,60.56,05003
5,4,236,126,53.39,20,8.47,90,38.14,05004
5,5,146,76,52.05,20,13.7,50,34.25,05005
5,6,132,72,54.55,15,11.36,45,34.09,05006
5,7,192,110,57.29,8,4.17,74,38.54,05007
5,8,211,87,41.23,5,2.37,119,56.4,05008
5,9,260,128,49.23,26,10.0,106,40.77,05009
5,10,104,51,49.04,14,13.46,39,37.5,05010
5,11,224,103,45.98,14,6.25,107,47.77,05011
5,12,81,50,61.73,5,6.17,26,32.1,05012
5,13,133,74,55.64,15,11.28,44,33.08,05013
5,14,213,134,62.91,9,4.23,70,32.86,05014
5,15,171,100,58.48,11,6.43,60,35.09,05015
5,16,161,81,50.31,14,8.7,66,40.99,05016
5,17,107,63,58.88,12,11.21,32,29.91,05017
5,18,175,78,44.57,12,6.86,85,48.57,05018
5,19,213,94,44.13,5,2.35,114,53.52,05019
5,20,301,163,54.15,26,8.64,112,37.21,05020
5,21,185,67,36.22,15,8.11,103,55.68,05021
5,22,325,182,56.0,14,4.31,129,39.69,05022
5,23,337,149,44.21,16,4.75,172,51.04,05023
5,24,221,95,42.99,9,4.07,117,52.94,05024
5,25,189,129,68.25,7,3.7,53,28.04,05025
5,26,170,107,62.94,17,10.0,46,27.06,05026
5,27,157,44,28.03,2,1.27,111,70.7,05027
5,28,205,132,64.39,10,4.88,63,30.73,05028
5,29,179,104,58.1,17,9.5,58,32.4,05029
5,30,89,49,55.06,11,12.36,29,32.58,05030
5,31,100,72,72.0,3,3.0,25,25.0,05031
5,32,225,146,64.89,13,5.78,66,29.33,05032
5,33,194,118,60.82,17,8.76,59,30.41,05033
5,34,206,79,38.35,7,3.4,120,58.25,05034
5,35,270,119,44.07,15,5.56,136,50.37,05035
5,36,64,39,60.94,7,10.94,18,28.13,05036
5,37,242,89,36.78,15,6.2,138,57.02,05037
5,38,142,83,58.45,11,7.75,48,33.8,05038
5,39,186,82,44.09,8,4.3,96,51.61,05039
5,40,133,84,63.16,8,6.02,41,30.83,05040
5,41,164,109,66.46,8,4.88,47,28.66,05041
6,1,177,123,69.49,9,5.08,45,25.42,06001
6,2,200,128,64.0,12,6.0,60,30.0,06002
6,3,156,104,66.67,10,6.41,42,26.92,06003
6,4,79,44,55.7,11,13.92,24,30.38,06004
6,5,77,49,63.64,7,9.09,21,27.27,06005
6,6,159,103,64.78,13,8.18,43,27.04,06006
6,7,93,67,72.04,4,4.3,22,23.66,06007
6,8,180,115,63.89,10,5.56,55,30.56,06008
6,9,95,57,60.0,11,11.58,27,28.42,06009
6,10,63,45,71.43,5,7.94,13,20.63,06010
6,11,107,77,71.96,6,5.61,24,22.43,06011
6,12,62,35,56.45,5,8.06,22,35.48,06012
6,13,137,91,66.42,13,9.49,33,24.09,06013
6,14,139,90,64.75,10,7.19,39,28.06,06014
6,15,76,50,65.79,7,9.21,19,25.0,06015
6,16,170,111,65.29,10,5.88,49,28.82,06016
6,17,71,45,63.38,4,5.63,22,30.99,06017
6,18,85,51,60.0,7,8.24,27,31.76,06018
6,19,91,62,68.13,7,7.69,22,24.18,06019
6,20,74,47,63.51,5,6.76,22,29.73,06020
6,21,50,28,56.0,3,6.0,19,38.0,06021
6,22,61,42,68.85,6,9.84,13,21.31,06022
6,23,52,37,71.15,4,7.69,11,21.15,06023
6,24,54,35,64.81,4,7.41,15,27.78,06024
6,25,62,41,66.13,2,3.23,19,30.65,06025
6,26,62,39,62.9,8,12.9,15,24.19,06026
6,27,65,35,53.85,4,6.15,26,40.0,06027
6,28,43,25,58.14,3,6.98,15,34.88,06028
6,29,194,144,74.23,9,4.64,41,21.13,06029
6,30,86,48,55.81,8,9.3,30,34.88,06030
6,31,182,139,76.37,8,4.4,35,19.23,06031
6,32,137,101,73.72,9,6.57,27,19.71,06032
6,33,144,91,63.19,10,6.94,43,29.86,06033
6,34,140,100,71.43,14,10.0,26,18.57,06034
6,35,165,113,68.48,14,8.48,38,23.03,06035
6,36,199,144,72.36,15,7.54,40,20.1,06036
6,37,219,140,63.93,26,11.87,53,24.2,06037
6,38,182,134,73.63,11,6.04,37,20.33,06038
6,39,115,70,60.87,7,6.09,38,33.04,06039
6,40,109,68,62.39,12,11.01,29,26.61,06040
