ward,precinct,total,Omar Aquino,Omar Aquino Percent,"Gilbert """"Gil"""" Villegas","Gilbert """"Gil"""" Villegas Percent",precinct_id
1,1,181,124,68.51,57,31.49,01001
1,2,137,99,72.26,38,27.74,01002
1,7,132,76,57.58,56,42.42,01007
1,9,103,57,55.34,46,44.66,01009
1,13,83,46,55.42,37,44.58,01013
1,15,102,67,65.69,35,34.31,01015
1,16,192,118,61.46,74,38.54,01016
1,17,146,114,78.08,32,21.92,01017
1,18,167,134,80.24,33,19.76,01018
1,19,237,149,62.87,88,37.13,01019
1,20,139,102,73.38,37,26.62,01020
1,22,124,84,67.74,40,32.26,01022
1,23,235,144,61.28,91,38.72,01023
1,24,194,135,69.59,59,30.41,01024
1,25,154,108,70.13,46,29.87,01025
1,26,112,90,80.36,22,19.64,01026
1,27,180,118,65.56,62,34.44,01027
1,29,217,154,70.97,63,29.03,01029
1,30,201,138,68.66,63,31.34,01030
1,31,137,86,62.77,51,37.23,01031
1,34,149,96,64.43,53,35.57,01034
1,38,59,42,71.19,17,28.81,01038
1,41,83,48,57.83,35,42.17,01041
1,42,36,20,55.56,16,44.44,01042
1,43,122,61,50.0,61,50.0,01043
1,44,142,115,80.99,27,19.01,01044
26,1,120,86,71.67,34,28.33,26001
26,2,94,75,79.79,19,20.21,26002
26,3,136,102,75.0,34,25.0,26003
26,4,54,37,68.52,17,31.48,26004
26,5,101,75,74.26,26,25.74,26005
26,6,70,56,80.0,14,20.0,26006
26,7,93,69,74.19,24,25.81,26007
26,8,52,37,71.15,15,28.85,26008
26,9,100,73,73.0,27,27.0,26009
26,10,57,40,70.18,17,29.82,26010
26,11,101,79,78.22,22,21.78,26011
26,12,131,97,74.05,34,25.95,26012
26,13,46,31,67.39,15,32.61,26013
26,14,86,69,80.23,17,19.77,26014
26,15,45,26,57.78,19,42.22,26015
26,16,38,26,68.42,12,31.58,26016
26,18,65,44,67.69,21,32.31,26018
26,19,43,24,55.81,19,44.19,26019
26,20,118,85,72.03,33,27.97,26020
26,22,23,13,56.52,10,43.48,26022
26,23,54,36,66.67,18,33.33,26023
