ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,7,137,137,100.0,01007
1,9,110,110,100.0,01009
1,13,84,84,100.0,01013
1,16,206,206,100.0,01016
1,19,230,230,100.0,01019
1,23,249,249,100.0,01023
1,34,158,158,100.0,01034
1,41,87,87,100.0,01041
1,42,41,41,100.0,01042
1,43,135,135,100.0,01043
26,7,86,86,100.0,26007
26,34,117,117,100.0,26034
30,1,158,158,100.0,30001
30,2,13,13,100.0,30002
30,4,105,105,100.0,30004
30,9,86,86,100.0,30009
30,12,25,25,100.0,30012
30,17,39,39,100.0,30017
30,19,16,16,100.0,30019
30,20,138,138,100.0,30020
30,26,74,74,100.0,30026
30,27,84,84,100.0,30027
30,31,61,61,100.0,30031
31,1,48,48,100.0,31001
31,2,46,46,100.0,31002
31,3,27,27,100.0,31003
31,5,87,87,100.0,31005
31,6,49,49,100.0,31006
31,7,161,161,100.0,31007
31,8,52,52,100.0,31008
31,9,53,53,100.0,31009
31,10,85,85,100.0,31010
31,11,61,61,100.0,31011
31,12,64,64,100.0,31012
31,13,71,71,100.0,31013
31,14,66,66,100.0,31014
31,15,51,51,100.0,31015
31,17,59,59,100.0,31017
31,18,76,76,100.0,31018
31,19,52,52,100.0,31019
31,20,52,52,100.0,31020
31,21,38,38,100.0,31021
31,23,79,79,100.0,31023
31,24,82,82,100.0,31024
31,25,49,49,100.0,31025
31,26,91,91,100.0,31026
31,27,68,68,100.0,31027
31,28,37,37,100.0,31028
31,29,60,60,100.0,31029
31,30,57,57,100.0,31030
31,31,46,46,100.0,31031
31,32,29,29,100.0,31032
31,33,58,58,100.0,31033
31,34,87,87,100.0,31034
31,35,69,69,100.0,31035
31,36,73,73,100.0,31036
31,37,50,50,100.0,31037
31,38,33,33,100.0,31038
31,40,79,79,100.0,31040
31,41,62,62,100.0,31041
32,3,192,192,100.0,32003
32,4,65,65,100.0,32004
32,5,152,152,100.0,32005
32,11,170,170,100.0,32011
32,12,147,147,100.0,32012
32,14,205,205,100.0,32014
32,16,148,148,100.0,32016
32,17,179,179,100.0,32017
32,20,189,189,100.0,32020
32,22,262,262,100.0,32022
32,26,217,217,100.0,32026
32,28,192,192,100.0,32028
32,29,153,153,100.0,32029
32,31,129,129,100.0,32031
32,32,63,63,100.0,32032
32,33,2,2,100.0,32033
32,34,152,152,100.0,32034
32,37,94,94,100.0,32037
32,43,219,219,100.0,32043
33,14,11,11,100.0,33014
33,26,15,15,100.0,33026
33,28,16,16,100.0,33028
35,1,137,137,100.0,35001
35,2,17,17,100.0,35002
35,5,55,55,100.0,35005
35,6,124,124,100.0,35006
35,10,200,200,100.0,35010
35,11,198,198,100.0,35011
35,15,196,196,100.0,35015
35,17,195,195,100.0,35017
35,25,157,157,100.0,35025
35,28,176,176,100.0,35028
36,16,39,39,100.0,36016
36,20,72,72,100.0,36020
45,8,10,10,100.0,45008
45,9,120,120,100.0,45009
45,10,36,36,100.0,45010
