ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,206,206,100.0,29001
29,4,133,133,100.0,29004
29,5,58,58,100.0,29005
29,7,151,151,100.0,29007
29,9,181,181,100.0,29009
29,10,217,217,100.0,29010
29,12,151,151,100.0,29012
29,13,133,133,100.0,29013
29,15,150,150,100.0,29015
29,17,93,93,100.0,29017
29,23,128,128,100.0,29023
29,24,107,107,100.0,29024
29,25,159,159,100.0,29025
29,26,118,118,100.0,29026
29,27,103,103,100.0,29027
29,30,151,151,100.0,29030
29,33,91,91,100.0,29033
29,35,77,77,100.0,29035
29,36,104,104,100.0,29036
29,37,81,81,100.0,29037
29,38,27,27,100.0,29038
29,40,145,145,100.0,29040
29,41,85,85,100.0,29041
29,43,193,193,100.0,29043
29,44,142,142,100.0,29044
36,3,37,37,100.0,36003
36,27,28,28,100.0,36027
37,5,92,92,100.0,37005
37,18,69,69,100.0,37018
37,29,61,61,100.0,37029
37,32,41,41,100.0,37032
37,35,39,39,100.0,37035
37,37,71,71,100.0,37037
