ward,precinct,total,Josina Morita,Josina Morita Percent,precinct_id
40,4,92,92,100.0,40004
40,9,103,103,100.0,40009
40,10,85,85,100.0,40010
40,18,99,99,100.0,40018
40,28,183,183,100.0,40028
40,35,72,72,100.0,40035
40,37,22,22,100.0,40037
40,39,31,31,100.0,40039
48,13,254,254,100.0,48013
48,15,89,89,100.0,48015
48,27,122,122,100.0,48027
48,32,26,26,100.0,48032
48,46,144,144,100.0,48046
49,1,95,95,100.0,49001
49,2,117,117,100.0,49002
49,3,217,217,100.0,49003
49,4,210,210,100.0,49004
49,5,183,183,100.0,49005
49,6,155,155,100.0,49006
49,7,144,144,100.0,49007
49,8,135,135,100.0,49008
49,9,187,187,100.0,49009
49,10,184,184,100.0,49010
49,11,206,206,100.0,49011
49,12,200,200,100.0,49012
49,13,223,223,100.0,49013
49,14,120,120,100.0,49014
49,15,126,126,100.0,49015
49,16,174,174,100.0,49016
49,17,132,132,100.0,49017
49,18,218,218,100.0,49018
49,19,126,126,100.0,49019
49,20,258,258,100.0,49020
49,21,74,74,100.0,49021
49,22,184,184,100.0,49022
49,23,192,192,100.0,49023
49,24,108,108,100.0,49024
49,25,210,210,100.0,49025
49,26,192,192,100.0,49026
49,27,140,140,100.0,49027
49,28,250,250,100.0,49028
49,29,202,202,100.0,49029
49,30,175,175,100.0,49030
49,31,116,116,100.0,49031
49,32,174,174,100.0,49032
49,33,143,143,100.0,49033
50,1,107,107,100.0,50001
50,2,74,74,100.0,50002
50,3,110,110,100.0,50003
50,4,142,142,100.0,50004
50,5,87,87,100.0,50005
50,6,146,146,100.0,50006
50,7,195,195,100.0,50007
50,8,111,111,100.0,50008
50,9,110,110,100.0,50009
50,10,83,83,100.0,50010
50,11,63,63,100.0,50011
50,12,41,41,100.0,50012
50,13,116,116,100.0,50013
50,14,39,39,100.0,50014
50,15,206,206,100.0,50015
50,16,44,44,100.0,50016
50,17,86,86,100.0,50017
50,18,11,11,100.0,50018
50,19,71,71,100.0,50019
50,20,143,143,100.0,50020
50,21,119,119,100.0,50021
50,22,87,87,100.0,50022
50,23,51,51,100.0,50023
50,24,57,57,100.0,50024
50,25,87,87,100.0,50025
50,26,82,82,100.0,50026
50,27,37,37,100.0,50027
50,28,107,107,100.0,50028
50,29,61,61,100.0,50029
50,30,96,96,100.0,50030
50,31,115,115,100.0,50031
50,32,101,101,100.0,50032
50,33,93,93,100.0,50033
50,34,173,173,100.0,50034
50,35,178,178,100.0,50035
50,36,152,152,100.0,50036
50,37,121,121,100.0,50037
50,38,58,58,100.0,50038
50,39,52,52,100.0,50039
50,40,96,96,100.0,50040
