ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
29,1,198,198,100.0,29001
29,4,132,132,100.0,29004
29,5,53,53,100.0,29005
29,7,149,149,100.0,29007
29,9,175,175,100.0,29009
29,10,216,216,100.0,29010
29,12,140,140,100.0,29012
29,13,128,128,100.0,29013
29,15,141,141,100.0,29015
29,17,89,89,100.0,29017
29,23,127,127,100.0,29023
29,24,108,108,100.0,29024
29,25,156,156,100.0,29025
29,26,115,115,100.0,29026
29,27,95,95,100.0,29027
29,30,147,147,100.0,29030
29,33,89,89,100.0,29033
29,35,76,76,100.0,29035
29,36,101,101,100.0,29036
29,37,82,82,100.0,29037
29,38,27,27,100.0,29038
29,40,138,138,100.0,29040
29,41,82,82,100.0,29041
29,43,192,192,100.0,29043
29,44,136,136,100.0,29044
36,3,37,37,100.0,36003
36,27,29,29,100.0,36027
37,5,96,96,100.0,37005
37,18,60,60,100.0,37018
37,29,57,57,100.0,37029
37,32,38,38,100.0,37032
37,35,37,37,100.0,37035
37,37,71,71,100.0,37037
