ward,precinct,total,Sanjay Tailor,Sanjay Tailor Percent,Ann Buran-Vongher,Ann Buran-Vongher Percent,precinct_id
39,13,7,5,71.43,2,28.57,39013
39,18,15,12,80.0,3,20.0,39018
39,32,72,50,69.44,22,30.56,39032
39,36,9,5,55.56,4,44.44,39036
40,9,110,81,73.64,29,26.36,40009
40,10,23,17,73.91,6,26.09,40010
40,18,73,56,76.71,17,23.29,40018
40,27,206,151,73.3,55,26.7,40027
40,28,148,128,86.49,20,13.51,40028
40,35,68,47,69.12,21,30.88,40035
40,37,169,147,86.98,22,13.02,40037
41,6,74,61,82.43,13,17.57,41006
41,9,104,79,75.96,25,24.04,41009
41,14,66,53,80.3,13,19.7,41014
41,19,157,117,74.52,40,25.48,41019
41,47,81,59,72.84,22,27.16,41047
48,13,249,171,68.67,78,31.33,48013
48,15,96,70,72.92,26,27.08,48015
48,22,192,129,67.19,63,32.81,48022
48,27,66,53,80.3,13,19.7,48027
48,31,83,64,77.11,19,22.89,48031
48,32,110,88,80.0,22,20.0,48032
48,33,118,86,72.88,32,27.12,48033
48,46,140,99,70.71,41,29.29,48046
49,1,106,76,71.7,30,28.3,49001
49,3,225,194,86.22,31,13.78,49003
49,4,230,203,88.26,27,11.74,49004
49,5,195,152,77.95,43,22.05,49005
49,6,157,125,79.62,32,20.38,49006
49,7,152,124,81.58,28,18.42,49007
49,8,137,109,79.56,28,20.44,49008
49,9,194,161,82.99,33,17.01,49009
49,10,205,171,83.41,34,16.59,49010
49,11,217,185,85.25,32,14.75,49011
49,12,205,174,84.88,31,15.12,49012
49,13,222,182,81.98,40,18.02,49013
49,14,116,88,75.86,28,24.14,49014
49,15,130,102,78.46,28,21.54,49015
49,16,177,144,81.36,33,18.64,49016
49,18,232,191,82.33,41,17.67,49018
49,19,131,103,78.63,28,21.37,49019
49,20,290,256,88.28,34,11.72,49020
49,21,79,61,77.22,18,22.78,49021
49,22,190,143,75.26,47,24.74,49022
49,23,213,181,84.98,32,15.02,49023
49,24,111,87,78.38,24,21.62,49024
49,25,220,190,86.36,30,13.64,49025
49,26,203,165,81.28,38,18.72,49026
49,27,147,124,84.35,23,15.65,49027
49,28,265,229,86.42,36,13.58,49028
49,29,222,189,85.14,33,14.86,49029
49,30,180,145,80.56,35,19.44,49030
49,31,118,84,71.19,34,28.81,49031
49,32,182,145,79.67,37,20.33,49032
49,33,155,128,82.58,27,17.42,49033
50,1,141,120,85.11,21,14.89,50001
50,2,80,66,82.5,14,17.5,50002
50,3,141,109,77.3,32,22.7,50003
50,4,159,127,79.87,32,20.13,50004
50,5,99,71,71.72,28,28.28,50005
50,6,147,112,76.19,35,23.81,50006
50,7,213,169,79.34,44,20.66,50007
50,8,117,88,75.21,29,24.79,50008
50,9,121,97,80.17,24,19.83,50009
50,10,108,84,77.78,24,22.22,50010
50,11,106,86,81.13,20,18.87,50011
50,12,45,34,75.56,11,24.44,50012
50,13,123,92,74.8,31,25.2,50013
50,14,45,32,71.11,13,28.89,50014
50,15,214,173,80.84,41,19.16,50015
50,16,47,32,68.09,15,31.91,50016
50,17,87,57,65.52,30,34.48,50017
50,18,27,20,74.07,7,25.93,50018
50,19,76,54,71.05,22,28.95,50019
50,20,144,114,79.17,30,20.83,50020
50,21,128,97,75.78,31,24.22,50021
50,22,100,81,81.0,19,19.0,50022
50,24,65,47,72.31,18,27.69,50024
50,25,115,92,80.0,23,20.0,50025
50,26,77,56,72.73,21,27.27,50026
50,27,42,29,69.05,13,30.95,50027
50,28,112,76,67.86,36,32.14,50028
50,29,64,43,67.19,21,32.81,50029
50,30,77,66,85.71,11,14.29,50030
50,31,97,75,77.32,22,22.68,50031
50,32,109,78,71.56,31,28.44,50032
50,33,128,111,86.72,17,13.28,50033
50,34,205,177,86.34,28,13.66,50034
50,35,181,144,79.56,37,20.44,50035
50,36,172,145,84.3,27,15.7,50036
50,37,121,101,83.47,20,16.53,50037
50,38,63,44,69.84,19,30.16,50038
50,39,70,57,81.43,13,18.57,50039
50,40,135,116,85.93,19,14.07,50040
