ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,precinct_id
1,6,135,135,100.0,01006
1,8,15,15,100.0,01008
1,10,0,0,0.0,01010
1,11,20,20,100.0,01011
1,21,18,18,100.0,01021
1,33,24,24,100.0,01033
1,35,162,162,100.0,01035
1,37,164,164,100.0,01037
1,40,126,126,100.0,01040
2,1,143,143,100.0,02001
2,5,166,166,100.0,02005
2,6,119,119,100.0,02006
2,7,113,113,100.0,02007
2,8,145,145,100.0,02008
2,9,141,141,100.0,02009
2,12,111,111,100.0,02012
2,15,62,62,100.0,02015
2,20,136,136,100.0,02020
2,22,162,162,100.0,02022
2,25,195,195,100.0,02025
2,26,57,57,100.0,02026
2,46,73,73,100.0,02046
11,2,5,5,100.0,11002
11,6,187,187,100.0,11006
11,7,93,93,100.0,11007
11,33,140,140,100.0,11033
21,42,0,0,0.0,21042
22,21,69,69,100.0,22021
24,1,79,79,100.0,24001
24,2,60,60,100.0,24002
24,3,70,70,100.0,24003
24,4,51,51,100.0,24004
24,5,28,28,100.0,24005
24,6,83,83,100.0,24006
24,7,47,47,100.0,24007
24,8,24,24,100.0,24008
24,9,60,60,100.0,24009
24,10,53,53,100.0,24010
24,11,62,62,100.0,24011
24,12,44,44,100.0,24012
24,13,37,37,100.0,24013
24,14,42,42,100.0,24014
24,15,28,28,100.0,24015
24,17,56,56,100.0,24017
24,18,80,80,100.0,24018
24,19,86,86,100.0,24019
24,20,61,61,100.0,24020
24,21,39,39,100.0,24021
24,22,104,104,100.0,24022
24,23,60,60,100.0,24023
24,24,66,66,100.0,24024
24,25,40,40,100.0,24025
24,26,158,158,100.0,24026
24,27,92,92,100.0,24027
24,28,35,35,100.0,24028
24,29,25,25,100.0,24029
24,30,40,40,100.0,24030
24,31,67,67,100.0,24031
24,32,47,47,100.0,24032
24,33,38,38,100.0,24033
24,34,60,60,100.0,24034
24,35,64,64,100.0,24035
24,36,102,102,100.0,24036
24,37,45,45,100.0,24037
24,38,72,72,100.0,24038
24,39,58,58,100.0,24039
24,40,74,74,100.0,24040
25,3,175,175,100.0,25003
25,4,79,79,100.0,25004
25,10,142,142,100.0,25010
25,16,150,150,100.0,25016
25,20,59,59,100.0,25020
25,25,110,110,100.0,25025
25,27,67,67,100.0,25027
