ward,precinct,total,Chris Taliaferro,Chris Taliaferro Percent,Aileen Bhandari,Aileen Bhandari Percent,precinct_id
29,1,211,116,54.98,95,45.02,29001
29,7,153,96,62.75,57,37.25,29007
29,9,182,105,57.69,77,42.31,29009
29,10,225,127,56.44,98,43.56,29010
29,12,149,101,67.79,48,32.21,29012
29,15,148,106,71.62,42,28.38,29015
29,17,95,66,69.47,29,30.53,29017
29,23,123,91,73.98,32,26.02,29023
29,24,109,79,72.48,30,27.52,29024
29,29,123,66,53.66,57,46.34,29029
29,30,191,120,62.83,71,37.17,29030
29,31,94,60,63.83,34,36.17,29031
29,32,103,50,48.54,53,51.46,29032
29,36,117,79,67.52,38,32.48,29036
29,38,101,63,62.38,38,37.62,29038
29,39,92,58,63.04,34,36.96,29039
29,43,203,119,58.62,84,41.38,29043
30,1,158,63,39.87,95,60.13,30001
30,2,95,49,51.58,46,48.42,30002
30,3,60,24,40.0,36,60.0,30003
30,4,105,38,36.19,67,63.81,30004
30,5,53,34,64.15,19,35.85,30005
30,6,83,54,65.06,29,34.94,30006
30,7,134,48,35.82,86,64.18,30007
30,8,178,64,35.96,114,64.04,30008
30,9,89,44,49.44,45,50.56,30009
30,10,101,68,67.33,33,32.67,30010
30,11,75,36,48.0,39,52.0,30011
30,12,58,28,48.28,30,51.72,30012
30,13,100,56,56.0,44,44.0,30013
30,16,43,15,34.88,28,65.12,30016
30,17,108,53,49.07,55,50.93,30017
30,18,166,85,51.2,81,48.8,30018
30,20,98,48,48.98,50,51.02,30020
30,21,80,38,47.5,42,52.5,30021
30,22,193,80,41.45,113,58.55,30022
30,23,128,59,46.09,69,53.91,30023
30,24,204,104,50.98,100,49.02,30024
30,25,186,72,38.71,114,61.29,30025
30,26,74,39,52.7,35,47.3,30026
30,27,76,34,44.74,42,55.26,30027
30,28,166,65,39.16,101,60.84,30028
30,29,53,28,52.83,25,47.17,30029
30,30,44,22,50.0,22,50.0,30030
30,31,58,22,37.93,36,62.07,30031
31,3,42,24,57.14,18,42.86,31003
31,8,53,29,54.72,24,45.28,31008
31,9,55,28,50.91,27,49.09,31009
31,11,62,30,48.39,32,51.61,31011
31,12,68,24,35.29,44,64.71,31012
31,14,64,27,42.19,37,57.81,31014
31,15,56,24,42.86,32,57.14,31015
31,17,16,9,56.25,7,43.75,31017
31,19,61,31,50.82,30,49.18,31019
31,25,56,26,46.43,30,53.57,31025
31,31,47,27,57.45,20,42.55,31031
31,33,60,34,56.67,26,43.33,31033
31,34,82,44,53.66,38,46.34,31034
31,35,28,12,42.86,16,57.14,31035
36,1,90,46,51.11,44,48.89,36001
36,2,79,43,54.43,36,45.57,36002
36,3,82,51,62.2,31,37.8,36003
36,4,73,47,64.38,26,35.62,36004
36,5,79,50,63.29,29,36.71,36005
36,7,140,60,42.86,80,57.14,36007
36,10,97,57,58.76,40,41.24,36010
36,14,122,46,37.7,76,62.3,36014
36,15,115,48,41.74,67,58.26,36015
36,16,108,48,44.44,60,55.56,36016
36,17,139,70,50.36,69,49.64,36017
36,18,126,47,37.3,79,62.7,36018
36,19,111,68,61.26,43,38.74,36019
36,20,109,54,49.54,55,50.46,36020
36,21,3,2,66.67,1,33.33,36021
36,23,34,22,64.71,12,35.29,36023
36,24,102,52,50.98,50,49.02,36024
36,26,80,42,52.5,38,47.5,36026
36,27,89,45,50.56,44,49.44,36027
36,28,83,49,59.04,34,40.96,36028
