ward,precinct,total,Mike Porfirio,Mike Porfirio Percent,precinct_id
13,1,84,84,100.0,13001
13,2,73,73,100.0,13002
13,3,38,38,100.0,13003
13,4,78,78,100.0,13004
13,5,57,57,100.0,13005
13,6,85,85,100.0,13006
13,7,43,43,100.0,13007
13,8,57,57,100.0,13008
13,9,56,56,100.0,13009
13,10,76,76,100.0,13010
13,11,94,94,100.0,13011
13,12,60,60,100.0,13012
13,13,71,71,100.0,13013
13,14,72,72,100.0,13014
13,15,77,77,100.0,13015
13,16,41,41,100.0,13016
13,17,76,76,100.0,13017
13,18,66,66,100.0,13018
13,19,59,59,100.0,13019
13,20,53,53,100.0,13020
13,21,98,98,100.0,13021
13,22,86,86,100.0,13022
13,23,56,56,100.0,13023
13,24,60,60,100.0,13024
13,25,49,49,100.0,13025
13,26,84,84,100.0,13026
13,27,63,63,100.0,13027
13,28,53,53,100.0,13028
13,29,46,46,100.0,13029
13,30,31,31,100.0,13030
13,31,97,97,100.0,13031
13,32,62,62,100.0,13032
13,33,92,92,100.0,13033
13,34,64,64,100.0,13034
13,35,51,51,100.0,13035
13,36,29,29,100.0,13036
13,37,121,121,100.0,13037
13,38,57,57,100.0,13038
13,39,73,73,100.0,13039
13,40,40,40,100.0,13040
13,41,73,73,100.0,13041
13,42,90,90,100.0,13042
13,43,79,79,100.0,13043
13,44,50,50,100.0,13044
13,45,66,66,100.0,13045
13,46,56,56,100.0,13046
13,47,75,75,100.0,13047
13,48,69,69,100.0,13048
14,1,115,115,100.0,14001
14,18,19,19,100.0,14018
18,43,11,11,100.0,18043
23,1,78,78,100.0,23001
23,2,90,90,100.0,23002
23,3,77,77,100.0,23003
23,4,71,71,100.0,23004
23,5,56,56,100.0,23005
23,6,46,46,100.0,23006
23,7,41,41,100.0,23007
23,8,78,78,100.0,23008
23,9,36,36,100.0,23009
23,10,77,77,100.0,23010
23,11,61,61,100.0,23011
23,12,74,74,100.0,23012
23,14,22,22,100.0,23014
23,16,94,94,100.0,23016
23,18,68,68,100.0,23018
23,21,81,81,100.0,23021
23,22,42,42,100.0,23022
23,23,94,94,100.0,23023
23,24,28,28,100.0,23024
23,25,11,11,100.0,23025
23,26,49,49,100.0,23026
23,27,76,76,100.0,23027
23,28,65,65,100.0,23028
23,29,58,58,100.0,23029
23,30,68,68,100.0,23030
23,32,61,61,100.0,23032
23,33,53,53,100.0,23033
23,35,47,47,100.0,23035
23,36,77,77,100.0,23036
23,37,101,101,100.0,23037
23,38,65,65,100.0,23038
23,39,75,75,100.0,23039
