ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,Monet S. Wilson,Monet S. Wilson Percent,precinct_id
9,3,52,40,76.92,12,23.08,09003
9,4,11,7,63.64,4,36.36,09004
9,7,51,40,78.43,11,21.57,09007
9,11,34,27,79.41,7,20.59,09011
9,15,48,37,77.08,11,22.92,09015
9,16,25,22,88.0,3,12.0,09016
9,26,74,63,85.14,11,14.86,09026
9,28,39,30,76.92,9,23.08,09028
9,31,10,6,60.0,4,40.0,09031
9,33,81,67,82.72,14,17.28,09033
9,41,105,88,83.81,17,16.19,09041
9,45,90,72,80.0,18,20.0,09045
