ward,precinct,total,Lakesia Collins,Lakesia Collins Percent,precinct_id
2,9,143,143,100.0,02009
2,12,116,116,100.0,02012
2,20,49,49,100.0,02020
2,46,73,73,100.0,02046
11,2,4,4,100.0,11002
11,6,188,188,100.0,11006
11,7,90,90,100.0,11007
11,33,145,145,100.0,11033
21,42,0,0,0.0,21042
22,21,74,74,100.0,22021
24,1,75,75,100.0,24001
24,2,68,68,100.0,24002
24,3,75,75,100.0,24003
24,5,31,31,100.0,24005
24,6,88,88,100.0,24006
24,7,48,48,100.0,24007
24,8,29,29,100.0,24008
24,9,73,73,100.0,24009
24,10,57,57,100.0,24010
24,11,69,69,100.0,24011
24,12,44,44,100.0,24012
24,13,41,41,100.0,24013
24,14,44,44,100.0,24014
24,15,31,31,100.0,24015
24,17,39,39,100.0,24017
24,21,39,39,100.0,24021
24,22,109,109,100.0,24022
24,23,65,65,100.0,24023
24,24,78,78,100.0,24024
24,25,42,42,100.0,24025
24,26,158,158,100.0,24026
24,27,95,95,100.0,24027
24,28,42,42,100.0,24028
24,29,27,27,100.0,24029
24,30,41,41,100.0,24030
24,31,74,74,100.0,24031
24,33,43,43,100.0,24033
24,34,59,59,100.0,24034
24,35,74,74,100.0,24035
24,36,115,115,100.0,24036
24,37,47,47,100.0,24037
24,38,77,77,100.0,24038
24,39,59,59,100.0,24039
24,40,84,84,100.0,24040
25,3,178,178,100.0,25003
25,4,81,81,100.0,25004
25,10,21,21,100.0,25010
25,16,89,89,100.0,25016
25,20,60,60,100.0,25020
25,25,108,108,100.0,25025
25,27,67,67,100.0,25027
25,29,96,96,100.0,25029
27,6,124,124,100.0,27006
27,9,51,51,100.0,27009
27,10,10,10,100.0,27010
27,11,33,33,100.0,27011
27,14,21,21,100.0,27014
27,16,27,27,100.0,27016
27,18,65,65,100.0,27018
27,20,41,41,100.0,27020
27,21,127,127,100.0,27021
27,25,58,58,100.0,27025
27,37,123,123,100.0,27037
27,41,103,103,100.0,27041
27,42,47,47,100.0,27042
27,45,228,228,100.0,27045
27,47,94,94,100.0,27047
27,48,165,165,100.0,27048
28,4,62,62,100.0,28004
28,5,52,52,100.0,28005
28,10,111,111,100.0,28010
28,11,158,158,100.0,28011
28,18,60,60,100.0,28018
28,19,71,71,100.0,28019
28,27,88,88,100.0,28027
28,28,118,118,100.0,28028
28,29,27,27,100.0,28029
28,32,0,0,0.0,28032
28,34,98,98,100.0,28034
28,35,60,60,100.0,28035
28,46,185,185,100.0,28046
42,3,163,163,100.0,42003
42,5,127,127,100.0,42005
42,9,1,1,100.0,42009
42,12,96,96,100.0,42012
42,15,86,86,100.0,42015
42,16,153,153,100.0,42016
42,17,40,40,100.0,42017
42,18,114,114,100.0,42018
42,21,143,143,100.0,42021
42,36,171,171,100.0,42036
42,37,86,86,100.0,42037
42,38,35,35,100.0,42038
42,41,77,77,100.0,42041
43,5,37,37,100.0,43005
43,45,42,42,100.0,43045
