ward,precinct,total,Denyse Wang Stoneback,Denyse Wang Stoneback Percent,Kevin Olickal,Kevin Olickal Percent,precinct_id
40,4,107,51,47.66,56,52.34,40004
40,9,113,63,55.75,50,44.25,40009
40,10,74,41,55.41,33,44.59,40010
40,15,143,70,48.95,73,51.05,40015
40,18,102,56,54.9,46,45.1,40018
40,22,268,145,54.1,123,45.9,40022
40,32,5,4,80.0,1,20.0,40032
40,33,55,21,38.18,34,61.82,40033
40,35,77,38,49.35,39,50.65,40035
40,36,170,84,49.41,86,50.59,40036
40,39,35,20,57.14,15,42.86,40039
41,9,40,27,67.5,13,32.5,41009
48,37,233,96,41.2,137,58.8,48037
48,42,99,49,49.49,50,50.51,48042
49,10,23,13,56.52,10,43.48,49010
49,13,29,17,58.62,12,41.38,49013
50,1,218,54,24.77,164,75.23,50001
50,2,115,47,40.87,68,59.13,50002
50,3,187,61,32.62,126,67.38,50003
50,4,129,54,41.86,75,58.14,50004
50,5,156,28,17.95,128,82.05,50005
50,6,78,34,43.59,44,56.41,50006
50,7,86,48,55.81,38,44.19,50007
50,9,59,20,33.9,39,66.1,50009
50,10,156,33,21.15,123,78.85,50010
50,11,215,14,6.51,201,93.49,50011
50,12,59,22,37.29,37,62.71,50012
50,13,125,63,50.4,62,49.6,50013
50,14,55,19,34.55,36,65.45,50014
50,16,62,21,33.87,41,66.13,50016
50,17,55,28,50.91,27,49.09,50017
50,18,40,10,25.0,30,75.0,50018
50,19,79,33,41.77,46,58.23,50019
50,20,171,63,36.84,108,63.16,50020
50,21,83,38,45.78,45,54.22,50021
50,22,164,44,26.83,120,73.17,50022
50,26,65,28,43.08,37,56.92,50026
50,27,49,24,48.98,25,51.02,50027
50,28,116,54,46.55,62,53.45,50028
50,29,67,35,52.24,32,47.76,50029
50,30,109,56,51.38,53,48.62,50030
50,31,128,52,40.63,76,59.38,50031
50,32,118,57,48.31,61,51.69,50032
50,33,238,37,15.55,201,84.45,50033
50,34,270,115,42.59,155,57.41,50034
50,35,189,113,59.79,76,40.21,50035
50,36,197,95,48.22,102,51.78,50036
50,37,39,19,48.72,20,51.28,50037
50,38,82,46,56.1,36,43.9,50038
50,39,72,30,41.67,42,58.33,50039
50,40,269,34,12.64,235,87.36,50040
