ward,precinct,total,Kina Collins,Kina Collins Percent,Danny K. Davis,Danny K. Davis Percent,Denarvis C. Mendenhall,Denarvis C. Mendenhall Percent,precinct_id
11,35,39,20,51.28,17,43.59,2,5.13,11035
11,36,50,33,66.0,15,30.0,2,4.0,11036
11,37,39,15,38.46,20,51.28,4,10.26,11037
11,38,75,39,52.0,33,44.0,3,4.0,11038
15,2,60,15,25.0,45,75.0,0,0.0,15002
15,3,78,23,29.49,54,69.23,1,1.28,15003
15,7,51,15,29.41,36,70.59,0,0.0,15007
15,16,1,0,0.0,1,100.0,0,0.0,15016
15,17,81,14,17.28,63,77.78,4,4.94,15017
15,18,56,10,17.86,46,82.14,0,0.0,15018
15,20,71,12,16.9,59,83.1,0,0.0,15020
15,21,61,20,32.79,41,67.21,0,0.0,15021
15,22,76,24,31.58,52,68.42,0,0.0,15022
15,23,92,14,15.22,78,84.78,0,0.0,15023
15,24,52,15,28.85,37,71.15,0,0.0,15024
16,2,86,16,18.6,70,81.4,0,0.0,16002
16,3,64,12,18.75,51,79.69,1,1.56,16003
16,4,70,18,25.71,51,72.86,1,1.43,16004
16,5,62,13,20.97,47,75.81,2,3.23,16005
16,6,81,16,19.75,65,80.25,0,0.0,16006
16,7,73,23,31.51,47,64.38,3,4.11,16007
16,8,46,11,23.91,34,73.91,1,2.17,16008
16,9,75,20,26.67,53,70.67,2,2.67,16009
16,10,86,17,19.77,67,77.91,2,2.33,16010
16,11,60,15,25.0,43,71.67,2,3.33,16011
16,12,47,2,4.26,44,93.62,1,2.13,16012
16,14,59,11,18.64,46,77.97,2,3.39,16014
16,15,79,19,24.05,60,75.95,0,0.0,16015
16,16,94,15,15.96,79,84.04,0,0.0,16016
16,18,70,16,22.86,50,71.43,4,5.71,16018
16,19,71,19,26.76,50,70.42,2,2.82,16019
16,20,65,9,13.85,54,83.08,2,3.08,16020
16,21,53,8,15.09,45,84.91,0,0.0,16021
16,22,57,13,22.81,44,77.19,0,0.0,16022
16,23,3,1,33.33,2,66.67,0,0.0,16023
16,24,42,6,14.29,34,80.95,2,4.76,16024
16,25,105,32,30.48,72,68.57,1,0.95,16025
16,26,57,13,22.81,43,75.44,1,1.75,16026
16,27,42,10,23.81,31,73.81,1,2.38,16027
16,28,93,26,27.96,67,72.04,0,0.0,16028
16,29,64,11,17.19,51,79.69,2,3.13,16029
16,30,64,15,23.44,46,71.88,3,4.69,16030
16,31,69,10,14.49,57,82.61,2,2.9,16031
16,33,61,19,31.15,42,68.85,0,0.0,16033
16,34,74,12,16.22,61,82.43,1,1.35,16034
16,36,50,15,30.0,35,70.0,0,0.0,16036
17,3,115,20,17.39,95,82.61,0,0.0,17003
17,5,88,17,19.32,71,80.68,0,0.0,17005
17,6,81,28,34.57,52,64.2,1,1.23,17006
17,7,67,35,52.24,31,46.27,1,1.49,17007
17,8,78,17,21.79,60,76.92,1,1.28,17008
17,11,62,9,14.52,53,85.48,0,0.0,17011
17,12,86,29,33.72,55,63.95,2,2.33,17012
17,13,88,20,22.73,68,77.27,0,0.0,17013
17,14,41,17,41.46,24,58.54,0,0.0,17014
17,16,88,28,31.82,58,65.91,2,2.27,17016
17,17,93,33,35.48,57,61.29,3,3.23,17017
17,19,48,11,22.92,36,75.0,1,2.08,17019
17,23,78,13,16.67,65,83.33,0,0.0,17023
17,25,79,27,34.18,52,65.82,0,0.0,17025
17,28,97,16,16.49,77,79.38,4,4.12,17028
17,31,76,8,10.53,68,89.47,0,0.0,17031
17,32,66,17,25.76,49,74.24,0,0.0,17032
17,33,50,6,12.0,43,86.0,1,2.0,17033
17,34,62,16,25.81,46,74.19,0,0.0,17034
17,35,63,14,22.22,47,74.6,2,3.17,17035
17,36,104,25,24.04,77,74.04,2,1.92,17036
17,37,116,26,22.41,90,77.59,0,0.0,17037
17,40,0,0,0.0,0,0.0,0,0.0,17040
18,5,75,20,26.67,53,70.67,2,2.67,18005
18,33,92,22,23.91,70,76.09,0,0.0,18033
18,48,73,23,31.51,49,67.12,1,1.37,18048
20,2,14,2,14.29,12,85.71,0,0.0,20002
20,4,34,5,14.71,29,85.29,0,0.0,20004
20,6,41,16,39.02,24,58.54,1,2.44,20006
20,7,100,42,42.0,55,55.0,3,3.0,20007
20,11,115,41,35.65,72,62.61,2,1.74,20011
20,12,61,23,37.7,36,59.02,2,3.28,20012
20,17,36,9,25.0,24,66.67,3,8.33,20017
20,20,21,9,42.86,12,57.14,0,0.0,20020
20,21,80,12,15.0,67,83.75,1,1.25,20021
20,23,93,25,26.88,66,70.97,2,2.15,20023
20,25,94,14,14.89,78,82.98,2,2.13,20025
20,27,80,11,13.75,65,81.25,4,5.0,20027
20,30,58,7,12.07,51,87.93,0,0.0,20030
20,31,143,34,23.78,107,74.83,2,1.4,20031
20,32,96,14,14.58,80,83.33,2,2.08,20032
