ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
1,3,187,187,100.0,01003
1,4,150,150,100.0,01004
1,5,70,70,100.0,01005
1,6,133,133,100.0,01006
1,8,114,114,100.0,01008
1,10,182,182,100.0,01010
1,11,40,40,100.0,01011
1,12,171,171,100.0,01012
1,14,153,153,100.0,01014
1,15,37,37,100.0,01015
1,32,141,141,100.0,01032
1,33,172,172,100.0,01033
1,35,161,161,100.0,01035
1,36,203,203,100.0,01036
1,37,168,168,100.0,01037
1,38,90,90,100.0,01038
1,39,122,122,100.0,01039
1,40,126,126,100.0,01040
2,1,46,46,100.0,02001
2,3,173,173,100.0,02003
2,4,156,156,100.0,02004
2,5,170,170,100.0,02005
2,6,1,1,100.0,02006
2,9,146,146,100.0,02009
2,12,109,109,100.0,02012
2,14,176,176,100.0,02014
2,15,72,72,100.0,02015
2,16,169,169,100.0,02016
2,17,224,224,100.0,02017
2,21,175,175,100.0,02021
2,32,58,58,100.0,02032
2,35,170,170,100.0,02035
2,39,34,34,100.0,02039
2,40,154,154,100.0,02040
2,41,128,128,100.0,02041
2,43,108,108,100.0,02043
2,45,94,94,100.0,02045
2,46,91,91,100.0,02046
3,1,176,176,100.0,03001
3,3,100,100,100.0,03003
3,4,83,83,100.0,03004
3,5,81,81,100.0,03005
3,6,42,42,100.0,03006
3,8,102,102,100.0,03008
3,9,178,178,100.0,03009
3,10,63,63,100.0,03010
3,11,155,155,100.0,03011
3,12,29,29,100.0,03012
3,13,216,216,100.0,03013
3,14,173,173,100.0,03014
3,15,127,127,100.0,03015
3,16,132,132,100.0,03016
3,17,162,162,100.0,03017
3,18,111,111,100.0,03018
3,19,93,93,100.0,03019
3,20,182,182,100.0,03020
3,21,220,220,100.0,03021
3,22,209,209,100.0,03022
3,24,112,112,100.0,03024
3,25,305,305,100.0,03025
3,26,231,231,100.0,03026
3,28,115,115,100.0,03028
3,29,61,61,100.0,03029
3,30,86,86,100.0,03030
3,31,123,123,100.0,03031
3,32,220,220,100.0,03032
3,33,190,190,100.0,03033
3,34,236,236,100.0,03034
3,36,56,56,100.0,03036
3,37,121,121,100.0,03037
3,39,274,274,100.0,03039
3,40,139,139,100.0,03040
3,41,0,0,0.0,03041
4,2,245,245,100.0,04002
4,8,56,56,100.0,04008
4,13,121,121,100.0,04013
4,14,118,118,100.0,04014
4,16,284,284,100.0,04016
4,17,229,229,100.0,04017
4,20,187,187,100.0,04020
4,21,164,164,100.0,04021
4,25,249,249,100.0,04025
4,37,314,314,100.0,04037
6,21,45,45,100.0,06021
6,22,58,58,100.0,06022
6,23,43,43,100.0,06023
6,24,50,50,100.0,06024
