ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
13,2,77,77,100.0,13002
13,4,79,79,100.0,13004
13,6,87,87,100.0,13006
13,10,70,70,100.0,13010
13,11,95,95,100.0,13011
13,18,68,68,100.0,13018
13,20,54,54,100.0,13020
13,21,104,104,100.0,13021
13,22,83,83,100.0,13022
13,31,92,92,100.0,13031
13,32,67,67,100.0,13032
13,33,91,91,100.0,13033
13,38,56,56,100.0,13038
13,42,93,93,100.0,13042
13,48,71,71,100.0,13048
14,1,127,127,100.0,14001
14,4,67,67,100.0,14004
14,9,74,74,100.0,14009
14,24,97,97,100.0,14024
19,1,116,116,100.0,19001
19,2,267,267,100.0,19002
19,3,61,61,100.0,19003
19,4,118,118,100.0,19004
19,5,225,225,100.0,19005
19,6,107,107,100.0,19006
19,7,127,127,100.0,19007
19,8,75,75,100.0,19008
19,9,101,101,100.0,19009
19,10,217,217,100.0,19010
19,11,86,86,100.0,19011
19,12,78,78,100.0,19012
19,15,109,109,100.0,19015
19,16,129,129,100.0,19016
19,17,123,123,100.0,19017
19,18,212,212,100.0,19018
19,19,279,279,100.0,19019
19,21,92,92,100.0,19021
19,22,180,180,100.0,19022
19,23,155,155,100.0,19023
19,24,69,69,100.0,19024
19,25,120,120,100.0,19025
19,26,179,179,100.0,19026
19,29,87,87,100.0,19029
19,30,85,85,100.0,19030
19,31,152,152,100.0,19031
19,32,124,124,100.0,19032
19,33,94,94,100.0,19033
19,34,143,143,100.0,19034
19,35,179,179,100.0,19035
19,40,13,13,100.0,19040
19,41,79,79,100.0,19041
19,44,107,107,100.0,19044
19,45,128,128,100.0,19045
19,46,133,133,100.0,19046
19,50,111,111,100.0,19050
19,51,172,172,100.0,19051
19,52,116,116,100.0,19052
19,53,123,123,100.0,19053
19,54,65,65,100.0,19054
19,55,68,68,100.0,19055
19,56,223,223,100.0,19056
19,57,152,152,100.0,19057
23,1,79,79,100.0,23001
23,2,90,90,100.0,23002
23,3,81,81,100.0,23003
23,12,73,73,100.0,23012
23,14,57,57,100.0,23014
23,16,95,95,100.0,23016
23,18,78,78,100.0,23018
23,21,89,89,100.0,23021
23,22,64,64,100.0,23022
23,23,94,94,100.0,23023
23,27,81,81,100.0,23027
23,28,64,64,100.0,23028
23,29,0,0,0.0,23029
23,35,48,48,100.0,23035
23,36,80,80,100.0,23036
23,37,101,101,100.0,23037
