ward,precinct,total,Michael J. Zalewski,Michael J. Zalewski Percent,precinct_id
14,1,149,101,67.79,14001
23,3,90,58,64.44,23003
23,12,0,0,0.0,23012
23,14,21,16,76.19,23014
23,16,117,82,70.09,23016
23,21,107,72,67.29,23021
23,27,96,78,81.25,23027
23,36,56,35,62.5,23036
23,37,95,59,62.11,23037
