ward,precinct,total,"Nicholas """"Nick"""" Smith","Nicholas """"Nick"""" Smith Percent",precinct_id
6,1,159,159,100.0,06001
6,2,178,178,100.0,06002
6,3,120,120,100.0,06003
6,6,102,102,100.0,06006
6,8,150,150,100.0,06008
6,13,119,119,100.0,06013
6,14,7,7,100.0,06014
6,16,145,145,100.0,06016
6,29,169,169,100.0,06029
6,31,165,165,100.0,06031
6,32,35,35,100.0,06032
6,33,23,23,100.0,06033
6,34,123,123,100.0,06034
6,35,144,144,100.0,06035
6,36,176,176,100.0,06036
6,37,208,208,100.0,06037
6,38,150,150,100.0,06038
6,39,40,40,100.0,06039
6,41,146,146,100.0,06041
6,42,115,115,100.0,06042
6,43,108,108,100.0,06043
6,44,118,118,100.0,06044
6,45,138,138,100.0,06045
6,46,47,47,100.0,06046
6,48,12,12,100.0,06048
8,15,51,51,100.0,08015
8,22,123,123,100.0,08022
8,31,98,98,100.0,08031
8,32,100,100,100.0,08032
8,34,133,133,100.0,08034
8,39,129,129,100.0,08039
8,45,20,20,100.0,08045
8,47,116,116,100.0,08047
9,1,113,113,100.0,09001
9,2,88,88,100.0,09002
9,5,66,66,100.0,09005
9,7,11,11,100.0,09007
9,8,76,76,100.0,09008
9,9,146,146,100.0,09009
9,12,157,157,100.0,09012
9,13,143,143,100.0,09013
9,14,160,160,100.0,09014
9,17,16,16,100.0,09017
9,22,126,126,100.0,09022
9,23,159,159,100.0,09023
9,24,156,156,100.0,09024
9,25,114,114,100.0,09025
9,28,7,7,100.0,09028
9,29,39,39,100.0,09029
9,31,6,6,100.0,09031
9,32,121,121,100.0,09032
9,34,35,35,100.0,09034
9,35,128,128,100.0,09035
9,36,83,83,100.0,09036
9,37,182,182,100.0,09037
9,38,94,94,100.0,09038
9,40,158,158,100.0,09040
9,42,168,168,100.0,09042
9,43,29,29,100.0,09043
9,46,126,126,100.0,09046
9,47,169,169,100.0,09047
9,48,157,157,100.0,09048
9,49,152,152,100.0,09049
9,50,200,200,100.0,09050
9,51,161,161,100.0,09051
10,13,0,0,0.0,10013
10,16,0,0,0.0,10016
21,31,130,130,100.0,21031
21,53,98,98,100.0,21053
