ward,precinct,total,"Russell """"Russ"""" Hartigan","Russell """"Russ"""" Hartigan Percent",Dominique C. Ross,Dominique C. Ross Percent,Debra B. Walker,Debra B. Walker Percent,precinct_id
3,20,183,18,9.84,82,44.81,83,45.36,03020
3,21,230,43,18.7,67,29.13,120,52.17,03021
3,22,213,36,16.9,61,28.64,116,54.46,03022
3,23,109,18,16.51,40,36.7,51,46.79,03023
3,24,126,11,8.73,73,57.94,42,33.33,03024
3,25,321,71,22.12,87,27.1,163,50.78,03025
3,26,233,45,19.31,60,25.75,128,54.94,03026
3,27,211,35,16.59,79,37.44,97,45.97,03027
3,28,130,21,16.15,55,42.31,54,41.54,03028
3,29,127,20,15.75,68,53.54,39,30.71,03029
3,30,173,19,10.98,90,52.02,64,36.99,03030
3,31,162,16,9.88,89,54.94,57,35.19,03031
3,32,218,29,13.3,90,41.28,99,45.41,03032
3,33,192,32,16.67,74,38.54,86,44.79,03033
3,34,238,47,19.75,75,31.51,116,48.74,03034
3,35,89,10,11.24,48,53.93,31,34.83,03035
3,36,62,7,11.29,33,53.23,22,35.48,03036
3,37,122,16,13.11,61,50.0,45,36.89,03037
3,38,169,17,10.06,68,40.24,84,49.7,03038
3,39,293,57,19.45,95,32.42,141,48.12,03039
3,40,149,26,17.45,64,42.95,59,39.6,03040
3,41,154,44,28.57,54,35.06,56,36.36,03041
4,1,262,40,15.27,87,33.21,135,51.53,04001
4,2,251,41,16.33,75,29.88,135,53.78,04002
4,3,114,16,14.04,52,45.61,46,40.35,04003
4,4,222,36,16.22,105,47.3,81,36.49,04004
4,5,214,13,6.07,124,57.94,77,35.98,04005
4,6,298,34,11.41,115,38.59,149,50.0,04006
4,7,249,35,14.06,135,54.22,79,31.73,04007
4,8,236,18,7.63,142,60.17,76,32.2,04008
4,9,333,37,11.11,188,56.46,108,32.43,04009
4,10,300,38,12.67,182,60.67,80,26.67,04010
4,11,103,12,11.65,52,50.49,39,37.86,04011
4,12,214,22,10.28,117,54.67,75,35.05,04012
4,13,126,22,17.46,43,34.13,61,48.41,04013
4,14,215,32,14.88,115,53.49,68,31.63,04014
4,15,223,29,13.0,120,53.81,74,33.18,04015
4,16,282,59,20.92,70,24.82,153,54.26,04016
4,17,228,34,14.91,77,33.77,117,51.32,04017
4,18,214,40,18.69,97,45.33,77,35.98,04018
4,19,95,15,15.79,44,46.32,36,37.89,04019
4,20,188,30,15.96,53,28.19,105,55.85,04020
4,21,170,32,18.82,53,31.18,85,50.0,04021
4,22,208,32,15.38,91,43.75,85,40.87,04022
4,23,267,32,11.99,98,36.7,137,51.31,04023
4,24,175,28,16.0,75,42.86,72,41.14,04024
4,25,253,41,16.21,73,28.85,139,54.94,04025
4,26,158,28,17.72,67,42.41,63,39.87,04026
4,27,254,38,14.96,103,40.55,113,44.49,04027
4,28,147,20,13.61,58,39.46,69,46.94,04028
4,29,193,27,13.99,104,53.89,62,32.12,04029
4,30,193,26,13.47,105,54.4,62,32.12,04030
4,31,297,21,7.07,152,51.18,124,41.75,04031
4,32,214,33,15.42,123,57.48,58,27.1,04032
4,33,167,15,8.98,63,37.72,89,53.29,04033
4,34,170,24,14.12,94,55.29,52,30.59,04034
4,35,254,34,13.39,131,51.57,89,35.04,04035
4,36,265,35,13.21,135,50.94,95,35.85,04036
4,37,325,53,16.31,94,28.92,178,54.77,04037
4,38,249,28,11.24,123,49.4,98,39.36,04038
5,1,119,18,15.13,60,50.42,41,34.45,05001
5,2,97,10,10.31,45,46.39,42,43.3,05002
5,3,180,24,13.33,50,27.78,106,58.89,05003
5,4,232,22,9.48,103,44.4,107,46.12,05004
5,5,138,31,22.46,46,33.33,61,44.2,05005
5,6,130,22,16.92,56,43.08,52,40.0,05006
5,7,185,20,10.81,84,45.41,81,43.78,05007
5,8,219,44,20.09,54,24.66,121,55.25,05008
5,9,255,39,15.29,113,44.31,103,40.39,05009
5,10,103,16,15.53,51,49.51,36,34.95,05010
5,11,219,40,18.26,81,36.99,98,44.75,05011
5,12,83,10,12.05,38,45.78,35,42.17,05012
5,13,131,15,11.45,63,48.09,53,40.46,05013
5,14,207,18,8.7,121,58.45,68,32.85,05014
5,15,167,25,14.97,75,44.91,67,40.12,05015
5,16,153,20,13.07,75,49.02,58,37.91,05016
5,17,106,17,16.04,52,49.06,37,34.91,05017
5,18,176,17,9.66,70,39.77,89,50.57,05018
5,19,211,33,15.64,57,27.01,121,57.35,05019
5,20,290,32,11.03,119,41.03,139,47.93,05020
5,21,183,24,13.11,65,35.52,94,51.37,05021
5,22,324,49,15.12,126,38.89,149,45.99,05022
5,23,336,52,15.48,111,33.04,173,51.49,05023
5,24,222,33,14.86,71,31.98,118,53.15,05024
5,25,184,20,10.87,121,65.76,43,23.37,05025
5,26,160,16,10.0,84,52.5,60,37.5,05026
5,27,158,24,15.19,20,12.66,114,72.15,05027
5,28,199,23,11.56,123,61.81,53,26.63,05028
5,29,176,33,18.75,78,44.32,65,36.93,05029
5,30,88,5,5.68,47,53.41,36,40.91,05030
5,31,100,12,12.0,51,51.0,37,37.0,05031
5,32,221,26,11.76,111,50.23,84,38.01,05032
5,33,189,34,17.99,80,42.33,75,39.68,05033
5,34,226,36,15.93,56,24.78,134,59.29,05034
5,35,271,41,15.13,82,30.26,148,54.61,05035
5,36,63,14,22.22,26,41.27,23,36.51,05036
5,37,251,37,14.74,65,25.9,149,59.36,05037
5,38,141,22,15.6,61,43.26,58,41.13,05038
5,39,192,34,17.71,40,20.83,118,61.46,05039
5,40,132,11,8.33,67,50.76,54,40.91,05040
5,41,162,22,13.58,79,48.77,61,37.65,05041
6,1,170,23,13.53,78,45.88,69,40.59,06001
6,2,195,16,8.21,98,50.26,81,41.54,06002
6,3,144,26,18.06,63,43.75,55,38.19,06003
6,4,78,8,10.26,29,37.18,41,52.56,06004
6,5,77,9,11.69,38,49.35,30,38.96,06005
6,6,159,20,12.58,76,47.8,63,39.62,06006
6,7,91,16,17.58,39,42.86,36,39.56,06007
6,8,180,31,17.22,80,44.44,69,38.33,06008
6,9,94,15,15.96,40,42.55,39,41.49,06009
6,10,61,9,14.75,29,47.54,23,37.7,06010
6,11,104,14,13.46,45,43.27,45,43.27,06011
6,12,60,8,13.33,29,48.33,23,38.33,06012
6,13,127,21,16.54,56,44.09,50,39.37,06013
6,14,137,9,6.57,76,55.47,52,37.96,06014
6,15,74,17,22.97,29,39.19,28,37.84,06015
6,16,158,21,13.29,77,48.73,60,37.97,06016
6,17,66,10,15.15,30,45.45,26,39.39,06017
6,18,84,11,13.1,39,46.43,34,40.48,06018
6,19,80,11,13.75,28,35.0,41,51.25,06019
6,20,75,7,9.33,36,48.0,32,42.67,06020
6,21,46,6,13.04,20,43.48,20,43.48,06021
6,22,58,4,6.9,33,56.9,21,36.21,06022
6,23,50,10,20.0,17,34.0,23,46.0,06023
6,24,55,6,10.91,23,41.82,26,47.27,06024
6,25,59,5,8.47,28,47.46,26,44.07,06025
6,26,63,7,11.11,29,46.03,27,42.86,06026
6,27,60,8,13.33,27,45.0,25,41.67,06027
6,28,40,3,7.5,16,40.0,21,52.5,06028
6,29,184,15,8.15,99,53.8,70,38.04,06029
6,30,85,15,17.65,34,40.0,36,42.35,06030
6,31,167,27,16.17,92,55.09,48,28.74,06031
6,32,131,21,16.03,60,45.8,50,38.17,06032
6,33,145,25,17.24,71,48.97,49,33.79,06033
6,34,135,14,10.37,61,45.19,60,44.44,06034
6,35,162,25,15.43,75,46.3,62,38.27,06035
6,36,195,17,8.72,103,52.82,75,38.46,06036
6,37,215,32,14.88,100,46.51,83,38.6,06037
6,38,171,20,11.7,91,53.22,60,35.09,06038
6,39,111,10,9.01,56,50.45,45,40.54,06039
6,40,108,7,6.48,48,44.44,53,49.07,06040
6,41,157,23,14.65,73,46.5,61,38.85,06041
6,42,122,16,13.11,57,46.72,49,40.16,06042
6,43,125,9,7.2,67,53.6,49,39.2,06043
6,44,132,12,9.09,69,52.27,51,38.64,06044
6,45,152,15,9.87,81,53.29,56,36.84,06045
6,46,107,10,9.35,53,49.53,44,41.12,06046
6,47,111,23,20.72,48,43.24,40,36.04,06047
6,48,114,13,11.4,46,40.35,55,48.25,06048
7,1,90,9,10.0,44,48.89,37,41.11,07001
7,2,100,15,15.0,44,44.0,41,41.0,07002
7,3,128,9,7.03,70,54.69,49,38.28,07003
7,4,120,13,10.83,67,55.83,40,33.33,07004
