ward,precinct,total,"Russell """"Russ"""" Hartigan","Russell """"Russ"""" Hartigan Percent",Dominique C. Ross,Dominique C. Ross Percent,Debra B. Walker,Debra B. Walker Percent,precinct_id
12,16,38,10,26.32,17,44.74,11,28.95,12016
12,17,75,21,28.0,23,30.67,31,41.33,12017
12,18,48,7,14.58,16,33.33,25,52.08,12018
12,19,88,21,23.86,28,31.82,39,44.32,12019
12,20,79,20,25.32,27,34.18,32,40.51,12020
12,21,100,18,18.0,40,40.0,42,42.0,12021
12,22,69,7,10.14,23,33.33,39,56.52,12022
12,23,123,33,26.83,45,36.59,45,36.59,12023
13,1,87,33,37.93,27,31.03,27,31.03,13001
13,2,75,27,36.0,27,36.0,21,28.0,13002
13,3,38,11,28.95,9,23.68,18,47.37,13003
13,4,81,40,49.38,20,24.69,21,25.93,13004
13,5,61,19,31.15,19,31.15,23,37.7,13005
13,6,94,36,38.3,33,35.11,25,26.6,13006
13,7,44,14,31.82,15,34.09,15,34.09,13007
13,8,56,26,46.43,15,26.79,15,26.79,13008
13,9,63,13,20.63,26,41.27,24,38.1,13009
13,10,84,35,41.67,21,25.0,28,33.33,13010
13,11,94,34,36.17,32,34.04,28,29.79,13011
13,12,67,20,29.85,21,31.34,26,38.81,13012
13,13,77,26,33.77,28,36.36,23,29.87,13013
13,14,79,18,22.78,30,37.97,31,39.24,13014
13,15,83,30,36.14,35,42.17,18,21.69,13015
13,16,40,17,42.5,14,35.0,9,22.5,13016
13,17,81,24,29.63,33,40.74,24,29.63,13017
13,18,70,25,35.71,14,20.0,31,44.29,13018
13,19,63,16,25.4,21,33.33,26,41.27,13019
13,20,47,26,55.32,8,17.02,13,27.66,13020
13,21,105,45,42.86,25,23.81,35,33.33,13021
13,22,91,40,43.96,16,17.58,35,38.46,13022
13,23,59,20,33.9,26,44.07,13,22.03,13023
13,24,71,19,26.76,27,38.03,25,35.21,13024
13,25,56,14,25.0,24,42.86,18,32.14,13025
13,26,84,37,44.05,23,27.38,24,28.57,13026
13,27,76,25,32.89,35,46.05,16,21.05,13027
13,28,57,23,40.35,11,19.3,23,40.35,13028
13,29,47,17,36.17,19,40.43,11,23.4,13029
13,30,35,13,37.14,17,48.57,5,14.29,13030
13,31,102,39,38.24,29,28.43,34,33.33,13031
13,32,73,26,35.62,23,31.51,24,32.88,13032
13,33,99,45,45.45,30,30.3,24,24.24,13033
13,34,71,26,36.62,27,38.03,18,25.35,13034
13,35,63,20,31.75,23,36.51,20,31.75,13035
13,36,30,9,30.0,11,36.67,10,33.33,13036
13,37,139,30,21.58,44,31.65,65,46.76,13037
13,38,60,32,53.33,9,15.0,19,31.67,13038
13,39,73,21,28.77,30,41.1,22,30.14,13039
13,40,45,14,31.11,21,46.67,10,22.22,13040
13,41,83,24,28.92,37,44.58,22,26.51,13041
13,42,103,40,38.83,29,28.16,34,33.01,13042
13,43,85,36,42.35,17,20.0,32,37.65,13043
13,44,59,10,16.95,23,38.98,26,44.07,13044
13,45,78,28,35.9,27,34.62,23,29.49,13045
13,46,64,28,43.75,16,25.0,20,31.25,13046
13,47,84,35,41.67,31,36.9,18,21.43,13047
13,48,78,29,37.18,19,24.36,30,38.46,13048
14,1,122,55,45.08,31,25.41,36,29.51,14001
14,2,82,17,20.73,35,42.68,30,36.59,14002
14,3,48,10,20.83,12,25.0,26,54.17,14003
14,4,68,27,39.71,15,22.06,26,38.24,14004
14,5,60,13,21.67,25,41.67,22,36.67,14005
14,6,25,6,24.0,11,44.0,8,32.0,14006
14,7,76,25,32.89,24,31.58,27,35.53,14007
14,8,69,20,28.99,28,40.58,21,30.43,14008
14,9,75,35,46.67,20,26.67,20,26.67,14009
14,10,44,9,20.45,15,34.09,20,45.45,14010
14,11,25,8,32.0,6,24.0,11,44.0,14011
14,12,78,19,24.36,29,37.18,30,38.46,14012
14,13,66,22,33.33,22,33.33,22,33.33,14013
14,14,69,22,31.88,29,42.03,18,26.09,14014
14,15,47,10,21.28,14,29.79,23,48.94,14015
14,16,57,15,26.32,15,26.32,27,47.37,14016
14,17,35,0,0.0,18,51.43,17,48.57,14017
14,18,34,12,35.29,6,17.65,16,47.06,14018
14,19,63,13,20.63,27,42.86,23,36.51,14019
14,20,52,15,28.85,15,28.85,22,42.31,14020
14,21,42,8,19.05,12,28.57,22,52.38,14021
14,22,91,28,30.77,25,27.47,38,41.76,14022
14,23,63,23,36.51,18,28.57,22,34.92,14023
14,24,101,45,44.55,22,21.78,34,33.66,14024
14,25,32,10,31.25,5,15.63,17,53.13,14025
14,26,56,15,26.79,23,41.07,18,32.14,14026
14,27,64,16,25.0,26,40.63,22,34.38,14027
14,28,44,14,31.82,15,34.09,15,34.09,14028
14,29,45,13,28.89,12,26.67,20,44.44,14029
14,30,39,7,17.95,16,41.03,16,41.03,14030
14,31,41,8,19.51,16,39.02,17,41.46,14031
15,1,73,23,31.51,24,32.88,26,35.62,15001
15,2,59,6,10.17,30,50.85,23,38.98,15002
15,3,66,13,19.7,26,39.39,27,40.91,15003
15,4,47,15,31.91,19,40.43,13,27.66,15004
15,5,46,10,21.74,17,36.96,19,41.3,15005
15,6,53,10,18.87,17,32.08,26,49.06,15006
15,7,47,5,10.64,16,34.04,26,55.32,15007
15,8,55,18,32.73,11,20.0,26,47.27,15008
15,9,71,27,38.03,20,28.17,24,33.8,15009
15,10,114,26,22.81,39,34.21,49,42.98,15010
15,11,71,18,25.35,22,30.99,31,43.66,15011
15,12,64,15,23.44,26,40.63,23,35.94,15012
15,13,69,13,18.84,30,43.48,26,37.68,15013
15,14,41,10,24.39,13,31.71,18,43.9,15014
15,15,48,8,16.67,21,43.75,19,39.58,15015
15,16,62,10,16.13,23,37.1,29,46.77,15016
15,17,74,14,18.92,33,44.59,27,36.49,15017
15,18,48,6,12.5,19,39.58,23,47.92,15018
15,19,78,19,24.36,18,23.08,41,52.56,15019
15,20,67,7,10.45,26,38.81,34,50.75,15020
15,21,55,10,18.18,14,25.45,31,56.36,15021
15,22,71,7,9.86,36,50.7,28,39.44,15022
15,23,85,5,5.88,37,43.53,43,50.59,15023
15,24,42,4,9.52,17,40.48,21,50.0,15024
16,1,79,24,30.38,24,30.38,31,39.24,16001
16,2,79,13,16.46,32,40.51,34,43.04,16002
16,3,62,11,17.74,22,35.48,29,46.77,16003
16,4,66,10,15.15,31,46.97,25,37.88,16004
16,5,53,12,22.64,16,30.19,25,47.17,16005
16,6,68,11,16.18,28,41.18,29,42.65,16006
16,7,70,12,17.14,27,38.57,31,44.29,16007
16,8,44,9,20.45,15,34.09,20,45.45,16008
16,9,71,7,9.86,29,40.85,35,49.3,16009
16,10,80,13,16.25,31,38.75,36,45.0,16010
16,11,57,11,19.3,22,38.6,24,42.11,16011
16,12,42,5,11.9,19,45.24,18,42.86,16012
16,13,25,4,16.0,15,60.0,6,24.0,16013
16,14,59,6,10.17,32,54.24,21,35.59,16014
16,15,71,11,15.49,35,49.3,25,35.21,16015
16,16,86,11,12.79,39,45.35,36,41.86,16016
16,17,59,6,10.17,26,44.07,27,45.76,16017
16,18,66,13,19.7,28,42.42,25,37.88,16018
16,19,70,7,10.0,38,54.29,25,35.71,16019
16,20,57,5,8.77,32,56.14,20,35.09,16020
16,21,49,5,10.2,22,44.9,22,44.9,16021
16,22,52,10,19.23,21,40.38,21,40.38,16022
16,23,47,8,17.02,14,29.79,25,53.19,16023
16,24,36,7,19.44,16,44.44,13,36.11,16024
16,25,96,13,13.54,41,42.71,42,43.75,16025
16,26,52,7,13.46,27,51.92,18,34.62,16026
16,27,38,8,21.05,19,50.0,11,28.95,16027
16,28,85,12,14.12,29,34.12,44,51.76,16028
16,29,50,5,10.0,19,38.0,26,52.0,16029
16,30,57,9,15.79,24,42.11,24,42.11,16030
16,31,69,16,23.19,27,39.13,26,37.68,16031
16,32,63,20,31.75,20,31.75,23,36.51,16032
16,33,58,10,17.24,19,32.76,29,50.0,16033
16,34,69,12,17.39,22,31.88,35,50.72,16034
16,35,55,6,10.91,30,54.55,19,34.55,16035
16,36,44,1,2.27,14,31.82,29,65.91,16036
17,1,63,19,30.16,21,33.33,23,36.51,17001
17,2,90,11,12.22,35,38.89,44,48.89,17002
17,3,106,20,18.87,43,40.57,43,40.57,17003
17,4,136,18,13.24,68,50.0,50,36.76,17004
17,5,85,11,12.94,37,43.53,37,43.53,17005
17,6,71,11,15.49,33,46.48,27,38.03,17006
17,7,66,8,12.12,31,46.97,27,40.91,17007
17,8,72,13,18.06,29,40.28,30,41.67,17008
17,9,84,12,14.29,40,47.62,32,38.1,17009
17,10,125,23,18.4,53,42.4,49,39.2,17010
17,11,60,9,15.0,32,53.33,19,31.67,17011
17,12,84,10,11.9,37,44.05,37,44.05,17012
17,13,79,13,16.46,32,40.51,34,43.04,17013
17,14,63,16,25.4,17,26.98,30,47.62,17014
17,15,111,13,11.71,65,58.56,33,29.73,17015
17,16,85,19,22.35,35,41.18,31,36.47,17016
17,17,89,4,4.49,50,56.18,35,39.33,17017
17,18,148,16,10.81,79,53.38,53,35.81,17018
17,19,44,7,15.91,13,29.55,24,54.55,17019
17,20,156,23,14.74,74,47.44,59,37.82,17020
17,21,168,24,14.29,71,42.26,73,43.45,17021
17,22,104,15,14.42,43,41.35,46,44.23,17022
17,23,68,9,13.24,31,45.59,28,41.18,17023
17,24,126,18,14.29,53,42.06,55,43.65,17024
17,25,79,11,13.92,31,39.24,37,46.84,17025
17,26,108,11,10.19,60,55.56,37,34.26,17026
17,27,109,16,14.68,44,40.37,49,44.95,17027
17,28,89,16,17.98,39,43.82,34,38.2,17028
17,29,114,17,14.91,44,38.6,53,46.49,17029
17,30,37,8,21.62,14,37.84,15,40.54,17030
17,31,76,9,11.84,33,43.42,34,44.74,17031
17,32,56,10,17.86,14,25.0,32,57.14,17032
17,33,47,9,19.15,21,44.68,17,36.17,17033
17,34,56,6,10.71,18,32.14,32,57.14,17034
17,35,60,9,15.0,25,41.67,26,43.33,17035
17,36,97,14,14.43,44,45.36,39,40.21,17036
17,37,103,13,12.62,50,48.54,40,38.83,17037
17,38,103,12,11.65,49,47.57,42,40.78,17038
17,39,109,14,12.84,57,52.29,38,34.86,17039
17,40,151,18,11.92,80,52.98,53,35.1,17040
17,41,140,16,11.43,67,47.86,57,40.71,17041
18,1,91,23,25.27,40,43.96,28,30.77,18001
18,2,61,19,31.15,17,27.87,25,40.98,18002
18,3,75,19,25.33,30,40.0,26,34.67,18003
18,4,163,21,12.88,76,46.63,66,40.49,18004
18,5,71,8,11.27,33,46.48,30,42.25,18005
18,6,89,20,22.47,44,49.44,25,28.09,18006
18,7,99,16,16.16,47,47.47,36,36.36,18007
18,8,161,12,7.45,71,44.1,78,48.45,18008
18,9,173,25,14.45,91,52.6,57,32.95,18009
18,10,233,29,12.45,117,50.21,87,37.34,18010
18,11,92,14,15.22,44,47.83,34,36.96,18011
18,12,134,12,8.96,67,50.0,55,41.04,18012
18,13,115,14,12.17,65,56.52,36,31.3,18013
18,14,167,22,13.17,97,58.08,48,28.74,18014
18,15,106,17,16.04,45,42.45,44,41.51,18015
18,16,137,13,9.49,74,54.01,50,36.5,18016
18,17,93,15,16.13,52,55.91,26,27.96,18017
18,18,169,28,16.57,80,47.34,61,36.09,18018
18,19,140,19,13.57,76,54.29,45,32.14,18019
18,20,95,14,14.74,48,50.53,33,34.74,18020
18,21,186,28,15.05,98,52.69,60,32.26,18021
18,22,172,18,10.47,86,50.0,68,39.53,18022
18,23,111,11,9.91,55,49.55,45,40.54,18023
18,24,58,16,27.59,22,37.93,20,34.48,18024
18,25,85,24,28.24,22,25.88,39,45.88,18025
18,26,205,24,11.71,117,57.07,64,31.22,18026
18,27,96,9,9.38,52,54.17,35,36.46,18027
18,28,91,26,28.57,28,30.77,37,40.66,18028
18,29,120,13,10.83,60,50.0,47,39.17,18029
18,30,76,25,32.89,26,34.21,25,32.89,18030
18,31,126,12,9.52,69,54.76,45,35.71,18031
18,32,150,12,8.0,87,58.0,51,34.0,18032
18,33,84,10,11.9,34,40.48,40,47.62,18033
18,34,201,18,8.96,106,52.74,77,38.31,18034
18,35,174,15,8.62,107,61.49,52,29.89,18035
18,36,85,18,21.18,40,47.06,27,31.76,18036
18,37,193,20,10.36,112,58.03,61,31.61,18037
18,38,118,22,18.64,58,49.15,38,32.2,18038
18,39,79,12,15.19,32,40.51,35,44.3,18039
18,40,116,19,16.38,46,39.66,51,43.97,18040
18,41,185,23,12.43,95,51.35,67,36.22,18041
18,42,87,8,9.2,39,44.83,40,45.98,18042
18,43,54,18,33.33,19,35.19,17,31.48,18043
18,44,70,18,25.71,39,55.71,13,18.57,18044
18,45,78,15,19.23,34,43.59,29,37.18,18045
18,46,85,20,23.53,40,47.06,25,29.41,18046
18,47,79,11,13.92,32,40.51,36,45.57,18047
18,48,69,12,17.39,41,59.42,16,23.19,18048
18,49,66,7,10.61,44,66.67,15,22.73,18049
18,50,74,12,16.22,36,48.65,26,35.14,18050
19,1,113,53,46.9,27,23.89,33,29.2,19001
19,2,287,56,19.51,117,40.77,114,39.72,19002
19,3,57,28,49.12,16,28.07,13,22.81,19003
19,4,118,60,50.85,34,28.81,24,20.34,19004
19,5,215,57,26.51,79,36.74,79,36.74,19005
19,6,108,52,48.15,26,24.07,30,27.78,19006
19,7,133,50,37.59,40,30.08,43,32.33,19007
19,8,82,35,42.68,26,31.71,21,25.61,19008
19,9,95,37,38.95,27,28.42,31,32.63,19009
19,10,256,70,27.34,75,29.3,111,43.36,19010
19,11,99,48,48.48,30,30.3,21,21.21,19011
19,12,74,46,62.16,12,16.22,16,21.62,19012
19,13,224,22,9.82,112,50.0,90,40.18,19013
19,14,187,47,25.13,60,32.09,80,42.78,19014
19,15,113,50,44.25,30,26.55,33,29.2,19015
19,16,126,60,47.62,27,21.43,39,30.95,19016
19,17,126,58,46.03,36,28.57,32,25.4,19017
19,18,218,73,33.49,61,27.98,84,38.53,19018
19,19,286,83,29.02,81,28.32,122,42.66,19019
19,20,173,43,24.86,63,36.42,67,38.73,19020
19,21,92,48,52.17,18,19.57,26,28.26,19021
19,22,202,60,29.7,72,35.64,70,34.65,19022
19,23,158,84,53.16,31,19.62,43,27.22,19023
19,24,65,38,58.46,7,10.77,20,30.77,19024
19,25,173,71,41.04,39,22.54,63,36.42,19025
19,26,169,62,36.69,45,26.63,62,36.69,19026
19,27,183,32,17.49,76,41.53,75,40.98,19027
19,28,210,28,13.33,105,50.0,77,36.67,19028
19,29,94,36,38.3,18,19.15,40,42.55,19029
19,30,86,36,41.86,21,24.42,29,33.72,19030
19,31,158,44,27.85,30,18.99,84,53.16,19031
19,32,123,48,39.02,32,26.02,43,34.96,19032
19,33,91,45,49.45,19,20.88,27,29.67,19033
19,34,148,61,41.22,34,22.97,53,35.81,19034
19,35,180,62,34.44,52,28.89,66,36.67,19035
19,36,217,39,17.97,83,38.25,95,43.78,19036
19,37,214,49,22.9,67,31.31,98,45.79,19037
19,38,179,24,13.41,89,49.72,66,36.87,19038
19,39,40,6,15.0,17,42.5,17,42.5,19039
19,40,196,50,25.51,65,33.16,81,41.33,19040
19,41,82,33,40.24,25,30.49,24,29.27,19041
19,42,147,22,14.97,56,38.1,69,46.94,19042
19,43,213,34,15.96,74,34.74,105,49.3,19043
19,44,103,53,51.46,24,23.3,26,25.24,19044
19,45,118,53,44.92,34,28.81,31,26.27,19045
19,46,133,56,42.11,36,27.07,41,30.83,19046
19,47,291,57,19.59,140,48.11,94,32.3,19047
19,48,170,23,13.53,79,46.47,68,40.0,19048
19,49,247,32,12.96,109,44.13,106,42.91,19049
19,50,113,44,38.94,48,42.48,21,18.58,19050
19,51,174,81,46.55,44,25.29,49,28.16,19051
19,52,112,49,43.75,40,35.71,23,20.54,19052
19,53,121,45,37.19,36,29.75,40,33.06,19053
19,54,66,32,48.48,18,27.27,16,24.24,19054
19,55,67,38,56.72,13,19.4,16,23.88,19055
19,56,221,76,34.39,69,31.22,76,34.39,19056
19,57,168,32,19.05,61,36.31,75,44.64,19057
20,1,140,18,12.86,66,47.14,56,40.0,20001
20,2,25,1,4.0,17,68.0,7,28.0,20002
20,3,119,28,23.53,56,47.06,35,29.41,20003
20,4,38,5,13.16,17,44.74,16,42.11,20004
20,5,113,15,13.27,55,48.67,43,38.05,20005
20,6,41,6,14.63,21,51.22,14,34.15,20006
20,7,94,11,11.7,45,47.87,38,40.43,20007
20,8,102,13,12.75,48,47.06,41,40.2,20008
20,9,177,25,14.12,89,50.28,63,35.59,20009
20,10,63,4,6.35,31,49.21,28,44.44,20010
20,11,102,10,9.8,58,56.86,34,33.33,20011
20,12,58,8,13.79,34,58.62,16,27.59,20012
20,13,113,14,12.39,59,52.21,40,35.4,20013
20,14,69,15,21.74,27,39.13,27,39.13,20014
20,15,62,17,27.42,18,29.03,27,43.55,20015
20,16,151,17,11.26,68,45.03,66,43.71,20016
20,17,53,8,15.09,24,45.28,21,39.62,20017
20,18,78,14,17.95,38,48.72,26,33.33,20018
20,19,80,9,11.25,38,47.5,33,41.25,20019
20,20,50,6,12.0,19,38.0,25,50.0,20020
20,21,74,11,14.86,22,29.73,41,55.41,20021
20,22,196,24,12.24,102,52.04,70,35.71,20022
20,23,84,10,11.9,45,53.57,29,34.52,20023
20,24,138,18,13.04,57,41.3,63,45.65,20024
20,25,84,7,8.33,43,51.19,34,40.48,20025
20,26,140,10,7.14,74,52.86,56,40.0,20026
20,27,70,8,11.43,39,55.71,23,32.86,20027
20,28,63,9,14.29,23,36.51,31,49.21,20028
20,29,138,23,16.67,68,49.28,47,34.06,20029
20,30,53,11,20.75,26,49.06,16,30.19,20030
20,31,124,20,16.13,66,53.23,38,30.65,20031
20,32,76,16,21.05,34,44.74,26,34.21,20032
20,33,63,14,22.22,28,44.44,21,33.33,20033
20,34,134,19,14.18,58,43.28,57,42.54,20034
20,35,37,2,5.41,17,45.95,18,48.65,20035
20,36,36,8,22.22,17,47.22,11,30.56,20036
20,37,33,4,12.12,16,48.48,13,39.39,20037
20,38,28,2,7.14,10,35.71,16,57.14,20038
20,39,4,0,0.0,2,50.0,2,50.0,20039
21,1,156,12,7.69,86,55.13,58,37.18,21001
21,2,64,9,14.06,33,51.56,22,34.38,21002
21,3,168,17,10.12,83,49.4,68,40.48,21003
21,4,125,13,10.4,68,54.4,44,35.2,21004
21,5,157,11,7.01,77,49.04,69,43.95,21005
21,6,98,6,6.12,48,48.98,44,44.9,21006
21,7,172,21,12.21,82,47.67,69,40.12,21007
21,8,150,17,11.33,75,50.0,58,38.67,21008
21,9,158,16,10.13,74,46.84,68,43.04,21009
21,10,131,13,9.92,61,46.56,57,43.51,21010
21,11,121,12,9.92,67,55.37,42,34.71,21011
21,12,97,13,13.4,44,45.36,40,41.24,21012
21,13,107,15,14.02,43,40.19,49,45.79,21013
21,14,153,13,8.5,72,47.06,68,44.44,21014
21,15,110,10,9.09,43,39.09,57,51.82,21015
21,16,100,10,10.0,61,61.0,29,29.0,21016
21,17,101,15,14.85,54,53.47,32,31.68,21017
21,18,163,28,17.18,75,46.01,60,36.81,21018
21,19,148,12,8.11,81,54.73,55,37.16,21019
21,20,137,18,13.14,58,42.34,61,44.53,21020
21,21,127,19,14.96,62,48.82,46,36.22,21021
21,22,125,17,13.6,74,59.2,34,27.2,21022
21,23,134,17,12.69,81,60.45,36,26.87,21023
21,24,155,20,12.9,94,60.65,41,26.45,21024
21,25,136,19,13.97,61,44.85,56,41.18,21025
21,26,78,6,7.69,44,56.41,28,35.9,21026
21,27,132,10,7.58,77,58.33,45,34.09,21027
21,28,137,18,13.14,61,44.53,58,42.34,21028
21,29,144,16,11.11,74,51.39,54,37.5,21029
21,30,100,7,7.0,45,45.0,48,48.0,21030
21,31,132,12,9.09,77,58.33,43,32.58,21031
21,32,113,15,13.27,60,53.1,38,33.63,21032
21,33,101,15,14.85,51,50.5,35,34.65,21033
21,34,103,13,12.62,51,49.51,39,37.86,21034
21,35,157,19,12.1,80,50.96,58,36.94,21035
21,36,122,14,11.48,58,47.54,50,40.98,21036
21,37,112,15,13.39,62,55.36,35,31.25,21037
21,38,95,10,10.53,47,49.47,38,40.0,21038
21,39,79,16,20.25,33,41.77,30,37.97,21039
21,40,122,14,11.48,72,59.02,36,29.51,21040
21,41,158,15,9.49,93,58.86,50,31.65,21041
21,42,137,19,13.87,69,50.36,49,35.77,21042
21,43,137,13,9.49,71,51.82,53,38.69,21043
21,44,138,10,7.25,69,50.0,59,42.75,21044
21,45,118,7,5.93,64,54.24,47,39.83,21045
21,46,132,17,12.88,61,46.21,54,40.91,21046
21,47,98,10,10.2,47,47.96,41,41.84,21047
21,48,132,18,13.64,62,46.97,52,39.39,21048
21,49,158,19,12.03,77,48.73,62,39.24,21049
21,50,103,14,13.59,50,48.54,39,37.86,21050
21,51,149,21,14.09,68,45.64,60,40.27,21051
21,52,144,17,11.81,66,45.83,61,42.36,21052
21,53,104,9,8.65,67,64.42,28,26.92,21053
21,54,110,16,14.55,50,45.45,44,40.0,21054
22,1,54,6,11.11,22,40.74,26,48.15,22001
22,2,97,38,39.18,42,43.3,17,17.53,22002
22,3,105,15,14.29,57,54.29,33,31.43,22003
22,4,45,8,17.78,23,51.11,14,31.11,22004
22,5,66,11,16.67,35,53.03,20,30.3,22005
22,6,61,9,14.75,38,62.3,14,22.95,22006
22,7,69,15,21.74,28,40.58,26,37.68,22007
22,8,108,30,27.78,33,30.56,45,41.67,22008
22,9,58,13,22.41,23,39.66,22,37.93,22009
22,10,109,18,16.51,58,53.21,33,30.28,22010
22,11,42,11,26.19,19,45.24,12,28.57,22011
22,12,72,21,29.17,24,33.33,27,37.5,22012
22,13,59,16,27.12,23,38.98,20,33.9,22013
22,14,73,8,10.96,34,46.58,31,42.47,22014
22,15,49,10,20.41,18,36.73,21,42.86,22015
22,16,53,10,18.87,18,33.96,25,47.17,22016
22,17,88,17,19.32,48,54.55,23,26.14,22017
22,18,53,14,26.42,25,47.17,14,26.42,22018
22,19,40,7,17.5,19,47.5,14,35.0,22019
22,20,64,17,26.56,22,34.38,25,39.06,22020
22,21,86,9,10.47,52,60.47,25,29.07,22021
22,22,43,11,25.58,19,44.19,13,30.23,22022
22,23,145,16,11.03,62,42.76,67,46.21,22023
22,24,97,26,26.8,42,43.3,29,29.9,22024
22,25,57,11,19.3,31,54.39,15,26.32,22025
23,1,72,32,44.44,24,33.33,16,22.22,23001
23,2,98,38,38.78,32,32.65,28,28.57,23002
23,3,79,33,41.77,22,27.85,24,30.38,23003
23,4,74,30,40.54,20,27.03,24,32.43,23004
23,5,56,14,25.0,11,19.64,31,55.36,23005
23,6,61,20,32.79,20,32.79,21,34.43,23006
23,7,48,20,41.67,17,35.42,11,22.92,23007
23,8,89,22,24.72,26,29.21,41,46.07,23008
23,9,37,10,27.03,17,45.95,10,27.03,23009
23,10,79,28,35.44,24,30.38,27,34.18,23010
23,11,64,20,31.25,22,34.38,22,34.38,23011
23,12,79,33,41.77,18,22.78,28,35.44,23012
23,13,50,12,24.0,17,34.0,21,42.0,23013
23,14,62,22,35.48,18,29.03,22,35.48,23014
23,15,47,13,27.66,12,25.53,22,46.81,23015
23,16,107,47,43.93,21,19.63,39,36.45,23016
23,17,36,10,27.78,16,44.44,10,27.78,23017
23,18,79,41,51.9,12,15.19,26,32.91,23018
23,19,45,9,20.0,15,33.33,21,46.67,23019
23,20,37,10,27.03,11,29.73,16,43.24,23020
23,21,86,43,50.0,16,18.6,27,31.4,23021
23,22,69,26,37.68,17,24.64,26,37.68,23022
23,23,93,30,32.26,33,35.48,30,32.26,23023
23,24,56,20,35.71,18,32.14,18,32.14,23024
23,25,56,15,26.79,15,26.79,26,46.43,23025
23,26,73,26,35.62,17,23.29,30,41.1,23026
23,27,82,36,43.9,20,24.39,26,31.71,23027
23,28,68,34,50.0,14,20.59,20,29.41,23028
23,29,68,27,39.71,19,27.94,22,32.35,23029
23,30,73,20,27.4,27,36.99,26,35.62,23030
23,31,45,9,20.0,19,42.22,17,37.78,23031
23,32,62,18,29.03,19,30.65,25,40.32,23032
23,33,62,16,25.81,21,33.87,25,40.32,23033
23,34,56,13,23.21,23,41.07,20,35.71,23034
23,35,50,23,46.0,16,32.0,11,22.0,23035
23,36,85,34,40.0,17,20.0,34,40.0,23036
23,37,113,51,45.13,33,29.2,29,25.66,23037
23,38,78,30,38.46,25,32.05,23,29.49,23038
23,39,82,32,39.02,23,28.05,27,32.93,23039
24,1,84,12,14.29,38,45.24,34,40.48,24001
24,2,65,7,10.77,23,35.38,35,53.85,24002
24,3,74,8,10.81,34,45.95,32,43.24,24003
24,4,50,10,20.0,20,40.0,20,40.0,24004
24,5,30,7,23.33,11,36.67,12,40.0,24005
24,6,83,10,12.05,40,48.19,33,39.76,24006
24,7,50,12,24.0,13,26.0,25,50.0,24007
24,8,25,4,16.0,10,40.0,11,44.0,24008
24,9,69,4,5.8,27,39.13,38,55.07,24009
24,10,63,7,11.11,20,31.75,36,57.14,24010
24,11,65,6,9.23,35,53.85,24,36.92,24011
24,12,44,5,11.36,16,36.36,23,52.27,24012
24,13,41,4,9.76,19,46.34,18,43.9,24013
24,14,43,5,11.63,16,37.21,22,51.16,24014
24,15,35,9,25.71,14,40.0,12,34.29,24015
24,16,445,80,17.98,163,36.63,202,45.39,24016
24,17,59,11,18.64,29,49.15,19,32.2,24017
24,18,91,9,9.89,59,64.84,23,25.27,24018
24,19,90,7,7.78,51,56.67,32,35.56,24019
24,20,66,6,9.09,36,54.55,24,36.36,24020
24,21,39,5,12.82,14,35.9,20,51.28,24021
24,22,106,10,9.43,48,45.28,48,45.28,24022
24,23,72,16,22.22,24,33.33,32,44.44,24023
24,24,79,10,12.66,39,49.37,30,37.97,24024
24,25,39,7,17.95,16,41.03,16,41.03,24025
24,26,168,26,15.48,73,43.45,69,41.07,24026
24,27,99,12,12.12,51,51.52,36,36.36,24027
24,28,42,4,9.52,12,28.57,26,61.9,24028
24,29,24,6,25.0,10,41.67,8,33.33,24029
24,30,44,12,27.27,19,43.18,13,29.55,24030
24,31,75,18,24.0,24,32.0,33,44.0,24031
24,32,49,8,16.33,26,53.06,15,30.61,24032
24,33,44,3,6.82,20,45.45,21,47.73,24033
24,34,62,8,12.9,30,48.39,24,38.71,24034
24,35,71,15,21.13,28,39.44,28,39.44,24035
24,36,125,24,19.2,51,40.8,50,40.0,24036
24,37,51,9,17.65,19,37.25,23,45.1,24037
24,38,84,9,10.71,36,42.86,39,46.43,24038
24,39,112,16,14.29,49,43.75,47,41.96,24039
24,40,84,16,19.05,30,35.71,38,45.24,24040
24,41,74,7,9.46,33,44.59,34,45.95,24041
25,1,92,21,22.83,31,33.7,40,43.48,25001
25,2,151,23,15.23,53,35.1,75,49.67,25002
25,3,176,54,30.68,38,21.59,84,47.73,25003
25,4,83,10,12.05,32,38.55,41,49.4,25004
25,5,115,22,19.13,33,28.7,60,52.17,25005
25,6,38,12,31.58,13,34.21,13,34.21,25006
25,7,114,26,22.81,41,35.96,47,41.23,25007
25,8,125,27,21.6,41,32.8,57,45.6,25008
25,9,93,15,16.13,25,26.88,53,56.99,25009
25,10,142,27,19.01,38,26.76,77,54.23,25010
25,11,133,24,18.05,39,29.32,70,52.63,25011
25,12,128,31,24.22,31,24.22,66,51.56,25012
25,13,162,43,26.54,47,29.01,72,44.44,25013
25,14,89,21,23.6,20,22.47,48,53.93,25014
25,15,104,11,10.58,42,40.38,51,49.04,25015
25,16,164,34,20.73,36,21.95,94,57.32,25016
25,17,150,34,22.67,34,22.67,82,54.67,25017
25,18,53,20,37.74,14,26.42,19,35.85,25018
25,19,124,26,20.97,41,33.06,57,45.97,25019
25,20,57,9,15.79,22,38.6,26,45.61,25020
25,21,289,45,15.57,97,33.56,147,50.87,25021
