ward,precinct,total,"William """"Will"""" Davis","William """"Will"""" Davis Percent",Adam Shorter,Adam Shorter Percent,precinct_id
4,5,196,178,90.82,18,9.18,04005
4,9,304,272,89.47,32,10.53,04009
4,10,278,248,89.21,30,10.79,04010
4,15,126,111,88.1,15,11.9,04015
4,22,162,142,87.65,20,12.35,04022
4,27,202,175,86.63,27,13.37,04027
4,31,254,218,85.83,36,14.17,04031
4,34,99,88,88.89,11,11.11,04034
5,1,107,96,89.72,11,10.28,05001
5,7,163,140,85.89,23,14.11,05007
5,10,57,55,96.49,2,3.51,05010
5,11,180,141,78.33,39,21.67,05011
5,18,148,128,86.49,20,13.51,05018
5,20,243,202,83.13,41,16.87,05020
5,22,252,210,83.33,42,16.67,05022
5,23,265,223,84.15,42,15.85,05023
5,25,148,136,91.89,12,8.11,05025
5,26,148,133,89.86,15,10.14,05026
5,28,179,164,91.62,15,8.38,05028
5,29,162,139,85.8,23,14.2,05029
5,31,95,88,92.63,7,7.37,05031
5,32,201,175,87.06,26,12.94,05032
5,35,148,123,83.11,25,16.89,05035
5,36,10,8,80.0,2,20.0,05036
5,37,205,150,73.17,55,26.83,05037
5,38,137,126,91.97,11,8.03,05038
5,40,123,110,89.43,13,10.57,05040
5,41,130,102,78.46,28,21.54,05041
7,5,86,78,90.7,8,9.3,07005
7,6,161,144,89.44,17,10.56,07006
7,7,82,76,92.68,6,7.32,07007
7,8,101,86,85.15,15,14.85,07008
7,9,219,184,84.02,35,15.98,07009
7,11,97,87,89.69,10,10.31,07011
7,12,74,63,85.14,11,14.86,07012
7,13,102,87,85.29,15,14.71,07013
7,14,107,100,93.46,7,6.54,07014
7,16,81,67,82.72,14,17.28,07016
7,17,93,76,81.72,17,18.28,07017
7,18,107,90,84.11,17,15.89,07018
7,21,62,52,83.87,10,16.13,07021
7,22,93,80,86.02,13,13.98,07022
7,25,54,48,88.89,6,11.11,07025
7,31,4,3,75.0,1,25.0,07031
7,35,2,2,100.0,0,0.0,07035
7,43,57,54,94.74,3,5.26,07043
7,44,80,71,88.75,9,11.25,07044
7,45,75,64,85.33,11,14.67,07045
7,46,60,54,90.0,6,10.0,07046
9,1,118,107,90.68,11,9.32,09001
9,2,90,80,88.89,10,11.11,09002
9,3,45,38,84.44,7,15.56,09003
9,4,10,10,100.0,0,0.0,09004
9,5,143,127,88.81,16,11.19,09005
9,7,61,54,88.52,7,11.48,09007
9,8,79,72,91.14,7,8.86,09008
9,9,149,126,84.56,23,15.44,09009
9,11,32,27,84.38,5,15.63,09011
9,13,154,140,90.91,14,9.09,09013
9,14,166,146,87.95,20,12.05,09014
9,15,48,43,89.58,5,10.42,09015
9,16,23,21,91.3,2,8.7,09016
9,17,59,55,93.22,4,6.78,09017
9,22,133,127,95.49,6,4.51,09022
9,26,70,62,88.57,8,11.43,09026
9,28,43,39,90.7,4,9.3,09028
9,29,61,53,86.89,8,13.11,09029
9,31,77,65,84.42,12,15.58,09031
9,32,122,104,85.25,18,14.75,09032
9,33,74,62,83.78,12,16.22,09033
9,34,88,77,87.5,11,12.5,09034
9,35,133,123,92.48,10,7.52,09035
9,37,185,147,79.46,38,20.54,09037
9,38,98,83,84.69,15,15.31,09038
9,40,174,155,89.08,19,10.92,09040
9,41,98,92,93.88,6,6.12,09041
9,43,87,75,86.21,12,13.79,09043
9,45,83,70,84.34,13,15.66,09045
9,46,122,106,86.89,16,13.11,09046
10,1,104,88,84.62,16,15.38,10001
10,2,70,48,68.57,22,31.43,10002
10,3,76,55,72.37,21,27.63,10003
10,4,49,37,75.51,12,24.49,10004
10,5,62,46,74.19,16,25.81,10005
10,6,70,56,80.0,14,20.0,10006
10,7,38,28,73.68,10,26.32,10007
10,8,25,20,80.0,5,20.0,10008
10,9,60,29,48.33,31,51.67,10009
10,10,76,51,67.11,25,32.89,10010
10,11,74,57,77.03,17,22.97,10011
10,12,45,31,68.89,14,31.11,10012
10,13,75,49,65.33,26,34.67,10013
10,14,78,56,71.79,22,28.21,10014
10,15,124,112,90.32,12,9.68,10015
10,16,49,36,73.47,13,26.53,10016
10,17,110,74,67.27,36,32.73,10017
10,18,38,31,81.58,7,18.42,10018
10,19,57,40,70.18,17,29.82,10019
10,20,77,50,64.94,27,35.06,10020
10,21,65,42,64.62,23,35.38,10021
10,22,24,19,79.17,5,20.83,10022
10,23,67,53,79.1,14,20.9,10023
10,24,62,38,61.29,24,38.71,10024
10,25,34,33,97.06,1,2.94,10025
10,26,54,42,77.78,12,22.22,10026
10,27,52,45,86.54,7,13.46,10027
10,28,77,57,74.03,20,25.97,10028
10,29,61,47,77.05,14,22.95,10029
10,30,53,38,71.7,15,28.3,10030
10,31,46,34,73.91,12,26.09,10031
10,32,58,46,79.31,12,20.69,10032
10,33,56,40,71.43,16,28.57,10033
10,34,35,32,91.43,3,8.57,10034
10,35,94,64,68.09,30,31.91,10035
10,36,30,26,86.67,4,13.33,10036
