ward,precinct,total,Sam Kukadia,Sam Kukadia Percent,Maggie Trevor,Maggie Trevor Percent,Frank L. McPartlin,Frank L. McPartlin Percent,Heather Anne Boyle,Heather Anne Boyle Percent,precinct_id
38,2,116,50,43.1,21,18.1,8,6.9,37,31.9,38002
38,3,93,34,36.56,22,23.66,7,7.53,30,32.26,38003
38,4,101,44,43.56,23,22.77,10,9.9,24,23.76,38004
38,5,95,41,43.16,29,30.53,9,9.47,16,16.84,38005
38,6,80,24,30.0,27,33.75,8,10.0,21,26.25,38006
38,7,108,35,32.41,23,21.3,19,17.59,31,28.7,38007
38,9,145,85,58.62,25,17.24,10,6.9,25,17.24,38009
38,12,103,38,36.89,26,25.24,10,9.71,29,28.16,38012
38,13,117,47,40.17,19,16.24,16,13.68,35,29.91,38013
38,16,94,24,25.53,31,32.98,11,11.7,28,29.79,38016
38,17,125,56,44.8,29,23.2,13,10.4,27,21.6,38017
38,19,130,45,34.62,33,25.38,16,12.31,36,27.69,38019
38,20,107,46,42.99,24,22.43,9,8.41,28,26.17,38020
38,24,108,50,46.3,22,20.37,14,12.96,22,20.37,38024
38,26,42,16,38.1,15,35.71,1,2.38,10,23.81,38026
38,27,97,35,36.08,28,28.87,8,8.25,26,26.8,38027
38,28,108,57,52.78,16,14.81,8,7.41,27,25.0,38028
38,29,121,50,41.32,31,25.62,10,8.26,30,24.79,38029
38,30,97,43,44.33,11,11.34,15,15.46,28,28.87,38030
38,38,111,37,33.33,32,28.83,9,8.11,33,29.73,38038
41,1,114,36,31.58,23,20.18,18,15.79,37,32.46,41001
41,2,126,58,46.03,25,19.84,16,12.7,27,21.43,41002
41,4,136,53,38.97,33,24.26,13,9.56,37,27.21,41004
41,5,139,46,33.09,30,21.58,13,9.35,50,35.97,41005
41,7,112,35,31.25,32,28.57,17,15.18,28,25.0,41007
41,8,117,42,35.9,23,19.66,23,19.66,29,24.79,41008
41,10,176,65,36.93,34,19.32,33,18.75,44,25.0,41010
41,11,141,59,41.84,33,23.4,12,8.51,37,26.24,41011
41,15,182,74,40.66,39,21.43,20,10.99,49,26.92,41015
41,17,112,37,33.04,34,30.36,12,10.71,29,25.89,41017
41,18,106,45,42.45,14,13.21,12,11.32,35,33.02,41018
41,20,75,22,29.33,18,24.0,13,17.33,22,29.33,41020
41,22,171,64,37.43,38,22.22,15,8.77,54,31.58,41022
41,27,66,22,33.33,19,28.79,6,9.09,19,28.79,41027
41,28,16,3,18.75,4,25.0,2,12.5,7,43.75,41028
41,31,123,40,32.52,31,25.2,19,15.45,33,26.83,41031
41,37,151,62,41.06,32,21.19,20,13.25,37,24.5,41037
41,40,144,53,36.81,23,15.97,27,18.75,41,28.47,41040
41,41,108,36,33.33,32,29.63,11,10.19,29,26.85,41041
41,42,116,44,37.93,23,19.83,19,16.38,30,25.86,41042
41,43,131,59,45.04,29,22.14,9,6.87,34,25.95,41043
41,44,122,42,34.43,25,20.49,17,13.93,38,31.15,41044
41,46,147,51,34.69,36,24.49,14,9.52,46,31.29,41046
