ward,precinct,total,"Basileios """"Bill"""" John Foutris","Basileios """"Bill"""" John Foutris Percent",Torrick Alan Ward,Torrick Alan Ward Percent,Barry Goldberg,Barry Goldberg Percent,Don R. Sampen,Don R. Sampen Percent,precinct_id
39,13,6,1,16.67,3,50.0,2,33.33,0,0.0,39013
39,18,16,5,31.25,3,18.75,6,37.5,2,12.5,39018
39,32,72,10,13.89,9,12.5,39,54.17,14,19.44,39032
39,36,10,1,10.0,1,10.0,6,60.0,2,20.0,39036
40,9,107,17,15.89,36,33.64,37,34.58,17,15.89,40009
40,10,24,5,20.83,7,29.17,11,45.83,1,4.17,40010
40,18,75,14,18.67,22,29.33,27,36.0,12,16.0,40018
40,27,203,50,24.63,60,29.56,52,25.62,41,20.2,40027
40,28,142,22,15.49,62,43.66,24,16.9,34,23.94,40028
40,35,65,18,27.69,5,7.69,28,43.08,14,21.54,40035
40,37,157,42,26.75,47,29.94,32,20.38,36,22.93,40037
41,6,71,12,16.9,11,15.49,31,43.66,17,23.94,41006
41,9,104,24,23.08,13,12.5,34,32.69,33,31.73,41009
41,14,64,12,18.75,9,14.06,21,32.81,22,34.38,41014
41,19,154,34,22.08,24,15.58,63,40.91,33,21.43,41019
41,47,76,15,19.74,15,19.74,24,31.58,22,28.95,41047
48,13,248,34,13.71,50,20.16,86,34.68,78,31.45,48013
48,15,93,22,23.66,28,30.11,24,25.81,19,20.43,48015
48,22,185,47,25.41,33,17.84,52,28.11,53,28.65,48022
48,27,67,12,17.91,26,38.81,12,17.91,17,25.37,48027
48,31,87,16,18.39,30,34.48,21,24.14,20,22.99,48031
48,32,111,31,27.93,22,19.82,33,29.73,25,22.52,48032
48,33,121,20,16.53,19,15.7,49,40.5,33,27.27,48033
48,46,135,34,25.19,40,29.63,35,25.93,26,19.26,48046
49,1,106,19,17.92,45,42.45,24,22.64,18,16.98,49001
49,3,223,27,12.11,93,41.7,41,18.39,62,27.8,49003
49,4,220,29,13.18,108,49.09,38,17.27,45,20.45,49004
49,5,192,26,13.54,71,36.98,59,30.73,36,18.75,49005
49,6,153,31,20.26,50,32.68,33,21.57,39,25.49,49006
49,7,150,28,18.67,36,24.0,40,26.67,46,30.67,49007
49,8,136,12,8.82,37,27.21,44,32.35,43,31.62,49008
49,9,194,38,19.59,82,42.27,34,17.53,40,20.62,49009
49,10,198,23,11.62,90,45.45,48,24.24,37,18.69,49010
49,11,216,35,16.2,93,43.06,49,22.69,39,18.06,49011
49,12,203,20,9.85,76,37.44,38,18.72,69,33.99,49012
49,13,222,30,13.51,119,53.6,44,19.82,29,13.06,49013
49,14,119,21,17.65,47,39.5,26,21.85,25,21.01,49014
49,15,130,27,20.77,57,43.85,19,14.62,27,20.77,49015
49,16,174,39,22.41,45,25.86,51,29.31,39,22.41,49016
49,18,230,24,10.43,110,47.83,46,20.0,50,21.74,49018
49,19,130,27,20.77,51,39.23,30,23.08,22,16.92,49019
49,20,284,39,13.73,121,42.61,55,19.37,69,24.3,49020
49,21,80,11,13.75,19,23.75,25,31.25,25,31.25,49021
49,22,196,19,9.69,81,41.33,45,22.96,51,26.02,49022
49,23,208,35,16.83,87,41.83,47,22.6,39,18.75,49023
49,24,110,24,21.82,43,39.09,28,25.45,15,13.64,49024
49,25,222,39,17.57,103,46.4,36,16.22,44,19.82,49025
49,26,204,31,15.2,94,46.08,41,20.1,38,18.63,49026
49,27,147,20,13.61,74,50.34,23,15.65,30,20.41,49027
49,28,268,47,17.54,115,42.91,37,13.81,69,25.75,49028
49,29,219,29,13.24,96,43.84,55,25.11,39,17.81,49029
49,30,180,33,18.33,68,37.78,37,20.56,42,23.33,49030
49,31,110,14,12.73,42,38.18,24,21.82,30,27.27,49031
49,32,182,41,22.53,66,36.26,44,24.18,31,17.03,49032
49,33,155,17,10.97,83,53.55,33,21.29,22,14.19,49033
50,1,172,9,5.23,18,10.47,126,73.26,19,11.05,50001
50,2,94,10,10.64,12,12.77,64,68.09,8,8.51,50002
50,3,163,15,9.2,22,13.5,95,58.28,31,19.02,50003
50,4,170,20,11.76,24,14.12,93,54.71,33,19.41,50004
50,5,129,5,3.88,13,10.08,90,69.77,21,16.28,50005
50,6,154,16,10.39,31,20.13,69,44.81,38,24.68,50006
50,7,207,24,11.59,66,31.88,48,23.19,69,33.33,50007
50,8,118,15,12.71,52,44.07,26,22.03,25,21.19,50008
50,9,118,13,11.02,28,23.73,48,40.68,29,24.58,50009
50,10,125,7,5.6,17,13.6,88,70.4,13,10.4,50010
50,11,138,8,5.8,8,5.8,115,83.33,7,5.07,50011
50,12,49,8,16.33,3,6.12,28,57.14,10,20.41,50012
50,13,122,15,12.3,43,35.25,34,27.87,30,24.59,50013
50,14,51,11,21.57,7,13.73,26,50.98,7,13.73,50014
50,15,211,34,16.11,54,25.59,51,24.17,72,34.12,50015
50,16,59,1,1.69,2,3.39,51,86.44,5,8.47,50016
50,17,100,21,21.0,28,28.0,38,38.0,13,13.0,50017
50,18,33,1,3.03,2,6.06,29,87.88,1,3.03,50018
50,19,79,16,20.25,23,29.11,22,27.85,18,22.78,50019
50,20,149,18,12.08,39,26.17,59,39.6,33,22.15,50020
50,21,133,18,13.53,33,24.81,54,40.6,28,21.05,50021
50,22,116,10,8.62,19,16.38,74,63.79,13,11.21,50022
50,24,69,12,17.39,6,8.7,43,62.32,8,11.59,50024
50,25,104,22,21.15,30,28.85,44,42.31,8,7.69,50025
50,26,75,16,21.33,24,32.0,28,37.33,7,9.33,50026
50,27,44,10,22.73,4,9.09,23,52.27,7,15.91,50027
50,28,117,28,23.93,33,28.21,42,35.9,14,11.97,50028
50,29,61,11,18.03,21,34.43,22,36.07,7,11.48,50029
50,30,77,15,19.48,21,27.27,23,29.87,18,23.38,50030
50,31,93,24,25.81,28,30.11,25,26.88,16,17.2,50031
50,32,106,22,20.75,35,33.02,27,25.47,22,20.75,50032
50,33,152,7,4.61,14,9.21,113,74.34,18,11.84,50033
50,34,222,25,11.26,30,13.51,128,57.66,39,17.57,50034
50,35,189,20,10.58,49,25.93,69,36.51,51,26.98,50035
50,36,180,14,7.78,55,30.56,71,39.44,40,22.22,50036
50,37,122,23,18.85,32,26.23,41,33.61,26,21.31,50037
50,38,68,6,8.82,6,8.82,46,67.65,10,14.71,50038
50,39,73,6,8.22,14,19.18,46,63.01,7,9.59,50039
50,40,185,17,9.19,12,6.49,140,75.68,16,8.65,50040
