ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",Bobby L. Rush,Bobby L. Rush Percent,Anthony Hargrove,Anthony Hargrove Percent,Lamont J. Robinson,Lamont J. Robinson Percent,precinct_id
3,2,284,30,10.56,155,54.58,6,2.11,93,32.75,03002
3,4,140,26,18.57,83,59.29,7,5.0,24,17.14,03004
3,6,191,25,13.09,77,40.31,23,12.04,66,34.55,03006
3,7,173,25,14.45,103,59.54,5,2.89,40,23.12,03007
3,12,228,21,9.21,133,58.33,9,3.95,65,28.51,03012
3,17,18,1,5.56,13,72.22,1,5.56,3,16.67,03017
3,18,96,9,9.38,63,65.63,2,2.08,22,22.92,03018
3,19,105,14,13.33,51,48.57,10,9.52,30,28.57,03019
3,23,124,11,8.87,82,66.13,6,4.84,25,20.16,03023
3,27,213,33,15.49,94,44.13,23,10.8,63,29.58,03027
3,29,56,3,5.36,34,60.71,0,0.0,19,33.93,03029
3,30,78,12,15.38,52,66.67,2,2.56,12,15.38,03030
3,31,37,4,10.81,30,81.08,1,2.7,2,5.41,03031
3,35,96,10,10.42,52,54.17,1,1.04,33,34.38,03035
3,38,199,26,13.07,120,60.3,10,5.03,43,21.61,03038
3,41,189,29,15.34,117,61.9,10,5.29,33,17.46,03041
4,1,237,31,13.08,132,55.7,8,3.38,66,27.85,04001
4,3,125,8,6.4,93,74.4,9,7.2,15,12.0,04003
4,4,243,37,15.23,178,73.25,8,3.29,20,8.23,04004
4,6,318,39,12.26,225,70.75,10,3.14,44,13.84,04006
4,7,253,42,16.6,167,66.01,8,3.16,36,14.23,04007
4,8,186,28,15.05,123,66.13,4,2.15,31,16.67,04008
4,11,110,15,13.64,77,70.0,7,6.36,11,10.0,04011
4,12,215,31,14.42,131,60.93,11,5.12,42,19.53,04012
4,14,98,20,20.41,65,66.33,3,3.06,10,10.2,04014
4,15,99,16,16.16,66,66.67,3,3.03,14,14.14,04015
4,18,233,31,13.3,158,67.81,6,2.58,38,16.31,04018
4,19,113,11,9.73,95,84.07,3,2.65,4,3.54,04019
4,23,247,40,16.19,126,51.01,16,6.48,65,26.32,04023
4,24,169,22,13.02,102,60.36,13,7.69,32,18.93,04024
4,26,173,29,16.76,117,67.63,6,3.47,21,12.14,04026
4,28,160,21,13.13,111,69.38,8,5.0,20,12.5,04028
4,29,195,33,16.92,123,63.08,6,3.08,33,16.92,04029
4,30,214,26,12.15,162,75.7,3,1.4,23,10.75,04030
4,32,228,29,12.72,145,63.6,9,3.95,45,19.74,04032
4,33,176,25,14.2,104,59.09,8,4.55,39,22.16,04033
4,34,64,6,9.38,45,70.31,0,0.0,13,20.31,04034
4,35,267,45,16.85,179,67.04,10,3.75,33,12.36,04035
4,36,277,36,13.0,141,50.9,7,2.53,93,33.57,04036
4,38,257,44,17.12,157,61.09,3,1.17,53,20.62,04038
5,2,104,10,9.62,78,75.0,1,0.96,15,14.42,05002
5,3,175,18,10.29,101,57.71,8,4.57,48,27.43,05003
5,4,229,35,15.28,137,59.83,5,2.18,52,22.71,05004
5,5,152,22,14.47,113,74.34,7,4.61,10,6.58,05005
5,6,137,21,15.33,94,68.61,3,2.19,19,13.87,05006
5,8,188,30,15.96,105,55.85,11,5.85,42,22.34,05008
5,9,254,33,12.99,160,62.99,16,6.3,45,17.72,05009
5,10,45,12,26.67,30,66.67,1,2.22,2,4.44,05010
5,12,86,10,11.63,60,69.77,2,2.33,14,16.28,05012
5,13,137,22,16.06,83,60.58,6,4.38,26,18.98,05013
5,14,227,37,16.3,158,69.6,7,3.08,25,11.01,05014
5,15,178,31,17.42,106,59.55,11,6.18,30,16.85,05015
5,16,160,25,15.63,107,66.88,8,5.0,20,12.5,05016
5,17,122,15,12.3,97,79.51,2,1.64,8,6.56,05017
5,19,190,26,13.68,103,54.21,14,7.37,47,24.74,05019
5,21,174,31,17.82,93,53.45,8,4.6,42,24.14,05021
5,24,210,34,16.19,109,51.9,4,1.9,63,30.0,05024
5,25,20,2,10.0,13,65.0,0,0.0,5,25.0,05025
