ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
1,28,27,27,100.0,01028
30,3,134,134,100.0,30003
30,7,134,134,100.0,30007
30,8,180,180,100.0,30008
30,18,160,160,100.0,30018
30,22,198,198,100.0,30022
30,23,122,122,100.0,30023
30,24,202,202,100.0,30024
30,25,193,193,100.0,30025
30,28,83,83,100.0,30028
30,32,127,127,100.0,30032
32,1,177,177,100.0,32001
32,9,143,143,100.0,32009
32,10,20,20,100.0,32010
32,13,149,149,100.0,32013
32,18,92,92,100.0,32018
32,19,128,128,100.0,32019
32,24,117,117,100.0,32024
32,25,7,7,100.0,32025
32,27,121,121,100.0,32027
32,30,123,123,100.0,32030
32,37,67,67,100.0,32037
32,38,146,146,100.0,32038
32,40,0,0,0.0,32040
32,41,14,14,100.0,32041
32,42,69,69,100.0,32042
33,1,193,193,100.0,33001
33,2,207,207,100.0,33002
33,3,261,261,100.0,33003
33,4,242,242,100.0,33004
33,5,141,141,100.0,33005
33,6,139,139,100.0,33006
33,7,195,195,100.0,33007
33,8,136,136,100.0,33008
33,9,209,209,100.0,33009
33,10,147,147,100.0,33010
33,11,211,211,100.0,33011
33,12,175,175,100.0,33012
33,13,169,169,100.0,33013
33,14,87,87,100.0,33014
33,15,212,212,100.0,33015
33,16,243,243,100.0,33016
33,17,201,201,100.0,33017
33,18,228,228,100.0,33018
33,19,174,174,100.0,33019
33,20,259,259,100.0,33020
33,21,207,207,100.0,33021
33,22,184,184,100.0,33022
33,23,226,226,100.0,33023
33,25,220,220,100.0,33025
33,26,110,110,100.0,33026
33,27,170,170,100.0,33027
33,28,148,148,100.0,33028
35,1,42,42,100.0,35001
35,4,166,166,100.0,35004
35,5,78,78,100.0,35005
35,6,19,19,100.0,35006
35,9,99,99,100.0,35009
35,20,133,133,100.0,35020
35,22,170,170,100.0,35022
35,23,170,170,100.0,35023
35,24,130,130,100.0,35024
35,26,120,120,100.0,35026
35,27,141,141,100.0,35027
35,29,110,110,100.0,35029
35,30,113,113,100.0,35030
35,31,140,140,100.0,35031
39,12,134,134,100.0,39012
39,28,19,19,100.0,39028
45,1,8,8,100.0,45001
45,2,104,104,100.0,45002
47,46,26,26,100.0,47046
47,48,20,20,100.0,47048
