ward,precinct,total,Cyril Nichols,Cyril Nichols Percent,precinct_id
6,4,31,31,100.0,06004
6,5,64,64,100.0,06005
6,7,79,79,100.0,06007
6,9,7,7,100.0,06009
6,10,51,51,100.0,06010
6,11,87,87,100.0,06011
6,12,51,51,100.0,06012
6,14,115,115,100.0,06014
6,15,36,36,100.0,06015
6,18,52,52,100.0,06018
6,21,42,42,100.0,06021
6,22,52,52,100.0,06022
6,23,38,38,100.0,06023
6,24,40,40,100.0,06024
6,25,45,45,100.0,06025
6,26,54,54,100.0,06026
6,27,52,52,100.0,06027
6,28,16,16,100.0,06028
6,30,73,73,100.0,06030
6,32,86,86,100.0,06032
6,33,106,106,100.0,06033
6,39,58,58,100.0,06039
6,40,99,99,100.0,06040
6,46,54,54,100.0,06046
6,47,90,90,100.0,06047
6,48,88,88,100.0,06048
8,16,27,27,100.0,08016
8,26,82,82,100.0,08026
8,43,45,45,100.0,08043
8,54,49,49,100.0,08054
8,55,121,121,100.0,08055
16,16,67,67,100.0,16016
16,24,4,4,100.0,16024
16,29,40,40,100.0,16029
16,30,21,21,100.0,16030
17,1,52,52,100.0,17001
17,3,89,89,100.0,17003
17,5,41,41,100.0,17005
17,7,54,54,100.0,17007
17,11,53,53,100.0,17011
17,12,62,62,100.0,17012
17,13,70,70,100.0,17013
17,14,54,54,100.0,17014
17,16,58,58,100.0,17016
17,17,75,75,100.0,17017
17,19,37,37,100.0,17019
17,23,56,56,100.0,17023
17,25,8,8,100.0,17025
17,28,47,47,100.0,17028
17,30,30,30,100.0,17030
17,31,67,67,100.0,17031
17,32,52,52,100.0,17032
17,33,37,37,100.0,17033
17,34,47,47,100.0,17034
17,35,46,46,100.0,17035
17,36,62,62,100.0,17036
17,37,80,80,100.0,17037
18,1,80,80,100.0,18001
18,2,57,57,100.0,18002
18,3,67,67,100.0,18003
18,5,61,61,100.0,18005
18,6,78,78,100.0,18006
18,11,97,97,100.0,18011
18,12,50,50,100.0,18012
18,15,88,88,100.0,18015
18,17,86,86,100.0,18017
18,21,104,104,100.0,18021
18,23,107,107,100.0,18023
18,24,46,46,100.0,18024
18,25,78,78,100.0,18025
18,27,87,87,100.0,18027
18,28,69,69,100.0,18028
18,29,112,112,100.0,18029
18,30,68,68,100.0,18030
18,31,109,109,100.0,18031
18,33,74,74,100.0,18033
18,36,26,26,100.0,18036
18,39,70,70,100.0,18039
18,40,99,99,100.0,18040
18,42,77,77,100.0,18042
18,43,36,36,100.0,18043
18,44,62,62,100.0,18044
18,45,77,77,100.0,18045
18,46,76,76,100.0,18046
18,47,70,70,100.0,18047
18,48,64,64,100.0,18048
18,49,53,53,100.0,18049
18,50,72,72,100.0,18050
20,8,14,14,100.0,20008
