ward,precinct,total,Thomas More Donnelly,Thomas More Donnelly Percent,Claudia Silva-Hernandez,Claudia Silva-Hernandez Percent,precinct_id
1,1,178,129,72.47,42,23.6,01001
1,2,132,85,64.39,39,29.55,01002
1,3,190,140,73.68,41,21.58,01003
1,4,146,100,68.49,36,24.66,01004
1,5,143,113,79.02,23,16.08,01005
1,6,137,88,64.23,40,29.2,01006
1,7,137,103,75.18,29,21.17,01007
1,8,138,92,66.67,37,26.81,01008
1,9,119,79,66.39,31,26.05,01009
1,10,178,136,76.4,34,19.1,01010
1,11,190,137,72.11,44,23.16,01011
1,12,187,140,74.87,34,18.18,01012
1,13,85,66,77.65,15,17.65,01013
1,14,162,113,69.75,38,23.46,01014
1,15,139,91,65.47,42,30.22,01015
1,16,202,142,70.3,49,24.26,01016
1,17,141,100,70.92,31,21.99,01017
1,18,159,116,72.96,31,19.5,01018
1,19,240,172,71.67,59,24.58,01019
1,20,127,101,79.53,21,16.54,01020
1,21,196,150,76.53,33,16.84,01021
1,22,116,72,62.07,39,33.62,01022
1,23,243,179,73.66,48,19.75,01023
1,24,178,107,60.11,62,34.83,01024
1,25,158,111,70.25,39,24.68,01025
1,26,115,76,66.09,32,27.83,01026
1,27,188,149,79.26,30,15.96,01027
1,28,27,11,40.74,10,37.04,01028
1,29,220,169,76.82,42,19.09,01029
1,30,194,130,67.01,55,28.35,01030
1,31,136,94,69.12,34,25.0,01031
1,32,153,104,67.97,42,27.45,01032
1,33,173,127,73.41,36,20.81,01033
1,34,157,120,76.43,33,21.02,01034
1,35,156,109,69.87,38,24.36,01035
1,36,196,149,76.02,34,17.35,01036
1,37,162,117,72.22,36,22.22,01037
1,38,152,103,67.76,44,28.95,01038
1,39,128,80,62.5,43,33.59,01039
1,40,132,80,60.61,42,31.82,01040
1,41,89,68,76.4,18,20.22,01041
1,42,50,32,64.0,16,32.0,01042
1,43,125,92,73.6,28,22.4,01043
1,44,140,109,77.86,24,17.14,01044
2,1,146,113,77.4,28,19.18,02001
2,2,123,98,79.67,17,13.82,02002
2,3,184,138,75.0,31,16.85,02003
2,4,157,127,80.89,26,16.56,02004
2,5,174,131,75.29,34,19.54,02005
2,6,133,98,73.68,28,21.05,02006
2,7,114,94,82.46,17,14.91,02007
2,8,155,113,72.9,32,20.65,02008
2,9,134,84,62.69,37,27.61,02009
2,10,126,99,78.57,13,10.32,02010
2,11,165,125,75.76,28,16.97,02011
2,12,109,76,69.72,19,17.43,02012
2,13,165,128,77.58,26,15.76,02013
2,14,176,128,72.73,37,21.02,02014
2,15,142,116,81.69,17,11.97,02015
2,16,160,119,74.38,35,21.88,02016
2,17,226,169,74.78,41,18.14,02017
2,18,127,89,70.08,28,22.05,02018
2,19,110,93,84.55,13,11.82,02019
2,20,134,108,80.6,19,14.18,02020
2,21,182,143,78.57,28,15.38,02021
2,22,159,133,83.65,14,8.81,02022
2,23,117,94,80.34,17,14.53,02023
2,24,123,84,68.29,28,22.76,02024
2,25,189,136,71.96,36,19.05,02025
2,26,113,76,67.26,28,24.78,02026
2,27,90,68,75.56,15,16.67,02027
