ward,precinct,total,Dennis Deer,Dennis Deer Percent,Andre Smith,Andre Smith Percent,precinct_id
1,3,38,25,65.79,13,34.21,01003
1,4,142,105,73.94,37,26.06,01004
1,6,136,98,72.06,38,27.94,01006
1,33,169,119,70.41,50,29.59,01033
1,35,151,104,68.87,47,31.13,01035
1,36,180,131,72.78,49,27.22,01036
1,37,157,114,72.61,43,27.39,01037
1,39,122,93,76.23,29,23.77,01039
1,40,126,70,55.56,56,44.44,01040
2,3,76,54,71.05,22,28.95,02003
2,4,81,62,76.54,19,23.46,02004
2,5,60,45,75.0,15,25.0,02005
2,14,28,23,82.14,5,17.86,02014
2,17,32,25,78.13,7,21.88,02017
2,21,91,69,75.82,22,24.18,02021
3,1,24,10,41.67,14,58.33,03001
3,3,104,56,53.85,48,46.15,03003
3,5,85,37,43.53,48,56.47,03005
3,6,204,130,63.73,74,36.27,03006
3,8,101,30,29.7,71,70.3,03008
3,10,66,33,50.0,33,50.0,03010
3,13,179,121,67.6,58,32.4,03013
3,14,167,97,58.08,70,41.92,03014
3,16,137,42,30.66,95,69.34,03016
3,17,172,97,56.4,75,43.6,03017
3,18,116,53,45.69,63,54.31,03018
3,21,148,68,45.95,80,54.05,03021
3,22,194,123,63.4,71,36.6,03022
3,24,17,6,35.29,11,64.71,03024
3,25,292,188,64.38,104,35.62,03025
3,26,221,149,67.42,72,32.58,03026
3,27,77,55,71.43,22,28.57,03027
3,28,131,53,40.46,78,59.54,03028
3,29,37,12,32.43,25,67.57,03029
3,32,216,133,61.57,83,38.43,03032
3,33,184,126,68.48,58,31.52,03033
3,34,223,139,62.33,84,37.67,03034
3,36,61,29,47.54,32,52.46,03036
3,37,36,12,33.33,24,66.67,03037
3,39,263,179,68.06,84,31.94,03039
3,40,139,74,53.24,65,46.76,03040
4,13,39,26,66.67,13,33.33,04013
6,4,73,14,19.18,59,80.82,06004
6,5,77,26,33.77,51,66.23,06005
6,7,13,4,30.77,9,69.23,06007
6,9,95,26,27.37,69,72.63,06009
6,10,36,8,22.22,28,77.78,06010
6,11,105,22,20.95,83,79.05,06011
6,12,50,12,24.0,38,76.0,06012
6,15,76,30,39.47,46,60.53,06015
6,18,84,30,35.71,54,64.29,06018
6,21,46,16,34.78,30,65.22,06021
6,22,59,23,38.98,36,61.02,06022
6,23,49,11,22.45,38,77.55,06023
6,24,54,13,24.07,41,75.93,06024
6,25,56,12,21.43,44,78.57,06025
6,26,60,19,31.67,41,68.33,06026
6,27,58,20,34.48,38,65.52,06027
6,28,44,16,36.36,28,63.64,06028
6,48,15,2,13.33,13,86.67,06048
11,6,185,121,65.41,64,34.59,11006
11,7,47,24,51.06,23,48.94,11007
11,30,0,0,0.0,0,0.0,11030
11,34,1,1,100.0,0,0.0,11034
15,2,58,20,34.48,38,65.52,15002
15,3,51,24,47.06,27,52.94,15003
15,7,46,12,26.09,34,73.91,15007
15,17,70,30,42.86,40,57.14,15017
15,18,48,26,54.17,22,45.83,15018
15,20,66,20,30.3,46,69.7,15020
15,21,52,31,59.62,21,40.38,15021
15,22,68,21,30.88,47,69.12,15022
15,23,80,21,26.25,59,73.75,15023
15,24,43,13,30.23,30,69.77,15024
16,2,51,19,37.25,32,62.75,16002
16,3,61,32,52.46,29,47.54,16003
16,4,68,28,41.18,40,58.82,16004
16,5,56,20,35.71,36,64.29,16005
16,6,66,30,45.45,36,54.55,16006
16,9,71,29,40.85,42,59.15,16009
16,10,78,32,41.03,46,58.97,16010
16,12,26,5,19.23,21,80.77,16012
16,14,56,20,35.71,36,64.29,16014
16,15,68,30,44.12,38,55.88,16015
16,16,84,30,35.71,54,64.29,16016
16,18,33,14,42.42,19,57.58,16018
16,19,12,6,50.0,6,50.0,16019
16,20,58,22,37.93,36,62.07,16020
16,21,47,25,53.19,22,46.81,16021
16,22,49,25,51.02,24,48.98,16022
16,24,39,14,35.9,25,64.1,16024
16,25,90,28,31.11,62,68.89,16025
16,26,53,25,47.17,28,52.83,16026
16,27,38,15,39.47,23,60.53,16027
16,28,81,32,39.51,49,60.49,16028
16,29,54,18,33.33,36,66.67,16029
16,30,58,11,18.97,47,81.03,16030
16,31,67,20,29.85,47,70.15,16031
16,33,58,19,32.76,39,67.24,16033
16,34,70,25,35.71,45,64.29,16034
16,36,45,15,33.33,30,66.67,16036
17,3,103,40,38.83,63,61.17,17003
17,5,81,24,29.63,57,70.37,17005
17,6,65,24,36.92,41,63.08,17006
17,8,71,30,42.25,41,57.75,17008
17,11,60,18,30.0,42,70.0,17011
17,13,79,30,37.97,49,62.03,17013
17,16,6,1,16.67,5,83.33,17016
17,17,87,30,34.48,57,65.52,17017
17,19,44,13,29.55,31,70.45,17019
17,23,68,23,33.82,45,66.18,17023
17,25,79,26,32.91,53,67.09,17025
17,28,81,26,32.1,55,67.9,17028
17,31,70,21,30.0,49,70.0,17031
17,32,58,23,39.66,35,60.34,17032
17,33,45,12,26.67,33,73.33,17033
17,34,54,20,37.04,34,62.96,17034
17,35,56,20,35.71,36,64.29,17035
17,36,91,37,40.66,54,59.34,17036
17,37,94,38,40.43,56,59.57,17037
17,40,0,0,0.0,0,0.0,17040
18,5,68,21,30.88,47,69.12,18005
18,27,91,24,26.37,67,73.63,18027
18,33,45,16,35.56,29,64.44,18033
18,39,78,27,34.62,51,65.38,18039
18,47,75,21,28.0,54,72.0,18047
18,48,59,22,37.29,37,62.71,18048
18,49,64,21,32.81,43,67.19,18049
18,50,70,29,41.43,41,58.57,18050
20,2,20,6,30.0,14,70.0,20002
20,4,11,4,36.36,7,63.64,20004
20,6,33,11,33.33,22,66.67,20006
20,7,98,37,37.76,61,62.24,20007
20,11,107,44,41.12,63,58.88,20011
20,12,57,14,24.56,43,75.44,20012
20,13,111,40,36.04,71,63.96,20013
20,21,50,14,28.0,36,72.0,20021
20,23,87,34,39.08,53,60.92,20023
20,25,82,29,35.37,53,64.63,20025
20,27,69,33,47.83,36,52.17,20027
20,28,60,17,28.33,43,71.67,20028
20,29,135,42,31.11,93,68.89,20029
20,30,51,22,43.14,29,56.86,20030
20,31,121,64,52.89,57,47.11,20031
20,32,73,27,36.99,46,63.01,20032
20,35,29,6,20.69,23,79.31,20035
20,36,36,16,44.44,20,55.56,20036
20,37,31,4,12.9,27,87.1,20037
20,38,27,15,55.56,12,44.44,20038
20,39,3,1,33.33,2,66.67,20039
21,42,0,0,0.0,0,0.0,21042
22,19,39,25,64.1,14,35.9,22019
22,21,86,59,68.6,27,31.4,22021
24,1,84,57,67.86,27,32.14,24001
24,2,68,54,79.41,14,20.59,24002
24,3,72,49,68.06,23,31.94,24003
24,4,52,32,61.54,20,38.46,24004
24,5,32,28,87.5,4,12.5,24005
24,6,87,60,68.97,27,31.03,24006
24,8,26,16,61.54,10,38.46,24008
24,9,75,51,68.0,24,32.0,24009
24,10,61,31,50.82,30,49.18,24010
24,11,70,47,67.14,23,32.86,24011
24,12,47,29,61.7,18,38.3,24012
24,13,40,27,67.5,13,32.5,24013
24,14,47,28,59.57,19,40.43,24014
24,15,33,17,51.52,16,48.48,24015
24,17,65,44,67.69,21,32.31,24017
24,18,86,56,65.12,30,34.88,24018
24,19,88,47,53.41,41,46.59,24019
24,20,67,30,44.78,37,55.22,24020
24,21,41,31,75.61,10,24.39,24021
24,22,107,65,60.75,42,39.25,24022
24,23,66,37,56.06,29,43.94,24023
24,24,80,45,56.25,35,43.75,24024
24,25,44,21,47.73,23,52.27,24025
24,26,182,141,77.47,41,22.53,24026
24,27,101,65,64.36,36,35.64,24027
24,28,45,31,68.89,14,31.11,24028
24,29,26,12,46.15,14,53.85,24029
24,30,45,27,60.0,18,40.0,24030
24,31,76,55,72.37,21,27.63,24031
24,32,52,35,67.31,17,32.69,24032
24,33,43,26,60.47,17,39.53,24033
24,34,62,40,64.52,22,35.48,24034
24,35,75,44,58.67,31,41.33,24035
24,36,127,72,56.69,55,43.31,24036
24,37,54,30,55.56,24,44.44,24037
24,38,83,55,66.27,28,33.73,24038
24,39,96,58,60.42,38,39.58,24039
24,40,84,40,47.62,44,52.38,24040
24,41,71,43,60.56,28,39.44,24041
25,3,158,104,65.82,54,34.18,25003
25,4,85,40,47.06,45,52.94,25004
25,6,35,28,80.0,7,20.0,25006
25,10,126,87,69.05,39,30.95,25010
25,14,75,54,72.0,21,28.0,25014
25,16,146,105,71.92,41,28.08,25016
25,18,50,41,82.0,9,18.0,25018
25,20,55,32,58.18,23,41.82,25020
25,21,159,99,62.26,60,37.74,25021
25,25,106,79,74.53,27,25.47,25025
25,27,82,53,64.63,29,35.37,25027
25,29,104,66,63.46,38,36.54,25029
25,31,168,118,70.24,50,29.76,25031
27,1,16,12,75.0,4,25.0,27001
27,2,145,87,60.0,58,40.0,27002
27,4,27,15,55.56,12,44.44,27004
