ward,precinct,total,Jennifer Bae,Jennifer Bae Percent,Stephen Swedlow,Stephen Swedlow Percent,precinct_id
2,2,125,40,32.0,85,68.0,02002
2,9,134,77,57.46,57,42.54,02009
2,10,134,34,25.37,100,74.63,02010
2,11,161,69,42.86,92,57.14,02011
2,12,112,58,51.79,54,48.21,02012
2,13,164,58,35.37,106,64.63,02013
2,18,135,69,51.11,66,48.89,02018
2,19,109,33,30.28,76,69.72,02019
2,20,130,54,41.54,76,58.46,02020
2,22,154,55,35.71,99,64.29,02022
2,23,121,28,23.14,93,76.86,02023
2,24,129,63,48.84,66,51.16,02024
2,26,107,49,45.79,58,54.21,02026
2,27,92,49,53.26,43,46.74,02027
2,28,138,51,36.96,87,63.04,02028
2,29,137,63,45.99,74,54.01,02029
2,30,117,55,47.01,62,52.99,02030
2,31,195,69,35.38,126,64.62,02031
2,32,80,39,48.75,41,51.25,02032
2,33,184,79,42.93,105,57.07,02033
2,34,143,58,40.56,85,59.44,02034
2,35,168,87,51.79,81,48.21,02035
2,36,139,62,44.6,77,55.4,02036
2,37,167,63,37.72,104,62.28,02037
2,38,116,40,34.48,76,65.52,02038
2,39,68,39,57.35,29,42.65,02039
2,40,143,67,46.85,76,53.15,02040
2,41,127,61,48.03,66,51.97,02041
2,42,124,63,50.81,61,49.19,02042
2,43,149,55,36.91,94,63.09,02043
2,44,145,57,39.31,88,60.69,02044
2,45,90,40,44.44,50,55.56,02045
2,46,82,39,47.56,43,52.44,02046
3,3,104,60,57.69,44,42.31,03003
3,6,224,127,56.7,97,43.3,03006
3,13,195,111,56.92,84,43.08,03013
3,14,173,123,71.1,50,28.9,03014
3,17,173,108,62.43,65,37.57,03017
3,18,33,19,57.58,14,42.42,03018
3,19,198,105,53.03,93,46.97,03019
3,21,208,116,55.77,92,44.23,03021
3,22,212,117,55.19,95,44.81,03022
3,25,292,151,51.71,141,48.29,03025
3,26,228,128,56.14,100,43.86,03026
3,27,207,113,54.59,94,45.41,03027
3,32,197,135,68.53,62,31.47,03032
3,33,182,90,49.45,92,50.55,03033
3,34,216,124,57.41,92,42.59,03034
3,39,280,150,53.57,130,46.43,03039
3,40,136,90,66.18,46,33.82,03040
4,2,240,125,52.08,115,47.92,04002
4,6,125,87,69.6,38,30.4,04006
4,13,118,63,53.39,55,46.61,04013
4,16,282,135,47.87,147,52.13,04016
4,17,224,104,46.43,120,53.57,04017
4,20,185,75,40.54,110,59.46,04020
4,21,162,75,46.3,87,53.7,04021
4,25,228,105,46.05,123,53.95,04025
4,37,316,156,49.37,160,50.63,04037
11,10,0,0,0.0,0,0.0,11010
11,30,68,38,55.88,30,44.12,11030
11,36,41,20,48.78,21,51.22,11036
11,37,34,20,58.82,14,41.18,11037
25,6,30,19,63.33,11,36.67,25006
25,14,74,38,51.35,36,48.65,25014
25,18,52,35,67.31,17,32.69,25018
25,21,272,160,58.82,112,41.18,25021
25,27,57,35,61.4,22,38.6,25027
27,6,115,62,53.91,53,46.09,27006
27,9,51,27,52.94,24,47.06,27009
27,11,32,13,40.63,19,59.38,27011
27,12,83,30,36.14,53,63.86,27012
27,20,39,26,66.67,13,33.33,27020
27,21,112,60,53.57,52,46.43,27021
27,28,150,96,64.0,54,36.0,27028
27,35,121,51,42.15,70,57.85,27035
27,37,114,67,58.77,47,41.23,27037
27,38,187,104,55.61,83,44.39,27038
27,42,85,51,60.0,34,40.0,27042
27,46,91,37,40.66,54,59.34,27046
27,47,84,46,54.76,38,45.24,27047
27,48,157,83,52.87,74,47.13,27048
32,7,168,76,45.24,92,54.76,32007
32,8,163,72,44.17,91,55.83,32008
32,10,159,63,39.62,96,60.38,32010
32,13,56,24,42.86,32,57.14,32013
32,18,134,60,44.78,74,55.22,32018
32,23,148,64,43.24,84,56.76,32023
32,27,18,9,50.0,9,50.0,32027
32,39,148,62,41.89,86,58.11,32039
40,13,144,50,34.72,94,65.28,40013
40,21,90,31,34.44,59,65.56,40021
40,22,260,77,29.62,183,70.38,40022
40,23,312,131,41.99,181,58.01,40023
40,26,226,82,36.28,144,63.72,40026
40,28,53,13,24.53,40,75.47,40028
40,31,272,110,40.44,162,59.56,40031
40,32,224,86,38.39,138,61.61,40032
40,33,244,85,34.84,159,65.16,40033
40,36,164,50,30.49,114,69.51,40036
42,1,177,42,23.73,135,76.27,42001
42,2,105,50,47.62,55,52.38,42002
42,4,244,112,45.9,132,54.1,42004
42,5,125,51,40.8,74,59.2,42005
42,6,209,83,39.71,126,60.29,42006
42,7,164,62,37.8,102,62.2,42007
42,8,165,69,41.82,96,58.18,42008
42,9,137,78,56.93,59,43.07,42009
42,10,203,80,39.41,123,60.59,42010
42,11,111,62,55.86,49,44.14,42011
42,12,91,42,46.15,49,53.85,42012
42,13,184,75,40.76,109,59.24,42013
42,14,147,61,41.5,86,58.5,42014
42,15,144,74,51.39,70,48.61,42015
42,17,154,72,46.75,82,53.25,42017
42,19,206,70,33.98,136,66.02,42019
42,20,112,54,48.21,58,51.79,42020
42,22,61,20,32.79,41,67.21,42022
42,23,152,53,34.87,99,65.13,42023
42,24,135,54,40.0,81,60.0,42024
42,25,126,64,50.79,62,49.21,42025
42,26,182,95,52.2,87,47.8,42026
42,27,116,52,44.83,64,55.17,42027
42,28,207,100,48.31,107,51.69,42028
42,29,213,100,46.95,113,53.05,42029
42,30,167,67,40.12,100,59.88,42030
42,31,170,72,42.35,98,57.65,42031
42,32,99,51,51.52,48,48.48,42032
42,33,197,82,41.62,115,58.38,42033
42,34,140,43,30.71,97,69.29,42034
42,35,186,93,50.0,93,50.0,42035
42,37,87,37,42.53,50,57.47,42037
42,38,105,41,39.05,64,60.95,42038
42,39,117,46,39.32,71,60.68,42039
42,40,150,80,53.33,70,46.67,42040
42,42,232,102,43.97,130,56.03,42042
43,1,85,40,47.06,45,52.94,43001
43,2,176,48,27.27,128,72.73,43002
43,3,145,57,39.31,88,60.69,43003
43,4,146,63,43.15,83,56.85,43004
43,5,152,54,35.53,98,64.47,43005
43,6,121,59,48.76,62,51.24,43006
43,7,118,51,43.22,67,56.78,43007
43,8,116,45,38.79,71,61.21,43008
43,9,158,71,44.94,87,55.06,43009
43,10,188,65,34.57,123,65.43,43010
43,11,101,36,35.64,65,64.36,43011
43,12,88,28,31.82,60,68.18,43012
43,13,168,79,47.02,89,52.98,43013
43,14,164,61,37.2,103,62.8,43014
43,15,144,66,45.83,78,54.17,43015
43,16,175,82,46.86,93,53.14,43016
43,17,120,50,41.67,70,58.33,43017
43,18,176,65,36.93,111,63.07,43018
43,19,151,47,31.13,104,68.87,43019
43,20,201,73,36.32,128,63.68,43020
43,21,133,53,39.85,80,60.15,43021
43,22,119,45,37.82,74,62.18,43022
43,23,100,44,44.0,56,56.0,43023
43,24,132,68,51.52,64,48.48,43024
43,25,175,80,45.71,95,54.29,43025
43,26,144,45,31.25,99,68.75,43026
43,27,162,48,29.63,114,70.37,43027
43,28,146,66,45.21,80,54.79,43028
43,29,195,79,40.51,116,59.49,43029
43,30,148,60,40.54,88,59.46,43030
43,31,148,76,51.35,72,48.65,43031
