ward,precinct,total,Paul Joyce,Paul Joyce Percent,Michael Weaver,Michael Weaver Percent,precinct_id
1,1,173,31,17.92,105,60.69,01001
1,2,132,27,20.45,75,56.82,01002
1,3,186,42,22.58,100,53.76,01003
1,4,148,35,23.65,67,45.27,01004
1,5,141,29,20.57,83,58.87,01005
1,6,135,28,20.74,71,52.59,01006
1,7,135,31,22.96,67,49.63,01007
1,8,140,36,25.71,74,52.86,01008
1,9,116,29,25.0,64,55.17,01009
1,10,173,45,26.01,100,57.8,01010
1,11,189,43,22.75,97,51.32,01011
1,12,183,22,12.02,117,63.93,01012
1,13,87,24,27.59,47,54.02,01013
1,14,163,36,22.09,80,49.08,01014
1,15,133,24,18.05,71,53.38,01015
1,16,205,32,15.61,122,59.51,01016
1,17,138,28,20.29,78,56.52,01017
1,18,159,24,15.09,101,63.52,01018
1,19,229,50,21.83,129,56.33,01019
1,20,129,23,17.83,83,64.34,01020
1,21,192,39,20.31,102,53.13,01021
1,22,111,20,18.02,65,58.56,01022
1,23,244,49,20.08,138,56.56,01023
1,24,178,38,21.35,93,52.25,01024
1,25,159,31,19.5,90,56.6,01025
1,26,109,15,13.76,62,56.88,01026
1,27,186,41,22.04,107,57.53,01027
1,28,25,1,4.0,12,48.0,01028
1,29,217,46,21.2,117,53.92,01029
1,30,185,28,15.14,119,64.32,01030
1,31,138,33,23.91,72,52.17,01031
1,32,156,41,26.28,78,50.0,01032
1,33,174,33,18.97,92,52.87,01033
1,34,158,27,17.09,105,66.46,01034
1,35,153,35,22.88,81,52.94,01035
1,36,198,50,25.25,97,48.99,01036
1,37,159,29,18.24,87,54.72,01037
1,38,154,30,19.48,82,53.25,01038
1,39,131,23,17.56,66,50.38,01039
1,40,128,28,21.88,73,57.03,01040
1,41,89,23,25.84,47,52.81,01041
1,42,48,16,33.33,22,45.83,01042
1,43,127,30,23.62,66,51.97,01043
1,44,136,23,16.91,88,64.71,01044
2,1,146,34,23.29,83,56.85,02001
2,2,122,35,28.69,55,45.08,02002
2,3,180,38,21.11,109,60.56,02003
2,4,156,37,23.72,91,58.33,02004
2,5,175,36,20.57,97,55.43,02005
2,6,132,17,12.88,83,62.88,02006
2,7,114,23,20.18,74,64.91,02007
2,8,153,24,15.69,89,58.17,02008
2,9,139,36,25.9,50,35.97,02009
2,10,128,35,27.34,60,46.88,02010
