ward,precinct,total,Robin Kelly,Robin Kelly Percent,precinct_id
4,5,211,211,100.0,04005
4,9,320,320,100.0,04009
4,10,307,307,100.0,04010
4,15,131,131,100.0,04015
4,22,216,216,100.0,04022
4,27,256,256,100.0,04027
4,31,298,298,100.0,04031
4,34,102,102,100.0,04034
5,1,121,121,100.0,05001
5,7,199,199,100.0,05007
5,10,54,54,100.0,05010
5,11,217,217,100.0,05011
5,18,174,174,100.0,05018
5,20,297,297,100.0,05020
5,22,319,319,100.0,05022
5,23,351,351,100.0,05023
5,25,160,160,100.0,05025
5,26,164,164,100.0,05026
5,28,210,210,100.0,05028
5,29,178,178,100.0,05029
5,31,103,103,100.0,05031
5,32,224,224,100.0,05032
5,35,180,180,100.0,05035
5,36,11,11,100.0,05036
5,37,268,268,100.0,05037
5,38,142,142,100.0,05038
5,40,134,134,100.0,05040
5,41,170,170,100.0,05041
7,5,89,89,100.0,07005
7,6,180,180,100.0,07006
7,7,85,85,100.0,07007
7,8,103,103,100.0,07008
7,9,240,240,100.0,07009
7,11,105,105,100.0,07011
7,12,82,82,100.0,07012
7,13,106,106,100.0,07013
7,14,105,105,100.0,07014
7,16,80,80,100.0,07016
7,17,96,96,100.0,07017
7,18,100,100,100.0,07018
7,21,67,67,100.0,07021
7,22,96,96,100.0,07022
7,25,55,55,100.0,07025
7,31,4,4,100.0,07031
7,35,2,2,100.0,07035
7,43,61,61,100.0,07043
7,44,81,81,100.0,07044
7,45,77,77,100.0,07045
7,46,62,62,100.0,07046
9,1,120,120,100.0,09001
9,2,94,94,100.0,09002
9,3,46,46,100.0,09003
9,4,11,11,100.0,09004
9,5,139,139,100.0,09005
9,7,62,62,100.0,09007
9,8,82,82,100.0,09008
9,9,163,163,100.0,09009
9,11,32,32,100.0,09011
9,13,172,172,100.0,09013
9,14,175,175,100.0,09014
9,15,43,43,100.0,09015
9,16,25,25,100.0,09016
9,17,59,59,100.0,09017
9,22,146,146,100.0,09022
9,26,72,72,100.0,09026
9,28,45,45,100.0,09028
9,29,67,67,100.0,09029
9,31,79,79,100.0,09031
9,32,136,136,100.0,09032
9,33,77,77,100.0,09033
9,34,90,90,100.0,09034
9,35,143,143,100.0,09035
9,37,197,197,100.0,09037
9,38,100,100,100.0,09038
9,40,181,181,100.0,09040
9,41,98,98,100.0,09041
9,43,95,95,100.0,09043
9,45,84,84,100.0,09045
9,46,128,128,100.0,09046
10,1,106,106,100.0,10001
10,2,75,75,100.0,10002
10,3,87,87,100.0,10003
10,4,51,51,100.0,10004
10,5,61,61,100.0,10005
10,6,76,76,100.0,10006
10,7,45,45,100.0,10007
10,8,30,30,100.0,10008
10,9,63,63,100.0,10009
10,10,82,82,100.0,10010
10,11,74,74,100.0,10011
10,12,50,50,100.0,10012
10,13,83,83,100.0,10013
10,14,86,86,100.0,10014
10,15,132,132,100.0,10015
10,16,51,51,100.0,10016
10,17,106,106,100.0,10017
10,18,43,43,100.0,10018
10,19,61,61,100.0,10019
10,20,78,78,100.0,10020
10,21,65,65,100.0,10021
10,22,24,24,100.0,10022
10,23,70,70,100.0,10023
10,24,66,66,100.0,10024
10,25,32,32,100.0,10025
10,26,57,57,100.0,10026
10,27,53,53,100.0,10027
10,28,77,77,100.0,10028
10,29,65,65,100.0,10029
10,30,55,55,100.0,10030
10,31,43,43,100.0,10031
10,32,70,70,100.0,10032
10,33,55,55,100.0,10033
10,34,37,37,100.0,10034
10,35,100,100,100.0,10035
10,36,35,35,100.0,10036
