ward,precinct,total,Marcia O'Brien Conway,Marcia O'Brien Conway Percent,"Owens """"Joe"""" Shelby","Owens """"Joe"""" Shelby Percent",precinct_id
11,6,178,126,70.79,52,29.21,11006
11,7,14,6,42.86,8,57.14,11007
21,42,0,0,0.0,0,0.0,21042
22,21,74,37,50.0,37,50.0,22021
24,1,74,28,37.84,46,62.16,24001
24,2,60,27,45.0,33,55.0,24002
24,3,69,29,42.03,40,57.97,24003
24,4,47,15,31.91,32,68.09,24004
24,5,27,12,44.44,15,55.56,24005
24,6,79,38,48.1,41,51.9,24006
24,8,20,12,60.0,8,40.0,24008
24,9,60,26,43.33,34,56.67,24009
24,10,50,19,38.0,31,62.0,24010
24,11,51,24,47.06,27,52.94,24011
24,12,47,26,55.32,21,44.68,24012
24,13,37,20,54.05,17,45.95,24013
24,14,35,20,57.14,15,42.86,24014
24,15,28,16,57.14,12,42.86,24015
24,17,53,21,39.62,32,60.38,24017
24,18,74,28,37.84,46,62.16,24018
24,19,82,34,41.46,48,58.54,24019
24,20,62,26,41.94,36,58.06,24020
24,21,39,13,33.33,26,66.67,24021
24,22,103,53,51.46,50,48.54,24022
24,23,59,29,49.15,30,50.85,24023
24,24,74,26,35.14,48,64.86,24024
24,25,36,17,47.22,19,52.78,24025
24,26,147,83,56.46,64,43.54,24026
24,27,85,38,44.71,47,55.29,24027
24,28,36,15,41.67,21,58.33,24028
24,29,22,11,50.0,11,50.0,24029
24,30,42,21,50.0,21,50.0,24030
24,31,70,31,44.29,39,55.71,24031
24,32,47,15,31.91,32,68.09,24032
24,33,40,24,60.0,16,40.0,24033
24,34,58,26,44.83,32,55.17,24034
24,35,62,24,38.71,38,61.29,24035
24,36,110,34,30.91,76,69.09,24036
24,37,42,24,57.14,18,42.86,24037
24,38,76,30,39.47,46,60.53,24038
24,40,74,33,44.59,41,55.41,24040
24,41,64,34,53.13,30,46.88,24041
25,3,163,123,75.46,40,24.54,25003
25,4,46,23,50.0,23,50.0,25004
25,10,129,98,75.97,31,24.03,25010
25,16,156,121,77.56,35,22.44,25016
25,20,47,28,59.57,19,40.43,25020
25,27,67,47,70.15,20,29.85,25027
25,29,89,57,64.04,32,35.96,25029
25,31,171,131,76.61,40,23.39,25031
26,2,69,43,62.32,26,37.68,26002
26,10,53,32,60.38,21,39.62,26010
26,17,121,91,75.21,30,24.79,26017
26,46,86,60,69.77,26,30.23,26046
27,2,131,97,74.05,34,25.95,27002
27,3,43,16,37.21,27,62.79,27003
27,4,66,28,42.42,38,57.58,27004
27,5,65,33,50.77,32,49.23,27005
27,8,66,30,45.45,36,54.55,27008
27,10,106,64,60.38,42,39.62,27010
27,14,43,25,58.14,18,41.86,27014
27,15,42,23,54.76,19,45.24,27015
27,16,77,60,77.92,17,22.08,27016
27,17,88,35,39.77,53,60.23,27017
27,18,64,36,56.25,28,43.75,27018
27,19,45,24,53.33,21,46.67,27019
27,22,53,23,43.4,30,56.6,27022
27,23,69,34,49.28,35,50.72,27023
27,24,42,23,54.76,19,45.24,27024
27,25,96,61,63.54,35,36.46,27025
27,26,64,34,53.13,30,46.88,27026
27,27,127,69,54.33,58,45.67,27027
27,29,71,40,56.34,31,43.66,27029
27,30,38,14,36.84,24,63.16,27030
27,31,51,27,52.94,24,47.06,27031
27,32,94,48,51.06,46,48.94,27032
27,33,90,51,56.67,39,43.33,27033
27,34,53,23,43.4,30,56.6,27034
27,36,68,27,39.71,41,60.29,27036
27,39,93,31,33.33,62,66.67,27039
27,41,86,52,60.47,34,39.53,27041
27,43,61,39,63.93,22,36.07,27043
27,44,52,24,46.15,28,53.85,27044
27,45,205,156,76.1,49,23.9,27045
27,49,81,31,38.27,50,61.73,27049
27,50,78,36,46.15,42,53.85,27050
28,1,32,12,37.5,20,62.5,28001
28,2,58,25,43.1,33,56.9,28002
28,3,43,11,25.58,32,74.42,28003
28,4,61,45,73.77,16,26.23,28004
28,5,50,24,48.0,26,52.0,28005
28,6,53,32,60.38,21,39.62,28006
28,7,48,16,33.33,32,66.67,28007
28,8,112,78,69.64,34,30.36,28008
28,9,60,24,40.0,36,60.0,28009
28,10,105,50,47.62,55,52.38,28010
28,11,148,85,57.43,63,42.57,28011
28,12,68,27,39.71,41,60.29,28012
28,13,109,42,38.53,67,61.47,28013
28,14,53,24,45.28,29,54.72,28014
28,15,34,24,70.59,10,29.41,28015
28,16,47,8,17.02,39,82.98,28016
28,17,59,23,38.98,36,61.02,28017
28,18,66,34,51.52,32,48.48,28018
28,19,72,43,59.72,29,40.28,28019
28,20,45,17,37.78,28,62.22,28020
28,21,69,34,49.28,35,50.72,28021
28,22,82,40,48.78,42,51.22,28022
28,23,70,29,41.43,41,58.57,28023
28,24,48,25,52.08,23,47.92,28024
28,25,134,60,44.78,74,55.22,28025
28,26,70,18,25.71,52,74.29,28026
28,27,86,56,65.12,30,34.88,28027
28,28,114,71,62.28,43,37.72,28028
28,29,25,11,44.0,14,56.0,28029
28,30,22,8,36.36,14,63.64,28030
28,31,97,42,43.3,55,56.7,28031
28,32,74,31,41.89,43,58.11,28032
28,33,81,30,37.04,51,62.96,28033
28,34,97,58,59.79,39,40.21,28034
28,35,56,23,41.07,33,58.93,28035
28,36,36,9,25.0,27,75.0,28036
28,37,77,30,38.96,47,61.04,28037
28,38,27,15,55.56,12,44.44,28038
28,39,42,17,40.48,25,59.52,28039
28,40,97,34,35.05,63,64.95,28040
28,41,57,26,45.61,31,54.39,28041
28,42,61,22,36.07,39,63.93,28042
28,43,86,40,46.51,46,53.49,28043
28,44,44,16,36.36,28,63.64,28044
28,45,119,83,69.75,36,30.25,28045
28,46,178,105,58.99,73,41.01,28046
29,2,129,57,44.19,72,55.81,29002
29,3,100,49,49.0,51,51.0,29003
29,4,126,69,54.76,57,45.24,29004
29,5,51,26,50.98,25,49.02,29005
29,6,68,36,52.94,32,47.06,29006
29,8,58,29,50.0,29,50.0,29008
29,11,79,30,37.97,49,62.03,29011
29,13,117,58,49.57,59,50.43,29013
29,14,103,41,39.81,62,60.19,29014
29,16,91,45,49.45,46,50.55,29016
29,18,98,49,50.0,49,50.0,29018
29,19,132,52,39.39,80,60.61,29019
29,20,99,36,36.36,63,63.64,29020
29,21,96,48,50.0,48,50.0,29021
29,22,95,50,52.63,45,47.37,29022
29,25,151,72,47.68,79,52.32,29025
29,26,119,51,42.86,68,57.14,29026
29,27,96,40,41.67,56,58.33,29027
29,28,125,57,45.6,68,54.4,29028
29,33,91,41,45.05,50,54.95,29033
29,34,63,36,57.14,27,42.86,29034
29,35,71,32,45.07,39,54.93,29035
29,37,77,31,40.26,46,59.74,29037
29,40,139,70,50.36,69,49.64,29040
29,41,80,31,38.75,49,61.25,29041
29,42,110,43,39.09,67,60.91,29042
29,44,127,43,33.86,84,66.14,29044
37,1,97,49,50.52,48,49.48,37001
37,3,49,28,57.14,21,42.86,37003
37,4,57,33,57.89,24,42.11,37004
37,5,100,36,36.0,64,64.0,37005
37,6,92,33,35.87,59,64.13,37006
37,7,68,46,67.65,22,32.35,37007
37,8,55,32,58.18,23,41.82,37008
37,9,76,40,52.63,36,47.37,37009
37,11,45,25,55.56,20,44.44,37011
37,13,59,27,45.76,32,54.24,37013
37,14,99,44,44.44,55,55.56,37014
37,15,78,38,48.72,40,51.28,37015
37,17,58,21,36.21,37,63.79,37017
37,18,62,34,54.84,28,45.16,37018
37,19,70,41,58.57,29,41.43,37019
37,20,60,31,51.67,29,48.33,37020
37,21,52,29,55.77,23,44.23,37021
37,22,15,8,53.33,7,46.67,37022
37,23,89,39,43.82,50,56.18,37023
37,24,22,10,45.45,12,54.55,37024
37,25,81,35,43.21,46,56.79,37025
37,27,84,35,41.67,49,58.33,37027
37,28,64,34,53.13,30,46.88,37028
37,29,70,28,40.0,42,60.0,37029
37,30,67,34,50.75,33,49.25,37030
37,31,90,36,40.0,54,60.0,37031
37,32,88,40,45.45,48,54.55,37032
37,33,98,41,41.84,57,58.16,37033
37,34,74,43,58.11,31,41.89,37034
37,35,110,62,56.36,48,43.64,37035
37,36,65,25,38.46,40,61.54,37036
37,37,61,31,50.82,30,49.18,37037
37,38,118,59,50.0,59,50.0,37038
37,39,78,34,43.59,44,56.41,37039
37,40,100,45,45.0,55,55.0,37040
37,41,88,40,45.45,48,54.55,37041
42,3,148,105,70.95,43,29.05,42003
42,12,47,39,82.98,8,17.02,42012
42,16,137,100,72.99,37,27.01,42016
42,18,108,86,79.63,22,20.37,42018
42,21,128,95,74.22,33,25.78,42021
42,36,161,125,77.64,36,22.36,42036
42,41,147,114,77.55,33,22.45,42041
47,9,0,0,0.0,0,0.0,47009
